Date,Open,High,Low,Close,Volume
12/29/2023,"576.00","590.00","571.50","590.00","195,210"
12/28/2023,"575.00","579.00","566.50","576.00","139,570"
12/27/2023,"580.00","580.00","562.50","573.00","138,650"
12/22/2023,"584.00","586.50","571.50","580.00","161,050"
12/21/2023,"596.00","596.00","577.00","585.00","331,020"
12/20/2023,"565.00","596.00","562.00","579.00","538,830"
12/19/2023,"569.00","575.00","561.00","565.00","222,970"
12/18/2023,"560.00","580.00","556.00","565.00","231,720"
12/15/2023,"563.00","566.00","552.50","560.00","301,780"
12/14/2023,"555.00","560.50","546.00","560.00","287,650"
12/13/2023,"537.00","544.50","537.00","540.00","173,690"
12/12/2023,"544.50","553.00","537.00","537.00","202,980"
12/11/2023,"559.00","559.00","538.50","544.50","246,830"
12/07/2023,"551.00","560.00","550.00","557.00","177,400"
12/06/2023,"555.00","558.00","550.00","551.50","145,760"
12/05/2023,"558.00","560.00","546.00","552.00","59,640"
12/04/2023,"547.50","558.00","541.00","558.00","108,620"
12/01/2023,"544.00","551.00","535.00","535.00","220,460"
11/30/2023,"547.00","555.00","538.00","542.50","134,800"
11/29/2023,"556.00","564.00","547.00","547.50","198,330"
11/28/2023,"562.00","570.00","553.50","555.00","158,560"
11/24/2023,"563.00","567.00","557.50","560.00","134,970"
11/23/2023,"560.00","567.50","560.00","563.50","67,730"
11/22/2023,"560.50","567.00","560.00","560.00","121,800"
11/21/2023,"560.50","571.00","560.50","560.50","108,900"
11/20/2023,"563.00","572.50","557.50","564.00","63,710"
11/17/2023,"570.00","572.00","561.50","563.00","110,630"
11/16/2023,"564.00","577.00","561.00","570.00","388,080"
11/15/2023,"552.00","564.00","550.50","564.00","285,130"
11/14/2023,"541.50","550.50","541.00","548.00","137,970"
11/13/2023,"538.00","542.00","535.00","540.00","97,190"
11/10/2023,"552.00","552.00","538.00","538.00","137,140"
11/09/2023,"538.00","557.00","538.00","552.00","150,710"
11/08/2023,"545.00","550.00","535.00","538.00","189,920"
11/07/2023,"536.00","549.00","536.00","545.00","200,090"
11/06/2023,"530.50","541.50","530.50","535.00","101,110"
11/03/2023,"550.00","554.50","526.50","528.00","432,340"
10/31/2023,"547.00","549.00","535.00","549.00","124,650"
10/27/2023,"550.00","554.50","543.00","552.00","92,050"
10/26/2023,"550.00","550.00","544.50","550.00","99,560"
10/25/2023,"540.00","554.50","537.00","554.50","53,970"
10/24/2023,"545.50","554.00","535.00","537.00","138,720"
10/23/2023,"541.00","552.50","541.00","545.50","122,110"
10/20/2023,"560.00","560.00","542.50","545.00","119,400"
10/19/2023,"564.00","564.00","555.00","558.00","170,400"
10/18/2023,"571.00","574.00","563.00","564.00","203,210"
10/17/2023,"562.50","571.00","562.00","564.00","140,870"
10/16/2023,"569.00","569.50","560.00","561.50","136,240"
10/13/2023,"569.50","575.00","565.00","570.00","152,130"
10/12/2023,"575.00","576.50","561.50","564.00","113,050"
10/11/2023,"569.00","584.00","566.00","575.00","177,470"
10/10/2023,"564.00","573.50","560.50","561.50","81,640"
10/09/2023,"569.00","569.00","553.00","560.00","332,840"
10/06/2023,"568.00","574.00","556.00","570.00","227,330"
10/05/2023,"582.00","585.00","566.50","570.00","83,840"
