Date,Open,High,Low,Close,Volume
2020-01-02,849.0,856.0,843.0,854.5,26480
2020-01-03,863.0,879.0,856.0,874.0,103330
2020-01-06,869.0,875.0,860.5,875.0,43770
2020-01-07,875.0,878.0,862.0,865.0,56970
2020-01-08,860.0,863.5,835.0,835.0,89710
2020-01-09,838.0,842.5,815.5,819.0,146510
2020-01-10,819.0,824.5,795.0,795.0,367740
2020-01-14,800.0,824.0,795.5,810.0,199600
2020-01-15,810.0,810.0,785.0,785.0,107760
2020-01-16,790.0,802.0,780.0,802.0,141620
2020-01-17,802.0,802.0,780.0,789.0,128920
2020-01-20,797.0,797.0,779.5,780.0,97090
2020-01-21,780.5,790.0,779.0,790.0,102950
2020-01-22,790.0,791.0,766.5,770.0,103070
2020-01-23,775.0,791.5,773.0,791.5,76300
2020-01-24,790.5,792.0,781.0,791.0,60200
2020-01-27,791.0,793.5,780.5,785.0,20270
2020-01-28,783.0,783.5,752.5,752.5,54940
2020-01-29,753.0,759.5,742.0,745.0,79310
2020-01-30,753.0,753.0,716.5,716.5,97210
2020-01-31,722.5,730.0,675.0,675.0,300200
2020-02-03,679.0,700.5,665.0,665.0,136900
2020-02-04,667.5,695.0,667.5,686.0,193840
2020-02-05,695.0,715.0,695.0,715.0,421160
2020-02-06,725.0,740.0,717.5,740.0,321460
2020-02-07,740.0,745.0,725.0,741.0,176010
2020-02-10,741.0,741.0,717.0,717.0,203830
2020-02-11,717.0,730.0,717.0,727.0,168370
2020-02-12,727.5,733.0,721.5,724.0,266610
2020-02-13,724.0,740.0,722.5,740.0,154790
2020-02-14,740.0,740.0,721.5,721.5,64820
2020-02-17,730.0,734.0,726.0,731.0,54440
2020-02-18,731.0,739.5,726.0,735.0,69530
2020-02-19,734.0,734.0,724.5,727.0,108880
2020-02-20,727.5,749.5,727.5,732.0,94390
2020-02-21,732.0,741.0,731.0,731.0,96880
2020-02-24,736.0,736.0,721.0,725.0,65350
2020-02-26,720.0,724.0,715.0,720.0,261010
2020-02-27,715.0,728.0,715.0,722.5,82880
2020-02-28,715.0,715.5,704.0,711.0,171640
2020-03-02,711.0,740.0,705.0,721.5,98180
2020-03-03,721.5,730.0,715.0,721.0,52420
2020-03-04,718.0,748.5,715.0,748.5,59580
2020-03-05,735.0,748.0,720.5,722.0,72260
2020-03-06,720.0,720.0,710.0,710.0,208990
2020-03-09,700.0,700.0,612.0,612.0,246000
2020-03-10,610.0,639.5,600.0,618.0,104730
2020-03-11,620.0,643.0,610.5,622.0,88580
2020-03-12,612.0,612.0,551.5,580.0,295300
2020-03-13,550.0,586.0,470.0,570.0,171410
2020-03-16,570.0,570.0,501.0,511.5,62360
2020-03-19,486.0,509.0,290.0,475.8,155080
2020-03-20,475.8,496.4,407.0,407.0,186740
2020-03-23,400.0,410.0,381.0,390.0,186600
2020-03-24,400.2,418.0,389.0,389.0,113850
2020-03-25,418.0,430.0,402.2,430.0,145270
2020-03-26,448.0,448.0,410.2,419.0,213670
2020-03-27,429.0,440.0,401.2,409.0,307630
2020-03-30,419.8,419.8,382.0,390.0,338880
2020-03-31,402.6,415.4,402.0,407.0,233410
2020-04-01,408.2,410.0,402.0,403.0,197300
2020-04-02,403.0,409.0,400.2,403.2,126590
2020-04-03,405.2,407.6,395.2,399.0,207010
2020-04-06,403.0,409.8,399.0,400.0,265180
2020-04-07,410.0,419.8,403.4,404.0,330100
2020-04-08,404.0,404.0,399.0,399.0,211890
2020-04-13,401.0,411.0,400.0,400.0,135800
2020-04-14,405.2,438.8,405.2,430.0,274670
2020-04-15,441.0,490.0,441.0,490.0,355590
2020-04-16,475.0,480.0,450.0,450.0,425700
2020-04-17,475.0,490.0,470.0,490.0,228550
2020-04-20,498.0,513.0,480.0,494.0,139620
2020-04-21,492.8,494.0,467.0,475.0,201690
2020-04-22,463.0,463.0,433.0,450.8,344740
2020-04-23,461.0,464.0,449.8,450.8,297320
2020-04-24,449.0,449.0,441.2,443.4,212340
2020-04-27,444.0,449.8,433.0,435.6,192510
2020-04-28,448.0,453.6,440.0,450.0,220740
2020-04-29,452.0,464.0,451.0,460.0,130080
2020-04-30,464.0,469.0,447.0,453.0,173940
2020-05-04,451.8,451.8,433.4,435.2,108570
2020-05-05,440.0,444.2,440.0,443.0,74930
2020-05-06,444.8,445.0,420.0,422.0,303270
2020-05-07,430.0,435.0,416.0,416.0,188170
2020-05-08,420.4,424.0,408.0,412.2,168710
2020-05-11,415.6,425.0,415.0,420.0,175270
2020-05-12,420.4,431.8,420.0,420.0,37540
2020-05-13,424.0,424.6,415.2,420.0,105390
2020-05-14,422.8,422.8,402.0,404.0,263470
2020-05-15,404.0,409.0,400.2,400.4,219260
2020-05-18,402.0,402.0,388.2,388.4,222100
2020-05-19,400.0,405.0,380.4,382.0,329730
2020-05-20,390.0,390.0,374.0,374.0,254700
2020-05-21,376.0,380.0,364.0,368.0,244400
2020-05-22,370.0,389.6,368.4,372.2,187370
2020-05-26,375.0,380.0,372.8,375.4,140590
2020-05-27,380.0,383.0,366.0,370.0,241890
2020-05-28,370.0,378.8,360.0,370.0,360420
2020-05-29,370.0,387.0,365.0,387.0,667170
2020-06-01,387.0,387.0,368.0,376.0,1385610
2020-06-02,374.8,374.8,360.2,371.0,856640
2020-06-03,376.0,387.0,373.0,385.0,1674200
2020-06-04,401.0,449.0,399.6,444.0,2225020
2020-06-05,448.2,496.0,425.0,480.0,1820300
2020-06-08,500.0,534.0,484.8,512.5,1405020
2020-06-09,518.0,530.0,485.0,530.0,594150
2020-06-10,519.0,519.0,495.0,503.0,795770
2020-06-11,490.0,498.0,480.0,490.0,566170
2020-06-15,465.0,487.0,450.0,462.0,524000
2020-06-16,473.4,493.0,473.0,491.0,317590
2020-06-17,501.0,504.5,471.0,476.0,334840
2020-06-18,485.0,485.0,470.0,482.0,190250
2020-06-19,479.6,484.0,470.0,474.0,375440
2020-06-22,476.0,476.0,465.0,469.0,211550
2020-06-23,470.4,489.0,465.2,484.0,526910
2020-06-24,485.0,487.6,470.4,470.4,117050
2020-06-25,466.0,466.0,455.0,456.0,323120
2020-06-26,457.0,464.0,455.0,455.0,143810
2020-06-29,450.0,450.2,439.0,449.0,184270
2020-06-30,451.0,459.0,451.0,454.2,142690
2020-07-01,456.0,465.0,456.0,459.0,351880
2020-07-02,463.0,470.0,460.0,468.0,402930
2020-07-03,473.0,482.0,459.0,460.0,228010
2020-07-06,459.8,469.0,448.0,459.6,168730
2020-07-07,460.2,464.4,450.4,455.0,394590
2020-07-08,454.0,454.0,450.0,450.0,164820
2020-07-09,451.0,453.0,448.0,448.0,192380
2020-07-10,448.0,450.0,439.4,450.0,126900
2020-07-13,450.0,453.0,445.0,451.0,104560
2020-07-14,451.0,457.0,445.6,452.0,103160
2020-07-15,455.0,455.0,421.0,430.0,179670
2020-07-16,428.2,450.0,428.2,450.0,107610
2020-07-17,450.0,453.8,440.2,448.0,110480
2020-07-20,450.0,455.0,444.0,452.0,52540
2020-07-21,450.0,450.0,439.8,439.8,84850
2020-07-22,439.8,444.8,439.8,441.8,59570
2020-07-23,441.8,441.8,434.8,438.0,138060
2020-07-24,438.0,438.8,435.0,437.8,81160
2020-07-27,437.0,437.6,423.0,433.4,271950
2020-07-28,433.0,433.0,418.0,425.0,116880
2020-07-29,424.6,430.0,423.0,425.0,101420
2020-07-30,425.4,439.0,424.0,439.0,93720
2020-08-03,419.0,422.0,405.0,415.0,185300
2020-08-04,416.0,424.0,409.0,409.0,75080
2020-08-05,409.0,416.0,404.0,405.2,208610
2020-08-06,407.0,409.6,400.2,409.6,192680
2020-08-07,405.4,408.0,400.4,400.6,162890
2020-08-10,401.0,403.8,400.6,401.6,69060
2020-08-11,403.0,404.0,397.0,400.0,309420
2020-08-12,404.0,408.0,400.0,404.0,163420
2020-08-13,407.0,418.0,404.0,410.0,283530
2020-08-14,415.0,417.8,401.0,401.0,242400
2020-08-17,407.0,424.0,402.0,424.0,248110
2020-08-18,430.0,435.0,420.0,424.0,220730
2020-08-19,422.0,424.0,407.0,407.0,345050
2020-08-20,412.0,412.0,403.0,407.0,199490
2020-08-24,408.0,408.8,400.0,400.0,400170
2020-08-25,400.0,403.0,397.0,401.0,237820
2020-08-26,402.2,405.0,399.6,404.0,188960
2020-08-27,405.0,406.8,402.0,405.0,142550
2020-08-28,406.0,406.0,396.0,400.0,261300
2020-09-01,398.0,398.2,388.0,388.0,411960
2020-09-02,390.0,390.0,381.2,384.6,261840
2020-09-03,385.0,393.8,380.0,380.0,371360
2020-09-04,378.8,380.0,375.4,380.0,243100
2020-09-07,381.0,386.4,375.2,385.0,381400
2020-09-08,387.0,406.6,385.0,400.0,268440
2020-09-09,400.0,404.8,395.2,404.8,169870
2020-09-10,404.8,409.0,401.0,402.8,262250
2020-09-11,402.0,407.4,401.0,406.0,197240
2020-09-14,408.0,412.0,403.0,403.0,264650
2020-09-15,405.0,408.4,403.0,403.0,131600
2020-09-16,408.0,408.0,404.0,404.8,96980
2020-09-17,404.2,405.0,397.0,397.0,164720
2020-09-18,400.0,404.8,396.2,404.8,173890
2020-09-21,402.6,403.0,399.2,399.2,98230
2020-09-22,399.0,399.2,392.0,394.4,84670
2020-09-23,399.0,399.0,387.2,392.0,243730
2020-09-24,393.0,394.0,390.0,390.0,106570
2020-09-25,393.6,395.0,388.8,395.0,132590
2020-09-28,395.8,399.0,390.6,397.0,67330
2020-09-29,396.0,396.2,391.0,392.0,163700
2020-09-30,394.4,394.6,385.2,386.4,206040
2020-10-01,390.0,390.0,386.2,390.0,167960
2020-10-02,390.0,398.0,390.0,395.0,176300
2020-10-05,398.8,398.8,386.0,386.0,226780
2020-10-06,386.2,387.0,381.0,384.0,149140
2020-10-07,384.0,384.6,379.8,380.0,339610
2020-10-08,385.0,388.0,385.0,386.2,74190
2020-10-09,386.6,391.6,385.0,387.0,117330
2020-10-12,387.0,391.2,386.4,387.2,211090
2020-10-13,387.2,409.8,387.2,404.0,264120
2020-10-14,404.0,406.0,402.0,404.0,282930
2020-10-15,404.2,404.8,396.4,398.0,361260
2020-10-16,399.0,399.0,387.4,387.4,152440
2020-10-19,390.0,409.4,388.0,409.0,838480
2020-10-20,409.0,434.6,408.0,434.0,1135360
2020-10-21,439.0,448.4,434.0,442.6,1639850
2020-10-22,445.0,447.8,434.6,436.2,443780
2020-10-23,438.0,450.0,437.6,449.8,599900
2020-10-26,450.0,453.6,448.6,449.0,408570
2020-10-27,448.0,448.0,430.2,438.8,294290
2020-10-28,434.0,437.0,426.2,432.0,180480
2020-10-29,425.0,425.0,421.0,422.8,213140
2020-10-30,422.8,431.8,420.0,430.0,182930
2020-11-03,430.0,435.8,425.0,434.0,179040
2020-11-04,434.0,452.4,431.0,450.0,449150
2020-11-05,450.4,485.0,446.8,485.0,1058740
2020-11-06,490.0,512.5,486.0,500.0,1029810
2020-11-09,500.0,510.0,493.0,510.0,418330
2020-11-10,511.0,530.0,511.0,529.5,798930
2020-11-11,529.5,576.0,517.0,560.0,740560
2020-11-13,552.0,572.0,550.0,554.0,571270
2020-11-16,554.0,554.0,525.0,525.0,448330
2020-11-17,530.0,557.0,530.0,545.0,357240
2020-11-18,545.0,558.0,545.0,545.0,237490
2020-11-19,548.0,560.0,547.5,560.0,287170
2020-11-20,561.0,616.0,561.0,603.0,499510
2020-11-23,603.0,633.5,603.0,610.0,319930
2020-11-24,615.5,624.0,583.5,589.0,511680
2020-11-25,585.0,602.0,570.0,570.0,560460
2020-11-26,580.0,586.0,570.0,578.0,331270
2020-11-27,578.0,603.0,574.0,580.0,574670
2020-12-01,590.0,620.0,580.5,620.0,347760
2020-12-02,621.5,640.0,611.0,620.0,395140
2020-12-03,630.0,640.0,625.0,640.0,277360
2020-12-04,639.5,650.0,625.0,649.0,253760
2020-12-07,645.0,666.5,642.0,665.5,319250
2020-12-09,660.0,673.5,654.5,669.0,294400
2020-12-10,668.0,668.0,651.0,656.5,313480
2020-12-11,656.5,664.5,654.5,655.0,169950
2020-12-14,650.0,650.0,642.5,644.0,373400
