Date,Open,High,Low,Close,Volume
05/16/2025,"0.590","0.600","0.580","0.600","1,680,000"
05/15/2025,"0.610","0.610","0.590","0.590","207,000"
05/14/2025,"0.610","0.610","0.590","0.600","1,337,000"
05/13/2025,"0.590","0.620","0.590","0.600","3,337,000"
05/09/2025,"0.580","0.610","0.580","0.600","112,000"
05/08/2025,"0.620","0.620","0.580","0.600","483,000"
05/07/2025,"0.620","0.620","0.600","0.600","1,095,000"
05/06/2025,"0.600","0.620","0.590","0.600","5,972,000"
05/05/2025,"0.640","0.670","0.590","0.600","8,337,000"
05/02/2025,"0.580","0.630","0.570","0.630","4,231,000"
