Date,Open,High,Low,Close,Volume
04/30/2025,"2,296.00","2,296.00","2,296.00","2,296.00","30"
04/28/2025,"2,122.00","2,274.00","2,122.00","2,250.00","445"
04/24/2025,"2,016.00","2,294.00","2,016.00","2,294.00","75"
04/23/2025,"2,154.00","2,296.00","2,154.00","2,296.00","150"
04/22/2025,"2,200.00","2,298.00","2,090.00","2,298.00","310"
04/21/2025,"2,212.00","2,300.00","2,212.00","2,300.00","10"
04/16/2025,"1,806.00","2,350.00","1,804.00","2,350.00","585"
04/15/2025,"2,250.00","2,250.00","2,200.00","2,200.00","90"
04/14/2025,"2,250.00","2,338.00","2,222.00","2,222.00","65"
04/11/2025,"2,202.00","2,336.00","2,202.00","2,336.00","620"
04/10/2025,"2,242.00","2,336.00","2,240.00","2,336.00","15"
04/08/2025,"2,242.00","2,340.00","2,202.00","2,340.00","205"
04/07/2025,"2,248.00","2,248.00","2,246.00","2,246.00","395"
04/04/2025,"2,300.00","2,350.00","2,300.00","2,350.00","15"
04/02/2025,"2,340.00","2,340.00","2,340.00","2,340.00","5"
03/31/2025,"2,312.00","2,388.00","2,300.00","2,340.00","1,060"
03/28/2025,"2,300.00","2,400.00","2,300.00","2,400.00","850"
03/27/2025,"2,300.00","2,400.00","2,300.00","2,400.00","1,210"
03/26/2025,"2,230.00","2,398.00","2,190.00","2,398.00","790"
03/25/2025,"2,302.00","2,390.00","2,300.00","2,300.00","600"
03/24/2025,"2,310.00","2,400.00","2,300.00","2,400.00","240"
03/21/2025,"2,312.00","2,400.00","2,312.00","2,400.00","235"
03/20/2025,"2,400.00","2,400.00","2,400.00","2,400.00","10"
03/19/2025,"2,380.00","2,450.00","2,310.00","2,450.00","95"
03/18/2025,"2,306.00","2,380.00","2,306.00","2,380.00","25"
03/17/2025,"2,304.00","2,378.00","2,304.00","2,378.00","100"
03/14/2025,"2,380.00","2,380.00","2,380.00","2,380.00","60"
03/13/2025,"2,300.00","2,380.00","2,300.00","2,380.00","30"
03/12/2025,"2,380.00","2,380.00","2,380.00","2,380.00","50"
03/11/2025,"2,350.00","2,380.00","2,350.00","2,380.00","150"
03/10/2025,"2,344.00","2,378.00","2,210.00","2,374.00","305"
03/07/2025,"2,378.00","2,378.00","2,212.00","2,374.00","30"
03/05/2025,"2,260.00","2,380.00","2,260.00","2,380.00","55"
03/04/2025,"2,250.00","2,300.00","2,250.00","2,300.00","35"
03/03/2025,"2,340.00","2,340.00","2,340.00","2,340.00","10"
02/28/2025,"2,350.00","2,350.00","2,214.00","2,214.00","50"
02/26/2025,"2,350.00","2,350.00","2,350.00","2,350.00","20"
02/21/2025,"2,400.00","2,498.00","2,350.00","2,350.00","190"
02/20/2025,"2,488.00","2,488.00","2,488.00","2,488.00","40"
02/19/2025,"2,498.00","2,498.00","2,312.00","2,390.00","45"
02/18/2025,"2,276.00","2,496.00","2,252.00","2,494.00","155"
02/17/2025,"2,300.00","2,310.00","2,300.00","2,310.00","135"
02/14/2025,"2,300.00","2,300.00","2,240.00","2,300.00","75"
02/13/2025,"2,300.00","2,300.00","2,300.00","2,300.00","10"
02/12/2025,"2,194.00","2,300.00","2,178.00","2,300.00","195"
02/11/2025,"2,248.00","2,300.00","2,248.00","2,300.00","310"
02/05/2025,"2,246.00","2,250.00","2,200.00","2,250.00","375"
02/03/2025,"2,250.00","2,250.00","2,250.00","2,250.00","70"
01/31/2025,"2,248.00","2,248.00","2,248.00","2,248.00","80"
01/30/2025,"2,180.00","2,230.00","2,180.00","2,230.00","60"
01/28/2025,"2,226.00","2,226.00","2,226.00","2,226.00","5"
01/24/2025,"2,182.00","2,240.00","2,182.00","2,240.00","25"
01/23/2025,"2,240.00","2,240.00","2,230.00","2,240.00","125"
01/22/2025,"2,174.00","2,246.00","2,174.00","2,240.00","395"
01/20/2025,"2,176.00","2,250.00","2,176.00","2,250.00","90"
01/17/2025,"2,174.00","2,250.00","2,174.00","2,250.00","120"
01/16/2025,"2,166.00","2,250.00","2,166.00","2,250.00","440"
01/15/2025,"2,164.00","2,240.00","2,164.00","2,166.00","15"
01/14/2025,"2,248.00","2,248.00","2,248.00","2,248.00","15"
01/09/2025,"2,170.00","2,248.00","2,170.00","2,248.00","95"
01/08/2025,"2,246.00","2,250.00","2,246.00","2,250.00","215"
01/07/2025,"2,166.00","2,200.00","2,160.00","2,160.00","235"
