Date,Open,High,Low,Close,Volume
2020-01-02,438.4,438.8,438.4,438.4,570
2020-01-03,438.4,438.4,422.0,438.4,680
2020-01-06,423.0,449.2,422.0,425.0,33890
2020-01-07,425.2,449.6,425.2,440.0,15730
2020-01-08,440.0,440.0,440.0,440.0,50
2020-01-09,440.0,440.0,430.0,439.8,560
2020-01-14,440.0,449.0,429.2,438.2,33300
2020-01-15,435.0,449.0,429.2,438.6,47190
2020-01-16,430.6,446.8,429.8,438.0,1730
2020-01-17,446.6,448.8,431.0,439.0,45400
2020-01-21,439.0,448.4,435.0,437.0,280
2020-01-22,430.4,449.0,430.4,438.0,32490
2020-01-23,433.0,449.4,430.6,437.0,52080
2020-01-24,437.0,438.0,437.0,437.0,180
2020-01-28,437.0,448.0,432.2,432.2,560
2020-01-29,447.8,447.8,426.0,426.0,2180
2020-01-30,431.4,445.2,425.4,426.0,60530
2020-01-31,427.2,445.0,420.2,425.0,69240
2020-02-03,424.6,435.0,424.6,435.0,550
2020-02-04,424.4,424.4,423.0,424.4,880
2020-02-05,425.0,425.0,424.4,424.4,180
2020-02-06,424.0,430.0,424.0,424.0,2840
2020-02-07,430.0,430.0,423.4,423.4,170
2020-02-10,423.4,423.8,421.6,421.6,500
2020-02-11,420.0,437.0,415.0,422.0,72430
2020-02-12,420.0,420.0,420.0,420.0,30
2020-02-13,415.8,428.0,415.8,428.0,60
2020-02-17,418.0,427.8,418.0,418.4,430
2020-02-18,418.0,423.8,418.0,420.0,340
2020-02-19,417.0,424.0,417.0,424.0,60
2020-02-20,424.0,424.0,417.0,424.0,400
2020-02-21,418.0,418.0,418.0,418.0,30
2020-02-24,418.0,418.0,418.0,418.0,130
2020-02-26,417.0,417.0,406.0,413.0,640
2020-02-27,413.0,429.8,404.2,413.0,72250
2020-02-28,404.4,415.0,404.4,410.0,70
2020-03-02,404.2,429.6,403.2,410.0,78020
2020-03-03,405.0,410.0,405.0,410.0,30
2020-03-04,410.0,410.0,410.0,410.0,200
2020-03-05,404.0,429.8,403.2,414.0,80660
2020-03-09,404.0,429.0,390.0,403.0,84440
2020-03-10,383.2,400.0,370.2,375.0,1070
2020-03-11,375.0,375.0,370.0,370.0,200
2020-03-12,370.0,370.0,348.0,364.0,430
2020-03-13,300.2,355.4,270.0,355.0,1430
2020-03-16,348.8,354.8,348.8,349.0,510
2020-03-19,339.0,339.0,339.0,339.0,210
2020-03-20,338.0,338.0,335.0,335.0,110
2020-03-23,334.0,335.0,334.0,335.0,520
2020-03-24,334.0,340.0,330.0,330.0,170
2020-03-25,300.0,300.0,300.0,300.0,10
2020-03-26,301.4,399.8,301.4,340.0,2060
2020-03-27,341.0,371.0,341.0,371.0,280
2020-03-31,360.0,396.0,330.0,368.0,840
2020-04-01,365.0,365.0,365.0,365.0,40
2020-04-03,350.0,378.8,350.0,378.8,110
2020-04-13,369.0,369.0,368.0,369.0,100
2020-04-14,360.0,360.0,304.0,336.0,710
2020-04-15,336.0,341.0,330.0,341.0,2070
2020-04-16,341.0,341.0,330.0,337.0,230
