Date,Open,High,Low,Close,Volume
12/19/2022,"1.320","1.320","1.320","1.320","50,000"
12/02/2022,"1.350","1.350","1.350","1.350","2,000"
12/01/2022,"1.340","1.340","1.340","1.340","5,000"
11/28/2022,"1.060","1.060","1.060","1.060","15,000"
11/15/2022,"1.060","1.100","1.060","1.060","10,000"
10/21/2022,"1.340","1.340","1.070","1.070","12,000"
09/09/2022,"1.210","1.210","1.210","1.210","4,000"
09/08/2022,"1.210","1.210","1.210","1.210","1,000"
08/31/2022,"1.200","1.200","1.200","1.200","7,000"
08/23/2022,"1.240","1.240","1.240","1.240","12,000"
08/19/2022,"1.140","1.190","1.140","1.190","22,000"
08/10/2022,"1.340","1.340","1.340","1.340","6,000"
08/03/2022,"1.130","1.130","1.130","1.130","2,000"
06/27/2022,"1.340","1.340","1.340","1.340","4,000"
06/10/2022,"1.340","1.340","1.340","1.340","2,000"
05/12/2022,"1.150","1.150","1.140","1.140","14,000"
05/02/2022,"1.150","1.150","1.150","1.150","2,000"
04/25/2022,"1.150","1.150","1.150","1.150","4,000"
03/22/2022,"1.090","1.090","1.090","1.090","1,000"
03/18/2022,"1.250","1.250","1.250","1.250","7,000"
03/15/2022,"1.330","1.330","1.330","1.330","7,000"
03/14/2022,"1.390","1.390","1.180","1.180","172,000"
03/04/2022,"1.400","1.400","1.400","1.400","3,000"
02/23/2022,"1.480","1.480","1.480","1.480","7,000"
02/17/2022,"1.390","1.390","1.350","1.350","50,000"
02/15/2022,"1.410","1.410","1.390","1.390","50,000"
02/09/2022,"1.400","1.400","1.400","1.400","5,000"
01/31/2022,"1.400","1.400","1.400","1.400","3,000"
01/17/2022,"1.410","1.410","1.390","1.390","91,000"
01/11/2022,"1.410","1.410","1.410","1.410","2,000"
01/10/2022,"1.410","1.410","1.410","1.410","30,000"
01/06/2022,"1.410","1.410","1.410","1.410","17,000"
