Date,Open,High,Low,Close,Volume
12/29/2020,"5.890","8.000","5.890","7.950","230,200"
12/28/2020,"4.500","5.800","4.500","5.800","49,200"
12/22/2020,"5.510","5.510","5.510","5.510","500"
12/21/2020,"5.900","5.900","5.300","5.510","18,400"
12/18/2020,"4.900","5.900","4.800","5.900","40,000"
12/17/2020,"4.880","4.880","4.760","4.880","8,000"
12/16/2020,"4.800","4.890","4.800","4.890","4,000"
12/15/2020,"4.840","4.840","4.840","4.840","1,000"
12/10/2020,"4.940","4.940","4.840","4.850","6,000"
12/09/2020,"4.510","4.520","4.510","4.520","25,000"
12/07/2020,"4.700","4.990","4.360","4.510","29,000"
12/04/2020,"4.700","4.990","4.650","4.800","28,500"
12/03/2020,"5.000","5.040","4.610","5.000","28,300"
12/02/2020,"5.000","5.490","5.000","5.000","49,000"
12/01/2020,"4.410","4.410","4.400","4.410","35,000"
11/27/2020,"4.500","4.500","4.350","4.350","20,000"
11/26/2020,"4.250","5.000","4.250","4.850","27,000"
11/25/2020,"4.350","4.350","4.350","4.350","3,000"
11/24/2020,"3.780","3.790","3.780","3.780","11,000"
11/23/2020,"3.750","3.790","3.750","3.790","7,000"
11/20/2020,"3.750","3.750","3.750","3.750","7,000"
11/19/2020,"3.520","3.760","3.520","3.560","13,000"
11/18/2020,"3.610","3.760","3.610","3.760","5,000"
11/17/2020,"3.250","3.770","3.250","3.610","6,000"
11/13/2020,"3.500","3.500","3.490","3.500","21,000"
11/09/2020,"3.500","3.500","3.300","3.500","12,000"
11/04/2020,"3.250","3.440","3.250","3.440","8,000"
11/03/2020,"3.700","3.700","3.220","3.220","12,000"
10/27/2020,"3.770","3.770","3.680","3.700","17,000"
10/26/2020,"3.750","3.770","3.730","3.770","13,000"
10/23/2020,"3.790","3.790","3.500","3.500","39,000"
10/22/2020,"3.170","3.790","3.170","3.790","44,000"
10/21/2020,"3.000","3.000","3.000","3.000","1,000"
10/16/2020,"3.120","3.120","3.120","3.120","5,000"
10/13/2020,"3.120","3.120","3.120","3.120","3,000"
10/09/2020,"3.130","3.130","3.130","3.130","2,000"
10/08/2020,"3.150","3.150","3.130","3.130","12,000"
10/07/2020,"3.300","3.300","3.130","3.130","32,000"
10/06/2020,"3.100","3.280","3.080","3.280","266,000"
10/02/2020,"2.810","4.390","2.810","4.390","3,000"
09/14/2020,"4.000","4.000","4.000","4.000","1,000"
09/09/2020,"4.020","4.020","4.020","4.020","2,000"
09/08/2020,"4.010","4.010","4.010","4.010","1,000"
08/20/2020,"4.200","4.200","4.200","4.200","1,000"
08/19/2020,"4.150","4.260","4.150","4.200","13,000"
08/10/2020,"4.500","4.500","4.500","4.500","1,000"
08/07/2020,"4.340","4.340","4.340","4.340","2,000"
08/06/2020,"4.100","4.100","4.000","4.000","10,000"
08/05/2020,"4.480","4.480","4.480","4.480","3,000"
08/04/2020,"4.790","4.790","4.500","4.500","11,000"
07/29/2020,"4.300","4.300","4.010","4.010","3,000"
07/23/2020,"5.300","5.300","3.750","4.200","13,900"
07/22/2020,"5.330","5.330","5.330","5.330","12,000"
07/14/2020,"3.570","3.570","3.560","3.560","2,000"
07/13/2020,"3.300","4.350","3.300","4.350","10,000"
07/10/2020,"4.500","4.500","4.500","4.500","10,000"
07/07/2020,"4.510","4.510","4.510","4.510","1,000"
07/06/2020,"4.510","4.510","4.410","4.410","10,000"
07/03/2020,"4.180","4.800","4.170","4.800","12,700"
07/01/2020,"5.800","5.800","5.800","5.800","500"
06/30/2020,"5.890","5.890","5.890","5.890","7,000"
06/25/2020,"5.000","5.000","4.900","4.900","600"
06/24/2020,"4.500","5.100","4.500","5.080","16,400"
06/19/2020,"5.500","5.800","5.500","5.500","8,100"
06/18/2020,"4.500","5.700","4.500","5.500","11,000"
06/11/2020,"4.210","4.210","4.210","4.210","2,000"
06/03/2020,"4.210","4.210","4.210","4.210","500"
05/06/2020,"5.000","5.000","5.000","5.000","500"
04/30/2020,"4.500","5.000","4.500","5.000","2,200"
03/12/2020,"5.020","5.020","5.000","5.000","11,000"
03/09/2020,"5.400","5.400","5.050","5.050","18,000"
03/03/2020,"5.510","5.510","5.410","5.410","10,000"
02/26/2020,"5.410","5.410","5.410","5.410","100"
02/18/2020,"6.500","6.500","6.500","6.500","1,400"
02/11/2020,"6.700","7.000","6.700","6.800","2,200"
02/06/2020,"6.490","6.490","6.490","6.490","1,300"
02/03/2020,"5.050","5.100","5.050","5.100","2,800"
01/31/2020,"5.030","5.030","5.030","5.030","1,200"
01/30/2020,"7.300","7.500","7.300","7.500","1,000"
01/24/2020,"7.500","7.500","7.500","7.500","2,000"
01/20/2020,"7.450","7.450","7.450","7.450","300"
01/17/2020,"7.490","7.500","7.490","7.500","1,000"
01/16/2020,"7.950","7.950","7.500","7.500","13,900"
01/15/2020,"7.800","7.800","7.800","7.800","100"
01/14/2020,"8.000","8.000","7.950","8.000","20,000"
01/10/2020,"7.800","7.800","7.300","7.300","4,000"
01/09/2020,"6.800","7.010","6.800","7.010","4,200"
01/08/2020,"7.000","7.000","6.900","6.900","10,000"
01/06/2020,"6.800","7.940","6.500","7.010","11,300"
01/03/2020,"7.000","7.000","7.000","7.000","5,400"
01/02/2020,"7.000","7.050","7.000","7.000","2,900"
