Date,Open,High,Low,Close,Volume
12/28/2020,"3.390","3.390","3.380","3.380","11,000"
12/23/2020,"3.380","3.380","3.380","3.380","33,000"
12/22/2020,"3.600","3.600","3.400","3.400","184,000"
12/21/2020,"3.720","3.750","3.360","3.460","51,000"
12/18/2020,"3.800","3.800","3.300","3.690","17,000"
12/17/2020,"4.450","4.450","3.660","3.930","108,000"
12/16/2020,"3.480","4.590","3.480","3.980","351,000"
12/15/2020,"3.060","3.060","3.060","3.060","1,000"
12/14/2020,"3.360","3.360","3.350","3.350","3,000"
12/09/2020,"3.330","3.330","3.330","3.330","1,000"
12/04/2020,"3.250","3.340","3.250","3.300","13,000"
12/03/2020,"2.910","2.910","2.910","2.910","1,000"
11/20/2020,"3.250","3.250","3.250","3.250","4,000"
11/19/2020,"3.240","3.240","3.240","3.240","1,000"
11/18/2020,"3.250","3.250","3.250","3.250","2,000"
11/17/2020,"2.920","2.920","2.920","2.920","3,000"
11/05/2020,"2.940","3.280","2.930","3.280","7,000"
10/29/2020,"2.920","2.920","2.920","2.920","2,000"
10/27/2020,"3.110","3.110","2.990","2.990","36,000"
10/26/2020,"3.070","3.070","3.070","3.070","1,000"
10/22/2020,"3.450","3.450","3.450","3.450","1,000"
10/20/2020,"3.340","3.340","3.260","3.260","2,000"
10/19/2020,"3.340","3.580","3.340","3.490","8,000"
10/16/2020,"2.810","2.810","2.810","2.810","3,000"
08/18/2020,"2.950","2.950","2.950","2.950","1,000"
07/28/2020,"3.140","3.140","3.130","3.130","6,000"
07/24/2020,"3.100","3.100","3.100","3.100","1,000"
07/23/2020,"3.120","3.120","3.100","3.100","33,000"
07/22/2020,"3.160","3.160","3.160","3.160","1,000"
07/14/2020,"3.000","3.020","3.000","3.020","3,000"
06/25/2020,"2.390","3.430","2.390","3.430","7,000"
06/24/2020,"3.400","3.400","3.350","3.350","38,000"
06/18/2020,"3.400","3.400","3.390","3.390","8,000"
06/17/2020,"3.180","3.180","3.180","3.180","3,000"
06/16/2020,"3.800","3.800","3.800","3.800","3,000"
06/10/2020,"3.870","3.920","3.420","3.750","45,000"
06/09/2020,"3.640","4.380","3.590","4.270","51,000"
06/08/2020,"3.000","3.000","3.000","3.000","3,000"
06/05/2020,"3.350","3.690","3.350","3.690","4,000"
06/01/2020,"3.650","3.650","3.210","3.580","4,000"
05/29/2020,"3.500","3.660","3.500","3.660","2,000"
05/28/2020,"3.990","3.990","3.260","3.690","5,000"
05/27/2020,"3.020","3.320","3.020","3.270","81,000"
05/26/2020,"3.700","3.700","3.450","3.450","11,000"
05/22/2020,"3.400","3.650","3.400","3.650","4,000"
05/21/2020,"3.050","3.700","3.050","3.500","212,000"
05/06/2020,"4.000","4.000","4.000","4.000","1,000"
04/22/2020,"3.990","3.990","3.990","3.990","4,000"
04/17/2020,"3.990","3.990","3.990","3.990","2,000"
04/16/2020,"3.890","3.890","3.890","3.890","4,000"
04/07/2020,"3.500","3.500","3.500","3.500","4,000"
03/31/2020,"3.610","3.610","3.600","3.600","8,000"
03/02/2020,"3.660","3.660","3.600","3.600","35,000"
02/13/2020,"4.000","4.000","3.800","3.800","29,000"
