Date,Open,High,Low,Close,Volume
04/28/2025,"26.15","26.15","26.15","26.15","100"
04/24/2025,"27.10","27.10","25.30","25.30","400"
04/23/2025,"27.15","27.15","27.15","27.15","100"
04/11/2025,"27.10","27.10","27.10","27.10","300"
04/10/2025,"27.15","27.15","27.15","27.15","100"
04/08/2025,"25.85","25.85","25.85","25.85","100"
04/07/2025,"25.95","25.95","25.85","25.85","50,200"
04/04/2025,"25.80","25.80","25.80","25.80","200"
04/03/2025,"25.80","25.80","25.80","25.80","200"
04/02/2025,"25.80","25.80","25.80","25.80","500"
03/28/2025,"21.05","21.05","21.05","21.05","100"
03/27/2025,"21.00","21.00","21.00","21.00","400"
03/17/2025,"27.00","27.00","26.50","26.50","5,800"
03/13/2025,"26.55","26.55","26.55","26.55","10,000"
03/12/2025,"27.20","27.20","27.20","27.20","2,000"
03/07/2025,"26.65","26.65","26.65","26.65","100"
03/06/2025,"26.65","26.65","26.65","26.65","100"
03/05/2025,"26.65","26.65","26.65","26.65","100"
03/04/2025,"26.65","26.65","26.65","26.65","3,200"
03/03/2025,"26.65","26.65","26.65","26.65","1,500"
02/28/2025,"27.40","27.40","27.40","27.40","424,500"
02/27/2025,"27.40","27.40","26.65","27.40","1,167,900"
02/26/2025,"27.35","27.40","26.60","27.40","243,100"
02/25/2025,"27.30","27.35","27.30","27.35","351,900"
02/24/2025,"26.50","27.40","26.50","27.20","1,034,500"
02/20/2025,"19.98","19.98","19.98","19.98","200"
02/19/2025,"20.00","20.00","20.00","20.00","700"
02/18/2025,"16.46","16.46","16.46","16.46","400"
02/07/2025,"17.94","17.94","17.94","17.94","5,000"
02/05/2025,"16.46","16.96","16.46","16.96","14,500"
02/04/2025,"16.42","16.46","16.42","16.46","18,000"
02/03/2025,"16.42","16.46","16.42","16.44","34,800"
01/31/2025,"15.60","16.46","15.60","16.46","700"
01/28/2025,"16.42","16.42","15.50","15.50","3,100"
01/27/2025,"16.46","16.46","16.46","16.46","100"
01/24/2025,"16.00","16.00","16.00","16.00","100"
01/22/2025,"16.46","16.46","16.46","16.46","300"
01/20/2025,"16.00","16.00","16.00","16.00","100"
01/15/2025,"16.00","16.00","16.00","16.00","300"
01/13/2025,"14.48","14.48","14.48","14.48","100"
01/10/2025,"14.56","14.58","14.56","14.58","200"
01/09/2025,"14.56","14.56","14.56","14.56","500"
01/08/2025,"14.40","14.40","14.40","14.40","500"
