Date,Open,High,Low,Close,Volume
04/08/2025,"25.85","25.85","25.85","25.85","10,000"
04/04/2025,"26.00","26.00","26.00","26.00","400"
04/02/2025,"25.30","26.35","25.30","26.35","23,000"
03/27/2025,"26.40","26.40","26.40","26.40","5,000"
03/12/2025,"26.45","26.45","26.45","26.45","200"
03/07/2025,"26.30","26.30","26.30","26.30","5,000"
03/06/2025,"26.00","26.00","26.00","26.00","400"
02/28/2025,"27.40","27.40","27.40","27.40","25,600"
02/27/2025,"27.40","27.40","27.40","27.40","248,100"
02/26/2025,"27.30","27.40","27.30","27.40","51,900"
02/25/2025,"27.30","27.40","27.30","27.40","200,100"
02/24/2025,"22.00","27.40","22.00","25.90","468,500"
02/05/2025,"19.96","19.96","19.96","19.96","100"
02/03/2025,"15.74","15.74","15.74","15.74","200"
01/31/2025,"19.98","19.98","19.98","19.98","100"
01/27/2025,"19.96","19.96","19.96","19.96","100"
01/17/2025,"19.92","19.94","19.92","19.94","400"
01/16/2025,"15.68","15.68","15.68","15.68","100"
01/13/2025,"19.42","19.42","19.42","19.42","100"
01/10/2025,"19.36","19.36","16.50","16.50","600"
01/09/2025,"15.54","15.60","15.48","15.60","4,100"
01/03/2025,"19.46","19.46","19.46","19.46","100"
01/02/2025,"16.22","16.22","16.22","16.22","100"
