Date,Open,High,Low,Close,Volume
2020-01-06,0.101,0.106,0.1,0.102,7510000
2020-01-07,0.101,0.103,0.097,0.103,1850000
2020-01-08,0.102,0.107,0.101,0.102,6210000
2020-01-09,0.097,0.104,0.097,0.103,80000
2020-01-16,0.1,0.1,0.1,0.1,180000
2020-01-17,0.095,0.101,0.095,0.101,3230000
2020-01-21,0.095,0.095,0.094,0.094,2120000
2020-01-22,0.093,0.101,0.093,0.101,240000
2020-01-24,0.094,0.101,0.094,0.1,250000
2020-01-30,0.101,0.101,0.101,0.101,10000
2020-02-03,0.095,0.099,0.095,0.099,2700000
2020-02-04,0.095,0.1,0.094,0.1,70000
2020-02-06,0.095,0.095,0.091,0.095,580000
2020-02-11,0.093,0.094,0.089,0.094,6440000
2020-02-12,0.094,0.094,0.09,0.09,1740000
2020-02-13,0.091,0.091,0.091,0.091,10000
2020-02-14,0.089,0.093,0.089,0.092,1370000
2020-02-17,0.091,0.094,0.091,0.093,1110000
2020-02-18,0.091,0.091,0.091,0.091,2390000
2020-02-19,0.095,0.096,0.091,0.091,460000
2020-02-20,0.091,0.097,0.091,0.097,220000
2020-02-24,0.091,0.096,0.091,0.096,160000
2020-02-26,0.094,0.096,0.09,0.096,220000
2020-02-27,0.091,0.095,0.09,0.095,480000
2020-02-28,0.09,0.095,0.09,0.095,40000
2020-03-02,0.094,0.094,0.094,0.094,10000
2020-03-03,0.096,0.096,0.088,0.096,330000
2020-03-04,0.096,0.096,0.094,0.094,80000
2020-03-05,0.095,0.096,0.095,0.096,300000
2020-03-09,0.088,0.088,0.087,0.087,2830000
2020-03-10,0.087,0.093,0.087,0.093,220000
2020-03-11,0.093,0.093,0.071,0.088,50000
2020-03-13,0.08,0.085,0.08,0.085,1510000
2020-03-19,0.075,0.077,0.07,0.077,600000
2020-03-20,0.084,0.084,0.081,0.081,20000
2020-03-23,0.062,0.07,0.06,0.068,220000
2020-03-24,0.059,0.066,0.059,0.066,210000
2020-03-25,0.071,0.08,0.065,0.066,180000
2020-03-26,0.067,0.073,0.067,0.073,50000
2020-03-27,0.083,0.083,0.075,0.075,440000
2020-03-30,0.078,0.079,0.078,0.079,30000
2020-03-31,0.08,0.082,0.08,0.082,20000
2020-04-01,0.083,0.083,0.083,0.083,10000
2020-04-02,0.09,0.09,0.088,0.088,60000
2020-04-03,0.09,0.09,0.089,0.089,50000
2020-04-06,0.073,0.083,0.073,0.083,4740000
2020-04-14,0.081,0.089,0.081,0.088,150000
2020-04-15,0.087,0.087,0.081,0.081,110000
2020-04-16,0.081,0.087,0.065,0.077,1930000
2020-04-17,0.078,0.086,0.078,0.086,1040000
2020-04-21,0.08,0.085,0.08,0.085,2970000
2020-04-22,0.083,0.083,0.083,0.083,200000
2020-04-23,0.084,0.087,0.081,0.081,600000
2020-04-24,0.088,0.094,0.088,0.094,1370000
2020-04-27,0.094,0.094,0.085,0.093,620000
2020-04-28,0.082,0.09,0.082,0.09,450000
2020-04-29,0.09,0.091,0.085,0.09,220000
2020-04-30,0.085,0.09,0.083,0.084,6280000
2020-05-04,0.085,0.085,0.084,0.084,310000
2020-05-05,0.085,0.085,0.085,0.085,20000
2020-05-06,0.09,0.09,0.09,0.09,20000
2020-05-07,0.09,0.09,0.083,0.083,1980000
2020-05-08,0.083,0.085,0.083,0.083,910000
2020-05-11,0.083,0.083,0.083,0.083,400000
2020-05-12,0.083,0.083,0.083,0.083,40000
2020-05-13,0.082,0.083,0.082,0.083,60000
2020-05-14,0.082,0.082,0.082,0.082,1950000
2020-05-15,0.08,0.08,0.08,0.08,130000
2020-05-18,0.08,0.08,0.08,0.08,2060000
2020-05-19,0.079,0.079,0.079,0.079,10000
2020-05-21,0.079,0.079,0.079,0.079,180000
2020-05-22,0.08,0.08,0.075,0.075,1920000
2020-05-26,0.075,0.075,0.075,0.075,20000
2020-05-28,0.075,0.077,0.075,0.077,20000
2020-06-02,0.075,0.075,0.075,0.075,40000
2020-06-03,0.077,0.078,0.075,0.078,70000
2020-06-04,0.075,0.075,0.075,0.075,370000
2020-06-09,0.076,0.076,0.076,0.076,80000
2020-06-15,0.08,0.08,0.076,0.079,110000
2020-06-16,0.075,0.083,0.075,0.078,250000
2020-06-17,0.084,0.086,0.082,0.085,440000
2020-06-18,0.086,0.086,0.08,0.08,620000
2020-06-22,0.086,0.086,0.085,0.085,330000
2020-06-23,0.086,0.086,0.086,0.086,690000
2020-06-24,0.088,0.094,0.088,0.09,1890000
2020-06-25,0.094,0.095,0.093,0.093,550000
2020-06-26,0.093,0.093,0.091,0.091,2340000
2020-06-29,0.091,0.1,0.09,0.098,400000
2020-06-30,0.098,0.098,0.095,0.095,130000
2020-07-01,0.09,0.099,0.09,0.099,1460000
2020-07-06,0.1,0.107,0.1,0.1,820000
2020-07-07,0.099,0.099,0.099,0.099,10000
2020-07-08,0.1,0.108,0.1,0.101,1190000
2020-07-09,0.101,0.105,0.101,0.104,1030000
2020-07-10,0.102,0.108,0.102,0.108,5330000
2020-07-13,0.108,0.108,0.108,0.108,1160000
