Date,Open,High,Low,Close,Volume
12/17/2024,"0.003","0.003","0.003","0.003","20,000,000"
12/13/2024,"0.003","0.003","0.003","0.003","6,000,000"
12/12/2024,"0.003","0.003","0.003","0.003","3,000,000"
12/11/2024,"0.003","0.003","0.003","0.003","9,000,000"
12/10/2024,"0.003","0.003","0.003","0.003","10,000,000"
12/04/2024,"0.003","0.003","0.003","0.003","4,000,000"
11/27/2024,"0.003","0.003","0.003","0.003","3,000,000"
11/26/2024,"0.003","0.003","0.003","0.003","1,000,000"
11/25/2024,"0.003","0.003","0.003","0.003","44,000,000"
11/22/2024,"0.003","0.003","0.003","0.003","1,000,000"
11/21/2024,"0.003","0.003","0.003","0.003","34,000,000"
11/19/2024,"0.003","0.003","0.003","0.003","25,000,000"
11/18/2024,"0.003","0.003","0.003","0.003","5,000,000"
11/07/2024,"0.004","0.004","0.004","0.004","8,000,000"
11/06/2024,"0.004","0.004","0.004","0.004","37,000,000"
11/05/2024,"0.004","0.004","0.004","0.004","2,000,000"
10/24/2024,"0.004","0.004","0.004","0.004","1,000,000"
10/23/2024,"0.004","0.004","0.004","0.004","1,000,000"
10/22/2024,"0.004","0.004","0.004","0.004","1,000,000"
10/21/2024,"0.004","0.004","0.004","0.004","14,000,000"
10/18/2024,"0.004","0.004","0.004","0.004","21,000,000"
10/17/2024,"0.004","0.004","0.004","0.004","2,000,000"
10/16/2024,"0.004","0.004","0.004","0.004","8,000,000"
10/15/2024,"0.004","0.004","0.004","0.004","6,000,000"
10/14/2024,"0.004","0.004","0.004","0.004","1,000,000"
10/11/2024,"0.004","0.004","0.004","0.004","14,000,000"
10/10/2024,"0.004","0.004","0.003","0.004","8,000,000"
10/09/2024,"0.004","0.004","0.004","0.004","14,000,000"
10/08/2024,"0.004","0.004","0.004","0.004","3,000,000"
10/07/2024,"0.004","0.004","0.004","0.004","62,000,000"
10/03/2024,"0.004","0.004","0.004","0.004","26,000,000"
10/02/2024,"0.004","0.004","0.004","0.004","69,000,000"
09/30/2024,"0.004","0.004","0.003","0.003","17,000,000"
09/27/2024,"0.004","0.004","0.004","0.004","31,000,000"
09/26/2024,"0.004","0.004","0.004","0.004","1,000,000"
09/25/2024,"0.003","0.003","0.003","0.003","15,000,000"
09/24/2024,"0.003","0.003","0.003","0.003","1,000,000"
09/23/2024,"0.004","0.004","0.003","0.003","31,000,000"
09/20/2024,"0.004","0.004","0.004","0.004","1,000,000"
09/18/2024,"0.003","0.003","0.003","0.003","14,000,000"
09/17/2024,"0.004","0.004","0.003","0.003","20,000,000"
09/16/2024,"0.004","0.004","0.003","0.004","34,000,000"
09/13/2024,"0.003","0.003","0.003","0.003","6,000,000"
09/12/2024,"0.004","0.004","0.003","0.003","71,000,000"
09/11/2024,"0.004","0.004","0.004","0.004","6,000,000"
09/10/2024,"0.004","0.004","0.004","0.004","43,000,000"
09/09/2024,"0.004","0.004","0.004","0.004","3,000,000"
09/06/2024,"0.004","0.004","0.004","0.004","1,000,000"
09/05/2024,"0.004","0.004","0.004","0.004","8,000,000"
09/04/2024,"0.004","0.004","0.004","0.004","10,000,000"
09/03/2024,"0.004","0.004","0.004","0.004","10,000,000"
09/02/2024,"0.004","0.004","0.004","0.004","2,000,000"
08/29/2024,"0.004","0.004","0.004","0.004","6,000,000"
08/27/2024,"0.004","0.004","0.004","0.004","5,000,000"
08/21/2024,"0.004","0.004","0.004","0.004","9,000,000"
08/20/2024,"0.004","0.004","0.004","0.004","14,000,000"
08/19/2024,"0.004","0.004","0.004","0.004","12,000,000"
08/16/2024,"0.004","0.004","0.004","0.004","12,000,000"
08/15/2024,"0.004","0.004","0.004","0.004","6,000,000"
08/14/2024,"0.004","0.004","0.004","0.004","5,000,000"
08/13/2024,"0.004","0.004","0.004","0.004","5,000,000"
08/09/2024,"0.004","0.004","0.004","0.004","2,000,000"
08/08/2024,"0.004","0.004","0.004","0.004","2,000,000"
07/29/2024,"0.004","0.004","0.004","0.004","3,000,000"
07/22/2024,"0.004","0.004","0.004","0.004","1,000,000"
07/19/2024,"0.004","0.004","0.004","0.004","1,000,000"
