Date,Open,High,Low,Close,Volume
10/05/2023,"0.500","0.500","0.500","0.500","22,000"
10/03/2023,"0.500","0.500","0.500","0.500","10,000"
09/29/2023,"0.500","0.500","0.500","0.500","130,000"
08/22/2023,"0.630","0.630","0.630","0.630","7,000"
08/17/2023,"0.630","0.630","0.630","0.630","2,000"
08/16/2023,"0.630","0.630","0.630","0.630","10,000"
08/04/2023,"0.660","0.670","0.630","0.670","28,000"
06/07/2023,"0.660","0.660","0.660","0.660","2,000"
06/01/2023,"0.700","0.700","0.700","0.700","10,000"
05/24/2023,"0.700","0.700","0.700","0.700","12,000"
04/27/2023,"0.740","0.740","0.730","0.730","15,000"
04/14/2023,"0.740","0.740","0.740","0.740","6,000"
03/17/2023,"0.740","0.740","0.740","0.740","10,000"
03/02/2023,"0.730","0.730","0.730","0.730","3,000"
02/10/2023,"0.740","0.740","0.740","0.740","1,000"
01/12/2023,"0.700","0.700","0.700","0.700","2,000"
