Date,Open,High,Low,Close,Volume
2020-01-02,1.0,1.0,1.0,1.0,43000
2020-01-14,1.0,1.0,1.0,1.0,3000
2020-01-15,1.0,1.0,1.0,1.0,5000
2020-01-21,0.91,0.99,0.9,0.99,30000
2020-01-22,1.0,1.0,1.0,1.0,2000
2020-01-24,0.99,0.99,0.99,0.99,11000
2020-01-27,0.95,1.15,0.95,1.1,934000
2020-01-28,1.19,1.3,1.06,1.14,229000
2020-01-29,1.01,1.12,1.01,1.01,22000
2020-01-30,0.97,1.06,0.96,0.97,157000
2020-01-31,0.98,0.98,0.96,0.96,442000
2020-02-03,0.96,0.96,0.96,0.96,10000
2020-02-04,1.19,1.19,1.12,1.12,43000
2020-02-07,0.96,0.96,0.96,0.96,18000
2020-02-10,0.98,0.98,0.98,0.98,2000
2020-02-11,0.96,0.96,0.96,0.96,3000
2020-02-14,0.96,1.44,0.96,1.39,728000
2020-02-17,1.39,1.39,1.2,1.2,10000
2020-02-18,1.29,1.4,1.27,1.29,74000
2020-02-19,1.29,1.29,1.21,1.28,8000
2020-02-20,1.29,1.29,1.2,1.2,5000
2020-02-21,1.3,1.8,1.3,1.8,1256000
2020-02-24,1.87,2.08,1.5,1.5,1288000
2020-02-26,1.52,1.52,1.27,1.36,73000
2020-02-27,1.5,2.04,1.5,2.04,1205000
2020-02-28,2.04,2.04,1.84,1.84,160000
2020-03-02,1.87,2.5,1.87,2.13,2074000
2020-03-03,2.13,2.89,2.13,2.71,2900000
2020-03-04,2.8,3.24,2.78,2.78,1582000
2020-03-05,2.88,3.09,2.57,2.76,314000
2020-03-06,2.6,2.85,2.6,2.76,76000
2020-03-09,2.77,2.77,2.21,2.26,172000
2020-03-10,1.72,2.1,1.6,2.01,196000
2020-03-11,2.1,2.4,2.1,2.2,227000
2020-03-12,2.0,2.2,1.8,1.8,94000
2020-03-13,1.24,1.9,1.24,1.89,118000
2020-03-16,1.55,1.99,1.55,1.7,109000
2020-03-19,1.45,1.5,1.34,1.34,26000
2020-03-20,1.12,1.34,1.0,1.22,154000
2020-03-23,1.22,1.46,1.05,1.38,10000
2020-03-24,1.38,1.59,1.32,1.49,62000
2020-03-25,1.66,1.66,1.38,1.4,88000
2020-03-26,1.5,1.65,1.5,1.56,169000
2020-03-27,1.64,1.75,1.5,1.51,39000
2020-03-30,1.4,1.4,1.39,1.4,31000
2020-03-31,1.6,1.63,1.48,1.48,39000
2020-04-01,1.48,1.59,1.48,1.59,3000
2020-04-02,1.59,1.59,1.58,1.58,14000
2020-04-03,1.41,1.58,1.41,1.58,17000
2020-04-06,1.58,1.63,1.55,1.55,9000
2020-04-07,1.6,1.6,1.6,1.6,1000
2020-04-08,1.6,1.6,1.41,1.59,16000
2020-04-13,1.43,1.43,1.43,1.43,3000
2020-04-14,1.57,1.57,1.57,1.57,5000
2020-04-15,1.46,1.85,1.46,1.85,128000
2020-04-16,1.86,1.86,1.63,1.63,18000
2020-04-17,1.67,1.81,1.67,1.77,24000
2020-04-20,1.77,1.9,1.77,1.9,72000
2020-04-21,1.67,1.89,1.66,1.89,10000
2020-04-23,1.8,2.38,1.8,2.14,349000
2020-04-24,2.1,2.82,2.1,2.51,1012000
2020-04-27,2.54,2.54,2.37,2.37,55000
2020-04-28,2.0,3.0,2.0,2.79,301000
2020-04-29,2.8,3.05,2.79,2.91,337000
2020-04-30,2.75,2.75,2.75,2.75,38000
2020-05-04,2.75,2.75,2.58,2.61,28000
2020-05-05,2.71,2.85,2.7,2.7,29000
2020-05-06,2.7,2.7,2.45,2.51,20000
2020-05-07,2.55,2.56,2.55,2.56,3000
2020-05-13,2.57,2.74,2.3,2.74,20000
2020-05-14,2.74,2.82,2.73,2.75,138000
2020-05-15,2.57,2.82,2.57,2.7,51000
2020-05-18,2.5,2.7,2.5,2.7,32000
2020-05-19,2.75,2.75,2.63,2.75,17000
2020-05-20,2.7,2.7,2.7,2.7,2000
2020-05-21,2.51,2.69,2.51,2.6,14000
2020-05-22,2.55,2.55,2.55,2.55,2000
2020-05-26,2.75,2.75,2.75,2.75,3000
2020-06-03,2.22,2.5,2.22,2.5,17000
2020-06-04,2.25,2.5,2.25,2.5,10000
2020-06-05,2.3,2.3,2.3,2.3,4000
2020-06-08,2.36,2.4,2.35,2.36,83000
2020-06-09,2.5,2.72,2.49,2.72,59000
2020-06-10,2.6,2.6,2.45,2.58,38000
2020-06-15,2.36,2.37,2.36,2.36,52000
2020-06-16,2.4,2.47,2.4,2.47,35000
2020-06-17,2.47,2.47,2.47,2.47,3000
2020-06-19,2.25,2.37,2.2,2.36,44000
2020-06-22,2.35,2.5,2.3,2.5,21000
2020-06-23,2.5,2.5,2.5,2.5,2000
2020-06-25,2.4,2.4,2.4,2.4,5000
2020-06-26,2.1,2.39,2.1,2.39,12000
2020-06-29,2.05,2.05,2.05,2.05,1000
2020-06-30,2.35,2.35,2.2,2.2,4000
2020-07-01,2.29,2.29,2.29,2.29,1000
2020-07-02,2.08,2.2,2.08,2.19,8000
2020-07-03,2.08,2.08,2.08,2.08,1000
2020-07-06,2.09,2.25,2.09,2.25,8000
2020-07-09,2.04,2.06,2.04,2.06,7000
2020-07-10,2.09,2.22,2.08,2.22,15000
2020-07-13,2.01,2.01,2.01,2.01,10000
2020-07-14,2.0,2.3,1.9,1.9,42000
2020-07-15,2.16,2.16,2.16,2.16,1000
2020-07-16,2.15,2.15,2.15,2.15,14000
2020-07-29,2.2,2.53,1.65,1.65,19000
2020-07-30,1.71,1.71,1.71,1.71,1000
2020-08-03,1.65,1.65,1.65,1.65,2000
2020-08-05,1.68,1.68,1.68,1.68,4000
2020-08-14,1.75,1.75,1.71,1.71,11000
2020-08-17,1.76,1.76,1.76,1.76,2000
2020-08-26,1.76,1.76,1.76,1.76,2000
2020-09-15,1.45,1.45,1.45,1.45,1000
2020-09-16,1.99,2.1,1.8,1.8,31000
2020-09-17,2.0,2.35,2.0,2.2,79000
2020-09-18,2.3,2.33,2.05,2.28,120000
2020-09-21,2.25,2.25,1.95,1.95,8000
2020-09-22,1.95,2.09,1.8,2.09,123000
2020-09-23,2.29,2.3,2.05,2.08,96000
2020-09-24,2.08,2.08,2.08,2.08,2000
2020-09-25,2.05,2.09,1.92,2.09,42000
2020-09-28,2.09,2.09,2.0,2.0,20000
2020-09-30,2.09,2.25,2.09,2.2,126000
2020-10-01,2.01,2.2,2.01,2.17,9000
2020-10-02,1.91,1.93,1.91,1.93,7000
2020-10-05,1.95,1.95,1.95,1.95,15000
2020-10-06,1.93,1.93,1.9,1.9,20000
2020-10-07,1.85,1.85,1.85,1.85,1000
2020-10-08,1.86,2.0,1.7,1.7,66000
