Date,Open,High,Low,Close,Volume
2020-01-02,0.36,0.39,0.36,0.385,190000
2020-01-06,0.415,0.47,0.4,0.425,3290000
2020-01-07,0.445,0.445,0.405,0.405,800000
2020-01-08,0.4,0.4,0.39,0.4,530000
2020-01-09,0.39,0.41,0.39,0.41,110000
2020-01-15,0.41,0.41,0.41,0.41,100000
2020-01-16,0.395,0.395,0.395,0.395,50000
2020-01-17,0.395,0.41,0.395,0.405,380000
2020-01-20,0.4,0.4,0.395,0.4,510000
2020-01-21,0.39,0.485,0.39,0.44,6970000
2020-01-22,0.44,0.45,0.415,0.45,260000
2020-01-23,0.45,0.45,0.41,0.41,600000
2020-01-24,0.405,0.435,0.405,0.435,60000
2020-01-27,0.41,0.41,0.405,0.405,590000
2020-01-28,0.405,0.42,0.405,0.405,100000
2020-01-29,0.41,0.41,0.4,0.4,160000
2020-01-30,0.405,0.405,0.4,0.4,410000
2020-01-31,0.4,0.48,0.4,0.435,4450000
2020-02-03,0.425,0.44,0.4,0.43,1920000
2020-02-04,0.425,0.435,0.415,0.43,110000
2020-02-05,0.44,0.47,0.435,0.445,2330000
2020-02-06,0.435,0.435,0.405,0.435,710000
2020-02-07,0.41,0.435,0.41,0.43,200000
2020-02-10,0.41,0.64,0.405,0.64,74940000
2020-02-11,0.68,0.7,0.52,0.53,49306000
2020-02-12,0.53,0.6,0.48,0.48,23535000
2020-02-13,0.47,0.475,0.455,0.455,2960000
2020-02-14,0.45,0.54,0.45,0.465,11160000
2020-02-17,0.47,0.49,0.45,0.49,5170000
2020-02-18,0.495,0.495,0.46,0.46,3290000
2020-02-19,0.46,0.46,0.45,0.46,1100000
2020-02-20,0.46,0.465,0.455,0.46,250000
2020-02-21,0.46,0.46,0.44,0.44,1360000
2020-02-24,0.44,0.46,0.44,0.445,1280000
2020-02-26,0.455,0.455,0.4,0.435,2360000
2020-02-27,0.435,0.44,0.415,0.425,380000
2020-02-28,0.425,0.56,0.42,0.47,31820000
2020-03-02,0.485,0.52,0.45,0.46,6440000
2020-03-03,0.465,0.48,0.435,0.45,2930000
2020-03-04,0.44,0.51,0.43,0.46,7500000
2020-03-05,0.49,0.49,0.445,0.45,1650000
2020-03-06,0.455,0.455,0.44,0.44,270000
2020-03-09,0.47,0.47,0.41,0.41,3200000
2020-03-10,0.405,0.41,0.39,0.405,1590000
2020-03-11,0.435,0.435,0.41,0.41,540000
2020-03-12,0.4,0.42,0.39,0.39,1940000
2020-03-13,0.38,0.39,0.35,0.39,870000
2020-03-16,0.37,0.39,0.37,0.37,40000
2020-03-19,0.36,0.36,0.305,0.305,540000
2020-03-20,0.305,0.31,0.305,0.31,140000
2020-03-23,0.315,0.32,0.315,0.32,60000
2020-03-24,0.315,0.325,0.315,0.325,60000
2020-03-25,0.32,0.34,0.32,0.335,240000
2020-03-26,0.335,0.36,0.335,0.36,240000
2020-03-27,0.36,0.38,0.36,0.37,150000
2020-03-31,0.37,0.375,0.37,0.37,80000
2020-04-01,0.37,0.375,0.37,0.375,200000
2020-04-02,0.37,0.37,0.365,0.365,20000
2020-04-03,0.375,0.375,0.365,0.365,70000
2020-04-06,0.38,0.38,0.34,0.365,1000000
2020-04-07,0.365,0.365,0.35,0.35,70000
2020-04-08,0.35,0.375,0.35,0.375,190000
2020-04-14,0.375,0.375,0.35,0.36,790000
2020-04-15,0.365,0.38,0.365,0.365,250000
2020-04-17,0.365,0.4,0.36,0.39,750000
2020-04-20,0.39,0.39,0.365,0.365,370000
2020-04-22,0.365,0.375,0.36,0.36,370000
2020-04-23,0.365,0.365,0.36,0.36,30000
2020-04-24,0.37,0.37,0.36,0.36,290000
2020-04-27,0.36,0.375,0.35,0.35,320000
2020-04-28,0.35,0.355,0.35,0.355,60000
2020-04-29,0.37,0.37,0.37,0.37,30000
2020-05-04,0.37,0.37,0.35,0.355,100000
