Date,Open,High,Low,Close,Volume
12/27/2024,"0.310","0.310","0.310","0.310","20,000"
12/26/2024,"0.310","0.310","0.310","0.310","80,000"
12/23/2024,"0.300","0.300","0.300","0.300","90,000"
12/20/2024,"0.300","0.300","0.300","0.300","20,000"
12/19/2024,"0.305","0.305","0.305","0.305","30,000"
12/18/2024,"0.305","0.305","0.305","0.305","230,000"
12/17/2024,"0.305","0.310","0.305","0.310","100,000"
12/16/2024,"0.305","0.310","0.305","0.310","90,000"
12/13/2024,"0.305","0.305","0.305","0.305","80,000"
12/12/2024,"0.310","0.310","0.310","0.310","20,000"
12/11/2024,"0.305","0.305","0.305","0.305","70,000"
12/10/2024,"0.305","0.305","0.305","0.305","170,000"
12/06/2024,"0.305","0.305","0.305","0.305","190,000"
12/05/2024,"0.325","0.325","0.305","0.305","260,000"
12/04/2024,"0.310","0.315","0.310","0.310","470,000"
12/03/2024,"0.315","0.315","0.310","0.310","200,000"
12/02/2024,"0.310","0.325","0.310","0.325","120,000"
11/29/2024,"0.315","0.315","0.315","0.315","70,000"
11/28/2024,"0.320","0.330","0.315","0.315","900,000"
11/26/2024,"0.320","0.335","0.320","0.335","1,290,000"
11/25/2024,"0.325","0.325","0.320","0.325","160,000"
11/22/2024,"0.325","0.325","0.325","0.325","50,000"
11/21/2024,"0.330","0.330","0.325","0.325","130,000"
11/19/2024,"0.345","0.345","0.330","0.330","200,000"
11/18/2024,"0.330","0.340","0.330","0.340","20,000"
11/15/2024,"0.325","0.345","0.320","0.340","3,700,000"
11/14/2024,"0.340","0.345","0.325","0.340","1,660,000"
11/13/2024,"0.345","0.350","0.335","0.335","530,000"
11/11/2024,"0.345","0.350","0.345","0.350","150,000"
11/08/2024,"0.335","0.350","0.335","0.350","800,000"
11/07/2024,"0.350","0.350","0.345","0.345","180,000"
11/06/2024,"0.345","0.360","0.335","0.350","1,780,000"
11/05/2024,"0.350","0.350","0.345","0.350","520,000"
11/04/2024,"0.340","0.345","0.340","0.345","80,000"
10/30/2024,"0.330","0.350","0.330","0.350","580,000"
10/29/2024,"0.335","0.335","0.330","0.335","660,000"
10/28/2024,"0.340","0.340","0.340","0.340","200,000"
10/25/2024,"0.330","0.340","0.330","0.340","440,000"
10/24/2024,"0.330","0.330","0.330","0.330","240,000"
10/23/2024,"0.335","0.335","0.330","0.330","620,000"
10/22/2024,"0.345","0.345","0.340","0.340","90,000"
10/21/2024,"0.345","0.345","0.345","0.345","90,000"
10/18/2024,"0.335","0.345","0.335","0.345","180,000"
10/17/2024,"0.345","0.345","0.335","0.335","860,000"
10/16/2024,"0.335","0.350","0.330","0.340","1,660,000"
10/15/2024,"0.335","0.345","0.335","0.340","80,000"
10/14/2024,"0.350","0.350","0.335","0.350","950,000"
10/11/2024,"0.350","0.350","0.335","0.340","190,000"
10/10/2024,"0.340","0.360","0.335","0.335","1,710,000"
10/09/2024,"0.345","0.345","0.335","0.335","1,560,000"
10/08/2024,"0.355","0.355","0.340","0.345","900,000"
10/07/2024,"0.350","0.360","0.350","0.355","280,000"
10/04/2024,"0.345","0.350","0.340","0.350","500,000"
10/03/2024,"0.350","0.350","0.340","0.345","1,890,000"
10/02/2024,"0.360","0.360","0.350","0.350","940,000"
10/01/2024,"0.370","0.370","0.350","0.360","420,000"
09/30/2024,"0.375","0.375","0.355","0.360","360,000"
09/27/2024,"0.365","0.380","0.350","0.370","1,510,000"
09/26/2024,"0.385","0.385","0.350","0.365","2,720,000"
09/25/2024,"0.335","0.390","0.335","0.370","14,510,000"
09/24/2024,"0.330","0.335","0.325","0.335","230,000"
09/23/2024,"0.320","0.330","0.320","0.330","130,000"
09/20/2024,"0.335","0.335","0.320","0.320","2,550,000"
09/19/2024,"0.335","0.335","0.320","0.330","380,000"
09/18/2024,"0.330","0.330","0.330","0.330","70,000"
09/17/2024,"0.310","0.335","0.305","0.330","3,340,000"
09/16/2024,"0.310","0.320","0.305","0.320","410,000"
09/13/2024,"0.315","0.315","0.315","0.315","80,000"
09/12/2024,"0.325","0.325","0.320","0.320","180,000"
09/11/2024,"0.320","0.335","0.320","0.325","600,000"
09/10/2024,"0.335","0.340","0.320","0.325","3,270,000"
09/09/2024,"0.300","0.330","0.300","0.330","4,840,000"
09/06/2024,"0.290","0.300","0.280","0.300","5,580,000"
09/05/2024,"0.290","0.305","0.285","0.305","3,810,000"
09/04/2024,"0.300","0.310","0.290","0.310","2,390,000"
09/03/2024,"0.305","0.305","0.305","0.305","60,000"
09/02/2024,"0.295","0.305","0.295","0.305","1,910,000"
08/30/2024,"0.295","0.310","0.295","0.310","70,000"
08/29/2024,"0.320","0.320","0.295","0.295","450,000"
08/28/2024,"0.310","0.320","0.310","0.320","60,000"
08/27/2024,"0.300","0.315","0.295","0.310","290,000"
08/22/2024,"0.320","0.320","0.300","0.300","440,000"
08/21/2024,"0.315","0.320","0.315","0.320","170,000"
08/20/2024,"0.305","0.320","0.300","0.310","120,000"
08/19/2024,"0.320","0.320","0.305","0.305","270,000"
08/16/2024,"0.315","0.320","0.315","0.320","260,000"
08/15/2024,"0.330","0.330","0.295","0.315","1,110,000"
08/14/2024,"0.280","0.350","0.280","0.320","4,600,000"
08/13/2024,"0.280","0.295","0.280","0.295","40,000"
08/12/2024,"0.280","0.295","0.280","0.295","20,000"
08/09/2024,"0.295","0.295","0.295","0.295","20,000"
08/08/2024,"0.290","0.295","0.290","0.295","40,000"
08/06/2024,"0.290","0.295","0.290","0.290","50,000"
08/05/2024,"0.295","0.295","0.295","0.295","10,000"
08/02/2024,"0.290","0.290","0.275","0.285","130,000"
08/01/2024,"0.280","0.295","0.280","0.295","80,000"
07/31/2024,"0.295","0.295","0.280","0.280","810,000"
07/30/2024,"0.280","0.295","0.275","0.295","770,000"
07/29/2024,"0.300","0.300","0.290","0.295","40,000"
07/26/2024,"0.290","0.290","0.290","0.290","20,000"
07/25/2024,"0.290","0.295","0.280","0.295","50,000"
07/22/2024,"0.285","0.295","0.280","0.290","290,000"
07/19/2024,"0.285","0.285","0.285","0.285","20,000"
07/18/2024,"0.295","0.295","0.285","0.290","3,140,000"
07/17/2024,"0.280","0.295","0.280","0.285","170,000"
07/16/2024,"0.285","0.300","0.280","0.295","1,690,000"
07/15/2024,"0.290","0.295","0.285","0.290","250,000"
07/12/2024,"0.295","0.300","0.290","0.300","160,000"
07/11/2024,"0.295","0.295","0.295","0.295","10,000"
07/10/2024,"0.295","0.300","0.295","0.300","330,000"
07/09/2024,"0.295","0.300","0.295","0.300","40,000"
07/08/2024,"0.295","0.300","0.285","0.300","170,000"
07/05/2024,"0.295","0.295","0.295","0.295","30,000"
07/04/2024,"0.285","0.300","0.285","0.300","290,000"
07/03/2024,"0.280","0.295","0.265","0.280","1,620,000"
07/02/2024,"0.280","0.280","0.280","0.280","60,000"
07/01/2024,"0.295","0.295","0.290","0.290","270,000"
06/28/2024,"0.300","0.300","0.295","0.295","40,000"
06/27/2024,"0.300","0.300","0.290","0.295","80,000"
06/26/2024,"0.300","0.300","0.300","0.300","30,000"
06/25/2024,"0.295","0.295","0.295","0.295","150,000"
06/24/2024,"0.295","0.300","0.290","0.290","110,000"
06/21/2024,"0.300","0.300","0.290","0.290","260,000"
06/20/2024,"0.295","0.300","0.290","0.300","70,000"
06/19/2024,"0.300","0.300","0.300","0.300","60,000"
06/18/2024,"0.290","0.300","0.280","0.300","470,000"
06/14/2024,"0.285","0.285","0.285","0.285","10,000"
06/13/2024,"0.290","0.290","0.290","0.290","140,000"
06/11/2024,"0.300","0.300","0.300","0.300","20,000"
06/10/2024,"0.295","0.295","0.295","0.295","10,000"
06/06/2024,"0.290","0.300","0.290","0.290","280,000"
06/05/2024,"0.290","0.290","0.290","0.290","40,000"
06/04/2024,"0.300","0.305","0.295","0.295","590,000"
06/03/2024,"0.310","0.310","0.300","0.300","270,000"
05/31/2024,"0.310","0.310","0.305","0.305","160,000"
05/30/2024,"0.310","0.310","0.305","0.305","190,000"
05/29/2024,"0.305","0.310","0.305","0.305","930,000"
05/28/2024,"0.300","0.305","0.300","0.305","170,000"
05/27/2024,"0.290","0.305","0.285","0.305","200,000"
05/24/2024,"0.300","0.305","0.300","0.305","110,000"
05/23/2024,"0.295","0.300","0.295","0.300","20,000"
05/22/2024,"0.295","0.295","0.295","0.295","10,000"
05/21/2024,"0.295","0.295","0.295","0.295","30,000"
05/20/2024,"0.310","0.310","0.295","0.310","40,000"
05/17/2024,"0.300","0.310","0.300","0.310","440,000"
05/16/2024,"0.290","0.310","0.290","0.310","940,000"
05/14/2024,"0.285","0.295","0.285","0.290","110,000"
05/13/2024,"0.300","0.300","0.285","0.300","70,000"
05/10/2024,"0.285","0.300","0.285","0.300","50,000"
05/09/2024,"0.295","0.295","0.295","0.295","80,000"
05/08/2024,"0.290","0.300","0.285","0.285","460,000"
05/07/2024,"0.300","0.300","0.300","0.300","10,000"
05/06/2024,"0.305","0.305","0.300","0.300","230,000"
05/03/2024,"0.300","0.300","0.290","0.300","240,000"
05/02/2024,"0.285","0.290","0.285","0.285","120,000"
04/29/2024,"0.300","0.305","0.290","0.290","60,000"
04/26/2024,"0.305","0.305","0.290","0.290","130,000"
04/25/2024,"0.300","0.300","0.290","0.290","140,000"
04/24/2024,"0.290","0.305","0.285","0.285","1,250,000"
04/23/2024,"0.300","0.305","0.285","0.300","120,000"
04/22/2024,"0.285","0.310","0.285","0.285","130,000"
04/18/2024,"0.300","0.300","0.285","0.300","60,000"
04/17/2024,"0.285","0.300","0.285","0.300","60,000"
04/16/2024,"0.285","0.285","0.285","0.285","10,000"
04/15/2024,"0.285","0.290","0.285","0.290","180,000"
04/12/2024,"0.290","0.290","0.285","0.285","250,000"
04/08/2024,"0.290","0.305","0.290","0.305","190,000"
04/05/2024,"0.285","0.305","0.285","0.290","200,000"
04/03/2024,"0.305","0.305","0.290","0.290","290,000"
04/02/2024,"0.290","0.310","0.290","0.310","2,030,000"
04/01/2024,"0.295","0.300","0.290","0.300","290,000"
03/27/2024,"0.300","0.300","0.300","0.300","20,000"
03/26/2024,"0.290","0.305","0.285","0.300","2,630,000"
03/25/2024,"0.305","0.305","0.285","0.285","300,000"
03/22/2024,"0.310","0.315","0.310","0.315","170,000"
03/21/2024,"0.300","0.310","0.300","0.310","240,000"
03/20/2024,"0.290","0.305","0.290","0.305","30,000"
03/19/2024,"0.305","0.305","0.290","0.290","50,000"
03/18/2024,"0.285","0.305","0.285","0.305","150,000"
03/15/2024,"0.290","0.310","0.285","0.285","4,830,000"
03/14/2024,"0.300","0.300","0.295","0.300","360,000"
03/13/2024,"0.300","0.300","0.300","0.300","50,000"
03/12/2024,"0.300","0.305","0.300","0.305","70,000"
03/11/2024,"0.300","0.310","0.300","0.300","270,000"
03/08/2024,"0.295","0.315","0.295","0.315","1,250,000"
03/07/2024,"0.300","0.300","0.300","0.300","80,000"
03/06/2024,"0.315","0.315","0.300","0.300","700,000"
03/05/2024,"0.310","0.315","0.310","0.310","200,000"
03/04/2024,"0.320","0.320","0.305","0.310","270,000"
03/01/2024,"0.310","0.320","0.300","0.310","2,290,000"
02/28/2024,"0.315","0.320","0.315","0.315","60,000"
02/27/2024,"0.310","0.315","0.310","0.315","40,000"
02/26/2024,"0.315","0.315","0.315","0.315","10,000"
02/23/2024,"0.315","0.320","0.315","0.315","130,000"
02/22/2024,"0.315","0.315","0.315","0.315","300,000"
02/21/2024,"0.310","0.320","0.310","0.320","130,000"
02/20/2024,"0.320","0.320","0.320","0.320","100,000"
02/19/2024,"0.310","0.315","0.310","0.315","60,000"
02/16/2024,"0.320","0.320","0.310","0.315","150,000"
02/15/2024,"0.310","0.315","0.305","0.315","270,000"
02/14/2024,"0.310","0.320","0.305","0.305","680,000"
02/13/2024,"0.310","0.320","0.310","0.315","1,030,000"
02/12/2024,"0.315","0.315","0.315","0.315","180,000"
02/08/2024,"0.315","0.325","0.315","0.315","100,000"
02/07/2024,"0.315","0.325","0.315","0.315","90,000"
02/06/2024,"0.310","0.325","0.310","0.325","1,310,000"
02/05/2024,"0.310","0.325","0.310","0.315","130,000"
02/02/2024,"0.320","0.325","0.310","0.325","140,000"
02/01/2024,"0.310","0.320","0.310","0.320","60,000"
01/31/2024,"0.310","0.330","0.305","0.330","2,580,000"
01/30/2024,"0.320","0.320","0.310","0.315","160,000"
