Date,Open,High,Low,Close,Volume
12/29/2022,"2.130","2.150","2.000","2.000","20,638,000"
12/28/2022,"2.120","2.140","2.100","2.100","7,904,000"
12/27/2022,"2.110","2.170","2.100","2.120","5,602,000"
12/23/2022,"2.130","2.130","2.090","2.110","2,553,000"
12/22/2022,"2.130","2.140","2.110","2.130","4,262,000"
12/21/2022,"2.090","2.130","2.090","2.110","6,152,000"
12/20/2022,"2.150","2.150","2.070","2.090","4,058,000"
12/19/2022,"2.140","2.190","2.070","2.130","7,930,000"
12/16/2022,"2.150","2.210","2.100","2.120","26,756,000"
12/15/2022,"2.180","2.180","2.130","2.160","5,606,000"
12/14/2022,"2.240","2.270","2.150","2.180","19,361,000"
12/13/2022,"2.260","2.270","2.220","2.230","17,712,000"
12/12/2022,"2.270","2.280","2.240","2.240","13,980,000"
12/09/2022,"2.280","2.330","2.240","2.260","20,290,000"
12/07/2022,"2.240","2.290","2.240","2.280","19,383,000"
12/06/2022,"2.280","2.280","2.230","2.240","6,400,000"
12/05/2022,"2.250","2.290","2.250","2.280","3,096,000"
12/02/2022,"2.290","2.290","2.220","2.240","5,106,000"
12/01/2022,"2.250","2.320","2.240","2.240","15,463,000"
11/29/2022,"2.310","2.310","2.230","2.240","19,848,000"
11/28/2022,"2.260","2.330","2.260","2.320","13,104,000"
11/25/2022,"2.280","2.290","2.250","2.260","11,875,000"
11/24/2022,"2.300","2.320","2.250","2.270","9,841,000"
11/23/2022,"2.280","2.330","2.270","2.290","18,566,000"
11/22/2022,"2.250","2.280","2.250","2.260","8,839,000"
11/21/2022,"2.270","2.290","2.200","2.220","8,862,000"
11/18/2022,"2.170","2.290","2.160","2.260","34,335,000"
11/17/2022,"2.180","2.200","2.150","2.180","5,746,000"
11/16/2022,"2.200","2.230","2.180","2.190","4,946,000"
11/15/2022,"2.120","2.200","2.120","2.170","17,746,000"
11/14/2022,"2.080","2.140","2.080","2.120","16,928,000"
11/11/2022,"2.100","2.130","2.050","2.060","25,164,000"
11/10/2022,"2.040","2.060","2.030","2.060","5,720,000"
11/09/2022,"2.040","2.070","2.020","2.020","24,287,000"
11/08/2022,"2.050","2.080","2.040","2.050","5,822,000"
11/07/2022,"2.060","2.080","2.040","2.050","18,122,000"
11/04/2022,"2.090","2.100","2.050","2.060","14,452,000"
11/03/2022,"2.080","2.110","2.060","2.070","2,795,000"
11/02/2022,"2.080","2.140","2.080","2.130","13,636,000"
10/28/2022,"2.120","2.120","2.060","2.080","15,978,000"
10/27/2022,"2.080","2.120","2.050","2.090","10,237,000"
10/26/2022,"2.000","2.060","2.000","2.060","8,300,000"
10/25/2022,"2.080","2.080","2.050","2.050","9,465,000"
10/24/2022,"2.050","2.100","2.040","2.060","4,954,000"
10/21/2022,"2.040","2.050","2.020","2.030","6,705,000"
10/20/2022,"2.130","2.150","1.990","1.990","48,666,000"
10/19/2022,"2.170","2.170","2.100","2.100","2,802,000"
10/18/2022,"2.080","2.160","2.080","2.140","17,255,000"
10/17/2022,"2.050","2.070","2.020","2.030","3,278,000"
10/14/2022,"2.060","2.080","2.040","2.040","2,540,000"
10/13/2022,"2.000","2.040","1.980","2.040","2,847,000"
10/12/2022,"2.000","2.020","1.990","2.000","1,820,000"
10/11/2022,"1.990","2.040","1.980","2.000","3,764,000"
10/10/2022,"2.040","2.040","1.950","1.990","7,682,000"
10/07/2022,"2.060","2.060","2.010","2.030","6,575,000"
10/06/2022,"2.060","2.080","2.050","2.060","2,489,000"
10/05/2022,"2.100","2.130","2.020","2.060","5,696,000"
10/04/2022,"2.080","2.120","2.050","2.070","10,842,000"
10/03/2022,"2.030","2.060","2.010","2.050","7,294,000"
09/30/2022,"2.080","2.080","2.040","2.040","14,363,000"
09/29/2022,"2.100","2.130","2.080","2.110","9,221,000"
09/28/2022,"2.080","2.140","2.050","2.060","13,339,000"
09/27/2022,"2.170","2.170","2.070","2.080","14,539,000"
09/23/2022,"2.170","2.200","2.140","2.170","11,086,000"
09/22/2022,"2.200","2.210","2.160","2.170","17,342,000"
09/21/2022,"2.250","2.250","2.200","2.210","17,543,000"
09/20/2022,"2.320","2.320","2.240","2.260","9,369,000"
09/19/2022,"2.290","2.310","2.210","2.300","14,975,000"
09/16/2022,"2.320","2.320","2.260","2.280","36,941,000"
09/15/2022,"2.340","2.370","2.310","2.320","6,383,000"
09/14/2022,"2.370","2.370","2.300","2.310","26,246,000"
09/13/2022,"2.440","2.440","2.390","2.410","9,288,000"
09/12/2022,"2.390","2.460","2.390","2.460","4,059,000"
09/09/2022,"2.370","2.440","2.350","2.360","9,294,000"
09/08/2022,"2.400","2.410","2.310","2.350","13,951,000"
09/07/2022,"2.510","2.540","2.380","2.380","23,063,000"
09/06/2022,"2.460","2.510","2.460","2.500","6,655,000"
09/05/2022,"2.480","2.500","2.450","2.460","7,262,000"
09/02/2022,"2.460","2.510","2.460","2.480","7,205,000"
09/01/2022,"2.500","2.520","2.460","2.460","13,328,000"
08/31/2022,"2.540","2.590","2.500","2.500","14,168,000"
08/30/2022,"2.550","2.550","2.490","2.530","7,081,000"
08/26/2022,"2.570","2.600","2.540","2.590","6,905,000"
08/25/2022,"2.580","2.590","2.550","2.570","5,604,000"
08/24/2022,"2.550","2.600","2.540","2.580","15,854,000"
08/23/2022,"2.550","2.550","2.520","2.530","9,782,000"
08/22/2022,"2.660","2.660","2.530","2.570","13,151,000"
08/19/2022,"2.610","2.650","2.590","2.650","12,671,000"
