Date,Open,High,Low,Close,Volume
2020-01-02,4.03,4.08,3.92,3.92,21722000
2020-01-03,3.92,4.14,3.92,4.07,41665000
2020-01-06,4.07,4.13,3.96,4.12,20057000
2020-01-07,4.13,4.3,4.13,4.17,43954000
2020-01-08,4.13,4.29,4.1,4.29,29872000
2020-01-09,4.28,4.28,4.22,4.27,18753000
2020-01-10,4.27,4.27,4.21,4.25,14405000
2020-01-14,4.26,4.38,4.24,4.38,43885000
2020-01-15,4.37,4.37,4.27,4.32,27371000
2020-01-16,4.3,4.33,4.24,4.31,31732000
2020-01-17,4.27,4.31,4.27,4.3,16088000
2020-01-20,4.31,4.42,4.23,4.42,54627000
2020-01-21,4.42,4.45,4.3,4.3,28664000
2020-01-22,4.27,4.34,4.24,4.27,22903000
2020-01-23,4.23,4.29,4.2,4.28,18405000
2020-01-24,4.28,4.3,4.26,4.28,10295000
2020-01-27,4.28,4.28,4.24,4.26,7916000
2020-01-28,4.26,4.26,4.13,4.15,26191000
2020-01-29,4.17,4.17,4.05,4.13,18981000
2020-01-30,4.13,4.23,4.1,4.14,44063000
2020-01-31,4.1,4.11,3.97,4.05,66500000
2020-02-03,4.04,4.04,3.83,3.83,23627000
2020-02-04,3.86,3.96,3.84,3.89,22376000
2020-02-05,3.95,4.06,3.9,4.06,19851000
2020-02-06,4.08,4.11,4.03,4.05,24823000
2020-02-07,4.03,4.07,3.98,4.07,20935000
2020-02-10,4.08,4.08,4.04,4.04,11346000
2020-02-11,4.05,4.05,3.98,4.0,15595000
2020-02-12,3.98,3.99,3.89,3.92,31470000
2020-02-13,3.92,3.94,3.72,3.75,40796000
2020-02-14,3.82,3.9,3.79,3.9,31468000
2020-02-17,3.9,3.99,3.9,3.98,8397000
2020-02-18,3.98,4.0,3.96,3.96,4917000
2020-02-19,3.95,4.06,3.95,4.03,20377000
2020-02-20,4.03,4.1,4.03,4.05,17566000
2020-02-21,4.07,4.1,3.8,3.8,39890000
2020-02-24,3.8,3.8,3.62,3.67,35335000
2020-02-26,3.6,3.6,3.41,3.45,40409000
2020-02-27,3.45,3.54,3.38,3.38,43444000
2020-02-28,3.3,3.45,3.22,3.4,60095000
2020-03-02,3.4,3.62,3.4,3.5,29400000
2020-03-03,3.6,3.64,3.52,3.52,27922000
2020-03-04,3.52,3.53,3.45,3.5,16816000
2020-03-05,3.53,3.59,3.44,3.46,26322000
2020-03-06,3.47,3.49,3.36,3.4,11155000
2020-03-09,3.3,3.35,3.19,3.2,46431000
2020-03-10,3.11,3.26,3.05,3.16,19975000
2020-03-11,3.19,3.26,3.11,3.2,25112000
2020-03-12,3.15,3.15,2.87,2.9,26424000
2020-03-13,2.75,2.9,2.52,2.88,37048000
2020-03-16,2.7,2.8,2.6,2.69,16725000
2020-03-19,2.43,2.46,2.0,2.21,31975000
2020-03-20,2.21,2.4,2.06,2.09,39344000
2020-03-23,2.06,2.09,1.86,1.89,45301000
2020-03-24,2.0,2.12,1.97,1.99,94454000
2020-03-25,2.11,2.18,2.06,2.15,80202000
2020-03-26,2.22,2.36,2.19,2.32,71974000
2020-03-27,2.46,2.52,2.32,2.39,77931000
2020-03-30,2.34,2.5,2.19,2.5,69077000
2020-03-31,2.45,2.59,2.45,2.5,55048000
2020-04-01,2.5,2.62,2.35,2.62,36475000
2020-04-02,2.55,2.63,2.5,2.63,32672000
2020-04-03,2.62,2.65,2.51,2.52,45854000
2020-04-06,2.58,2.6,2.54,2.58,87604000
2020-04-07,2.75,2.8,2.65,2.69,78743000
2020-04-08,2.69,2.72,2.6,2.72,42946000
2020-04-13,2.72,2.8,2.69,2.8,35175000
2020-04-14,2.8,2.89,2.78,2.89,39312000
2020-04-15,2.89,3.0,2.88,3.0,40948000
2020-04-16,2.85,2.9,2.7,2.7,52250000
2020-04-17,2.81,2.85,2.74,2.8,37531000
2020-04-20,2.82,2.84,2.73,2.82,15633000
2020-04-21,2.78,2.79,2.7,2.78,15547000
2020-04-22,2.71,2.72,2.65,2.72,13033000
2020-04-23,2.74,2.77,2.67,2.67,8556000
2020-04-24,2.68,2.71,2.59,2.59,24782000
2020-04-27,2.61,2.65,2.55,2.58,9439000
2020-04-28,2.58,2.64,2.52,2.56,23089000
2020-04-29,2.57,2.6,2.55,2.57,39505000
2020-04-30,2.63,2.66,2.58,2.58,20779000
2020-05-04,2.59,2.59,2.52,2.52,17162000
2020-05-05,2.56,2.63,2.56,2.59,8535000
2020-05-06,2.66,2.73,2.62,2.63,29682000
