Date,Open,High,Low,Close,Volume
12/19/2022,"920.00","920.00","920.00","920.00","420"
12/15/2022,"950.00","950.00","950.00","950.00","10"
12/07/2022,"920.00","920.00","920.00","920.00","20"
12/06/2022,"920.00","920.00","920.00","920.00","530"
12/05/2022,"900.00","920.00","830.00","920.00","2,050"
12/01/2022,"950.00","950.00","900.00","900.00","400"
11/29/2022,"950.00","950.00","950.00","950.00","290"
11/28/2022,"960.00","960.00","950.00","950.00","1,400"
11/25/2022,"988.00","988.00","988.00","988.00","20"
11/24/2022,"988.50","988.50","988.50","988.50","10"
11/22/2022,"990.00","990.00","990.00","990.00","50"
11/21/2022,"1,000.00","1,000.00","1,000.00","1,000.00","10"
11/16/2022,"900.00","900.00","900.00","900.00","70"
11/14/2022,"980.00","980.00","980.00","980.00","10"
11/09/2022,"980.00","980.00","980.00","980.00","20"
11/08/2022,"900.00","989.50","900.00","989.00","550"
11/07/2022,"880.50","880.50","880.00","880.00","120"
11/03/2022,"890.00","890.00","890.00","890.00","10"
11/02/2022,"890.00","890.00","890.00","890.00","10"
10/28/2022,"900.00","900.00","900.00","900.00","20"
10/26/2022,"880.00","890.00","880.00","880.00","100"
10/25/2022,"887.00","897.00","887.00","897.00","30"
10/24/2022,"900.00","900.00","800.00","800.00","150"
10/21/2022,"900.00","900.00","900.00","900.00","40"
10/18/2022,"901.00","901.00","901.00","901.00","20"
10/17/2022,"900.50","901.00","900.00","901.00","230"
10/12/2022,"900.00","900.00","900.00","900.00","40"
10/10/2022,"901.00","901.00","901.00","901.00","30"
10/04/2022,"990.00","990.00","990.00","990.00","10"
09/30/2022,"991.00","991.00","991.00","991.00","20"
09/16/2022,"900.00","900.00","900.00","900.00","110"
09/14/2022,"999.00","999.00","999.00","999.00","10"
09/13/2022,"920.00","920.00","900.00","900.00","780"
09/12/2022,"920.00","920.00","920.00","920.00","40"
09/01/2022,"920.00","920.00","920.00","920.00","10"
08/30/2022,"920.00","920.00","920.00","920.00","5"
08/23/2022,"1,008.00","1,008.00","1,008.00","1,008.00","10"
08/22/2022,"970.00","1,020.00","970.00","1,020.00","70"
08/17/2022,"980.00","980.00","980.00","980.00","300"
08/16/2022,"935.00","935.00","935.00","935.00","50"
08/11/2022,"970.00","970.00","970.00","970.00","690"
08/10/2022,"940.00","940.00","940.00","940.00","10"
08/09/2022,"965.00","965.00","965.00","965.00","10"
08/08/2022,"925.00","965.00","925.00","965.00","1,300"
08/05/2022,"925.00","925.00","925.00","925.00","20"
08/04/2022,"925.00","925.00","925.00","925.00","60"
08/01/2022,"925.00","925.00","925.00","925.00","80"
07/29/2022,"955.50","955.50","925.00","925.00","400"
07/26/2022,"900.00","900.00","900.00","900.00","50"
07/25/2022,"980.00","980.00","900.00","900.00","110"
07/21/2022,"949.50","950.00","949.50","950.00","20"
07/20/2022,"900.00","972.00","900.00","972.00","60"
07/19/2022,"900.00","900.00","900.00","900.00","20"
