Date,Open,High,Low,Close,Volume
12/31/2021,"2.445","2.445","2.445","2.445","1,023"
12/29/2021,"2.396","2.396","2.396","2.396","8,181"
12/28/2021,"2.396","2.396","2.396","2.396","399,865"
12/27/2021,"2.396","2.493","2.396","2.396","102,267"
12/24/2021,"2.425","2.445","2.396","2.445","452,021"
12/23/2021,"2.425","2.503","2.347","2.445","442,817"
12/22/2021,"2.396","2.396","2.366","2.366","31,703"
12/10/2021,"2.396","2.396","2.396","2.396","1,023"
12/06/2021,"2.415","2.415","2.415","2.415","13,295"
12/01/2021,"2.396","2.396","2.396","2.396","1,023"
11/25/2021,"2.396","2.396","2.396","2.396","5,113"
11/24/2021,"2.347","2.347","2.347","2.347","5,113"
11/15/2021,"2.347","2.347","2.347","2.347","10,227"
11/12/2021,"2.493","2.493","2.493","2.493","4,091"
11/08/2021,"2.493","2.493","2.493","2.493","3,068"
10/29/2021,"2.396","2.640","2.396","2.640","203,512"
10/28/2021,"2.542","2.542","2.542","2.542","1,023"
10/27/2021,"2.542","2.542","2.542","2.542","2,045"
10/25/2021,"2.347","2.347","2.347","2.347","96,131"
10/20/2021,"2.435","2.689","2.435","2.640","3,068"
10/11/2021,"2.151","2.151","2.151","2.151","55,224"
10/07/2021,"2.347","2.347","2.053","2.053","11,249"
09/30/2021,"2.347","2.347","2.347","2.347","16,363"
09/29/2021,"2.347","2.347","2.347","2.347","1,023"
09/27/2021,"2.347","2.347","2.347","2.347","9,204"
09/24/2021,"2.347","2.347","2.347","2.347","24,544"
09/16/2021,"2.347","2.347","2.347","2.347","1,023"
09/13/2021,"2.347","2.347","2.347","2.347","12,272"
09/06/2021,"2.347","2.347","2.347","2.347","3,068"
08/31/2021,"2.347","2.347","2.347","2.347","10,227"
08/27/2021,"2.347","2.347","2.347","2.347","1,023"
08/26/2021,"2.347","2.347","2.347","2.347","51,134"
08/25/2021,"2.347","2.347","2.347","2.347","9,204"
08/20/2021,"2.673","2.673","2.673","2.673","10,289"
08/17/2021,"2.644","2.644","2.644","2.644","5,145"
08/16/2021,"2.644","2.644","2.624","2.624","20,578"
08/13/2021,"2.644","2.644","2.644","2.644","3,087"
08/12/2021,"2.605","2.877","2.605","2.877","20,578"
08/06/2021,"2.605","2.644","2.605","2.644","30,867"
08/05/2021,"2.644","2.644","2.605","2.644","24,694"
08/04/2021,"2.614","2.644","2.614","2.644","153,308"
07/29/2021,"2.449","2.449","2.439","2.439","13,376"
07/21/2021,"2.459","2.498","2.459","2.498","5,145"
07/14/2021,"2.498","2.498","2.498","2.498","5,145"
07/06/2021,"2.478","2.498","2.430","2.498","207,840"
07/05/2021,"2.498","2.498","2.498","2.498","2,058"
07/01/2021,"2.498","2.527","2.498","2.498","8,231"
06/21/2021,"2.644","2.644","2.644","2.644","6,173"
06/15/2021,"2.488","2.488","2.488","2.488","4,116"
06/04/2021,"2.556","2.576","2.556","2.576","32,925"
06/01/2021,"2.459","2.556","2.459","2.556","4,116"
05/31/2021,"2.459","2.459","2.459","2.459","1,029"
05/28/2021,"2.459","2.459","2.459","2.459","1,029"
05/26/2021,"2.459","2.459","2.459","2.459","12,347"
05/20/2021,"2.459","2.459","2.459","2.459","25,723"
05/19/2021,"2.469","2.469","2.469","2.469","1,029"
05/14/2021,"2.459","2.459","2.459","2.459","5,145"
05/12/2021,"2.459","2.459","2.459","2.459","21,607"
05/10/2021,"2.459","2.459","2.459","2.459","1,029"
05/06/2021,"2.459","2.459","2.459","2.459","8,231"
04/27/2021,"2.459","2.459","2.459","2.459","1,029"
04/23/2021,"2.459","2.459","2.459","2.459","12,347"
04/20/2021,"2.459","2.459","2.459","2.459","4,116"
04/15/2021,"2.459","2.459","2.459","2.459","18,520"
04/14/2021,"2.459","2.459","2.459","2.459","14,405"
04/08/2021,"2.478","2.576","2.478","2.576","12,347"
04/07/2021,"2.459","2.517","2.459","2.517","15,434"
04/06/2021,"2.459","2.459","2.459","2.459","9,260"
04/05/2021,"2.459","2.459","2.459","2.459","4,116"
03/30/2021,"2.459","2.459","2.459","2.459","6,173"
03/29/2021,"2.469","2.469","2.459","2.459","4,116"
03/26/2021,"2.459","2.459","2.459","2.459","10,289"
03/24/2021,"2.459","2.469","2.459","2.459","12,347"
03/23/2021,"2.469","2.469","2.469","2.469","2,058"
03/22/2021,"2.469","2.469","2.459","2.469","21,607"
03/19/2021,"2.459","2.469","2.459","2.469","22,636"
03/18/2021,"2.459","2.469","2.459","2.469","6,173"
03/17/2021,"2.459","2.469","2.459","2.459","11,318"
03/15/2021,"2.478","2.478","2.469","2.469","17,491"
03/12/2021,"2.682","2.682","2.682","2.682","3,087"
03/11/2021,"2.469","2.721","2.469","2.721","15,434"
03/10/2021,"2.469","2.469","2.459","2.459","81,284"
03/09/2021,"2.576","2.576","2.439","2.469","138,903"
03/08/2021,"2.673","2.673","2.546","2.624","58,648"
03/05/2021,"2.644","2.644","2.605","2.614","54,532"
03/04/2021,"2.721","2.731","2.576","2.644","128,614"
03/03/2021,"2.780","3.061","2.527","2.819","804,608"
03/02/2021,"3.207","3.868","2.770","2.916","4,142,396"
03/01/2021,"2.692","2.964","2.342","2.770","1,490,892"
02/26/2021,"2.430","2.692","2.430","2.692","5,145"
02/24/2021,"2.430","2.692","2.430","2.692","119,354"
02/23/2021,"2.585","2.721","2.546","2.721","30,867"
02/22/2021,"2.576","2.585","2.556","2.585","30,867"
02/19/2021,"2.644","2.673","2.576","2.595","209,898"
02/18/2021,"2.750","2.750","2.673","2.741","119,354"
02/17/2021,"2.770","2.770","2.741","2.750","31,896"
02/16/2021,"3.013","3.207","2.760","2.770","519,600"
02/15/2021,"2.984","2.984","2.721","2.916","464,039"
02/11/2021,"2.916","3.100","2.721","2.964","1,882,907"
02/10/2021,"2.984","4.432","2.984","3.441","275,748"
02/09/2021,"2.955","2.955","2.955","2.955","7,202"
02/08/2021,"3.324","3.334","2.916","2.916","20,578"
02/01/2021,"2.770","2.770","2.770","2.770","9,260"
01/29/2021,"2.750","2.750","2.750","2.750","1,029"
01/27/2021,"2.741","2.741","2.741","2.741","2,058"
01/26/2021,"3.207","3.207","3.207","3.207","1,029"
01/22/2021,"3.207","3.207","3.207","3.207","20,578"
01/18/2021,"3.110","3.363","3.110","3.110","117,296"
01/15/2021,"2.916","3.110","2.916","3.110","11,318"
01/12/2021,"2.896","3.013","2.896","2.916","167,713"
01/11/2021,"2.809","2.906","2.809","2.896","21,607"
01/08/2021,"2.673","2.896","2.673","2.809","231,505"
01/07/2021,"2.585","2.595","2.585","2.595","179,031"
01/05/2021,"2.537","2.537","2.537","2.537","12,347"
01/04/2021,"2.605","2.624","2.605","2.624","102,891"
