Date,Open,High,Low,Close,Volume
2020-01-03,2.371,2.371,2.371,2.371,26041
2020-01-30,2.189,2.189,2.189,2.189,4167
2020-02-03,2.208,2.208,2.208,2.208,3125
2020-03-09,2.208,2.208,2.198,2.198,2083
2020-03-10,1.92,1.92,1.92,1.92,1042
2020-05-18,1.584,1.68,1.402,1.68,44791
2020-05-20,1.507,1.728,1.507,1.68,11458
2020-05-21,1.517,1.517,1.517,1.517,1042
2020-05-27,1.546,1.651,1.546,1.651,6250
2020-05-28,1.565,1.776,1.507,1.776,5208
2020-06-01,1.92,1.92,1.92,1.92,9375
2020-06-08,2.362,2.362,2.016,2.026,10417
2020-06-15,1.738,1.738,1.738,1.738,1042
2020-06-24,1.824,1.824,1.824,1.824,1042
2020-07-08,1.843,1.843,1.843,1.843,104165
2020-07-30,1.872,1.872,1.824,1.824,119790
2020-08-05,1.814,1.814,1.814,1.814,2083
2020-08-19,2.054,2.054,2.054,2.054,5208
2020-08-20,2.054,2.054,2.054,2.054,3125
2020-08-25,1.526,1.526,1.526,1.526,1029
2020-09-15,1.798,2.284,1.798,2.284,72024
2020-09-16,1.905,1.905,1.905,1.905,1029
2020-09-29,2.031,2.031,2.031,2.031,1029
2020-10-05,1.992,1.992,1.992,1.992,9260
2020-10-09,1.992,2.916,1.992,2.439,10629681
2020-10-12,2.527,2.848,2.43,2.527,226360
2020-10-13,2.527,2.527,2.333,2.352,8231
2020-10-14,2.333,2.333,2.333,2.333,17491
2020-10-15,2.245,2.255,2.235,2.235,44243
2020-10-16,2.216,2.235,2.216,2.235,2058
2020-10-20,2.216,2.216,2.099,2.119,14405
2020-10-21,2.109,2.119,2.109,2.119,3087
2020-10-23,2.138,2.138,2.138,2.138,6173
2020-10-26,2.099,2.099,2.099,2.099,4116
2020-10-27,2.099,2.109,2.099,2.109,3087
2020-10-28,2.109,2.109,2.109,2.109,1029
2020-10-29,2.109,2.109,2.109,2.109,15434
2020-11-04,2.177,2.177,2.177,2.177,1029
2020-11-05,2.177,2.177,2.138,2.138,25723
2020-11-10,2.099,2.099,2.099,2.099,1029
2020-11-16,2.109,2.109,2.109,2.109,4116
2020-11-17,2.138,2.138,2.138,2.138,12347
2020-11-19,2.109,2.138,2.109,2.138,26752
2020-11-25,2.138,2.138,2.138,2.138,5145
2020-11-26,2.138,2.138,2.138,2.138,1029
2020-11-27,2.109,2.109,2.109,2.109,1029
2020-12-02,2.109,2.663,2.109,2.634,78197
2020-12-03,2.663,2.663,2.653,2.653,11318
2020-12-04,2.624,2.624,2.42,2.624,52474
2020-12-07,2.653,2.653,2.653,2.653,25723
2020-12-09,2.624,2.624,2.624,2.624,8231
2020-12-11,2.624,2.624,2.624,2.624,27781
2020-12-15,2.459,2.624,2.459,2.624,16463
2020-12-18,2.459,2.624,2.439,2.624,30867
2020-12-23,2.624,2.624,2.624,2.624,2058
2020-12-28,2.576,2.624,2.576,2.624,10289
2020-12-29,2.624,2.624,2.624,2.624,11318
2021-01-04,2.605,2.624,2.605,2.624,102891
2021-01-05,2.537,2.537,2.537,2.537,12347
2021-01-07,2.585,2.595,2.585,2.595,179031
2021-01-08,2.673,2.896,2.673,2.809,231505
2021-01-11,2.809,2.906,2.809,2.896,21607
2021-01-12,2.896,3.013,2.896,2.916,167713
2021-01-15,2.916,3.11,2.916,3.11,11318
2021-01-18,3.11,3.363,3.11,3.11,117296
2021-01-22,3.207,3.207,3.207,3.207,20578
2021-01-26,3.207,3.207,3.207,3.207,1029
2021-01-27,2.741,2.741,2.741,2.741,2058
2021-01-29,2.75,2.75,2.75,2.75,1029
2021-02-01,2.77,2.77,2.77,2.77,9260
2021-02-08,3.324,3.334,2.916,2.916,20578
2021-02-09,2.955,2.955,2.955,2.955,7202
2021-02-10,2.984,4.432,2.984,3.441,275748
2021-02-11,2.916,3.1,2.721,2.964,1882907
2021-02-15,2.984,2.984,2.721,2.916,464039
2021-02-16,3.013,3.207,2.76,2.77,519600
2021-02-17,2.77,2.77,2.741,2.75,31896
2021-02-18,2.75,2.75,2.673,2.741,119354
2021-02-19,2.644,2.673,2.576,2.595,209898
2021-02-22,2.576,2.585,2.556,2.585,30867
2021-02-23,2.585,2.721,2.546,2.721,30867
2021-02-24,2.43,2.692,2.43,2.692,119354
2021-02-26,2.43,2.692,2.43,2.692,5145
2021-03-01,2.692,2.964,2.342,2.77,1490892
2021-03-02,3.207,3.868,2.77,2.916,4142396
2021-03-03,2.78,3.061,2.527,2.819,804608
2021-03-04,2.721,2.731,2.576,2.644,128614
2021-03-05,2.644,2.644,2.605,2.614,54532
2021-03-08,2.673,2.673,2.546,2.624,58648
2021-03-09,2.576,2.576,2.439,2.469,138903
2021-03-10,2.469,2.469,2.459,2.459,81284
2021-03-11,2.469,2.721,2.469,2.721,15434
2021-03-12,2.682,2.682,2.682,2.682,3087
2021-03-15,2.478,2.478,2.469,2.469,17491
2021-03-17,2.459,2.469,2.459,2.459,11318
2021-03-18,2.459,2.469,2.459,2.469,6173
2021-03-19,2.459,2.469,2.459,2.469,22636
2021-03-22,2.469,2.469,2.459,2.469,21607
2021-03-23,2.469,2.469,2.469,2.469,2058
2021-03-24,2.459,2.469,2.459,2.459,12347
2021-03-26,2.459,2.459,2.459,2.459,10289
2021-03-29,2.469,2.469,2.459,2.459,4116
2021-03-30,2.459,2.459,2.459,2.459,6173
2021-04-05,2.459,2.459,2.459,2.459,4116
2021-04-06,2.459,2.459,2.459,2.459,9260
2021-04-07,2.459,2.517,2.459,2.517,15434
2021-04-08,2.478,2.576,2.478,2.576,12347
2021-04-14,2.459,2.459,2.459,2.459,14405
2021-04-15,2.459,2.459,2.459,2.459,18520
2021-04-20,2.459,2.459,2.459,2.459,4116
2021-04-23,2.459,2.459,2.459,2.459,12347
2021-04-27,2.459,2.459,2.459,2.459,1029
2021-05-06,2.459,2.459,2.459,2.459,8231
2021-05-10,2.459,2.459,2.459,2.459,1029
2021-05-12,2.459,2.459,2.459,2.459,21607
2021-05-14,2.459,2.459,2.459,2.459,5145
2021-05-19,2.469,2.469,2.469,2.469,1029
2021-05-20,2.459,2.459,2.459,2.459,25723
2021-05-26,2.459,2.459,2.459,2.459,12347
2021-05-28,2.459,2.459,2.459,2.459,1029
2021-05-31,2.459,2.459,2.459,2.459,1029
2021-06-01,2.459,2.556,2.459,2.556,4116
2021-06-04,2.556,2.576,2.556,2.576,32925
2021-06-15,2.488,2.488,2.488,2.488,4116
2021-06-21,2.644,2.644,2.644,2.644,6173
2021-07-01,2.498,2.527,2.498,2.498,8231
2021-07-05,2.498,2.498,2.498,2.498,2058
2021-07-06,2.478,2.498,2.43,2.498,207840
2021-07-14,2.498,2.498,2.498,2.498,5145
2021-07-21,2.459,2.498,2.459,2.498,5145
2021-07-29,2.449,2.449,2.439,2.439,13376
2021-08-04,2.614,2.644,2.614,2.644,153308
2021-08-05,2.644,2.644,2.605,2.644,24694
2021-08-06,2.605,2.644,2.605,2.644,30867
2021-08-12,2.605,2.877,2.605,2.877,20578
2021-08-13,2.644,2.644,2.644,2.644,3087
2021-08-16,2.644,2.644,2.624,2.624,20578
2021-08-17,2.644,2.644,2.644,2.644,5145
2021-08-20,2.673,2.673,2.673,2.673,10289
2021-08-25,2.347,2.347,2.347,2.347,9204
2021-08-26,2.347,2.347,2.347,2.347,51134
2021-08-27,2.347,2.347,2.347,2.347,1023
2021-08-31,2.347,2.347,2.347,2.347,10227
2021-09-06,2.347,2.347,2.347,2.347,3068
2021-09-13,2.347,2.347,2.347,2.347,12272
2021-09-16,2.347,2.347,2.347,2.347,1023
2021-09-24,2.347,2.347,2.347,2.347,24544
2021-09-27,2.347,2.347,2.347,2.347,9204
2021-09-29,2.347,2.347,2.347,2.347,1023
2021-09-30,2.347,2.347,2.347,2.347,16363
2021-10-07,2.347,2.347,2.053,2.053,11249
2021-10-11,2.151,2.151,2.151,2.151,55224
2021-10-20,2.435,2.689,2.435,2.64,3068
2021-10-25,2.347,2.347,2.347,2.347,96131
2021-10-27,2.542,2.542,2.542,2.542,2045
2021-10-28,2.542,2.542,2.542,2.542,1023
2021-10-29,2.396,2.64,2.396,2.64,203512
2021-11-08,2.493,2.493,2.493,2.493,3068
2021-11-12,2.493,2.493,2.493,2.493,4091
2021-11-15,2.347,2.347,2.347,2.347,10227
2021-11-24,2.347,2.347,2.347,2.347,5113
2021-11-25,2.396,2.396,2.396,2.396,5113
2021-12-01,2.396,2.396,2.396,2.396,1023
2021-12-06,2.415,2.415,2.415,2.415,13295
2021-12-10,2.396,2.396,2.396,2.396,1023
2021-12-22,2.396,2.396,2.366,2.366,31703
2021-12-23,2.425,2.503,2.347,2.445,442817
2021-12-24,2.425,2.445,2.396,2.445,452021
2021-12-27,2.396,2.493,2.396,2.396,102267
2021-12-28,2.396,2.396,2.396,2.396,399865
2021-12-29,2.396,2.396,2.396,2.396,8181
2021-12-31,2.445,2.445,2.445,2.445,1023
2022-01-07,2.347,2.347,2.347,2.347,4091
2022-02-03,2.347,2.347,2.347,2.347,4091
2022-02-14,2.151,2.151,2.151,2.151,30680
2022-04-06,2.151,2.151,2.151,2.151,3068
2022-04-11,2.112,2.112,2.112,2.112,8181
2022-04-27,2.112,2.112,2.112,2.112,1023
