Date,Open,High,Low,Close,Volume
2020-01-06,3.3,3.3,3.3,3.3,6000
2020-01-07,3.32,3.47,3.3,3.3,3000
2020-01-08,3.2,3.45,3.0,3.1,50000
2020-01-09,3.2,3.39,3.12,3.39,14000
2020-01-10,3.44,3.44,3.2,3.4,6000
2020-01-14,3.33,3.41,3.33,3.41,16000
2020-01-17,3.33,3.33,3.3,3.3,6000
2020-01-23,3.2,3.2,2.85,3.13,225000
2020-01-24,3.01,3.18,3.01,3.18,8000
2020-01-27,3.39,3.39,3.13,3.13,28000
2020-01-28,3.15,3.15,3.15,3.15,1000
2020-01-29,3.11,3.11,3.1,3.1,21000
2020-01-30,3.26,3.26,3.26,3.26,3000
2020-01-31,3.1,3.1,3.05,3.05,9000
2020-02-03,3.29,3.29,3.2,3.2,3000
2020-02-04,3.3,3.3,3.1,3.2,14000
2020-02-05,3.1,3.24,3.1,3.19,22000
2020-02-06,3.29,3.29,3.29,3.29,1000
2020-02-07,3.1,3.1,3.1,3.1,5000
2020-02-10,3.22,3.27,3.2,3.2,4000
2020-02-11,3.11,3.27,3.1,3.1,20000
2020-02-12,3.2,3.2,3.19,3.2,7000
2020-02-13,3.1,3.24,3.1,3.1,10000
2020-02-14,3.1,3.1,3.1,3.1,6000
2020-02-17,3.1,3.3,3.1,3.3,25000
2020-02-18,3.13,3.13,3.12,3.12,2000
2020-02-19,3.08,3.08,3.07,3.07,35000
2020-02-21,3.05,3.05,3.0,3.0,9000
2020-02-24,2.92,2.92,2.92,2.92,5000
2020-02-26,3.2,3.26,3.2,3.24,12000
2020-02-27,3.25,3.25,3.2,3.23,15000
2020-02-28,3.35,3.48,3.2,3.4,239000
2020-03-02,3.46,3.54,3.3,3.44,44000
2020-03-03,3.52,3.52,3.2,3.37,30000
2020-03-04,3.45,3.45,3.38,3.38,6000
2020-03-05,3.39,3.4,3.3,3.31,26000
2020-03-06,3.2,3.39,3.1,3.39,6000
2020-03-09,3.1,3.34,2.86,3.34,25000
2020-03-10,3.38,3.38,3.0,3.0,2000
2020-03-11,3.29,3.29,3.01,3.1,8000
2020-03-12,3.28,3.28,3.1,3.2,8000
2020-03-13,3.01,3.15,3.01,3.15,7000
2020-03-16,3.2,3.2,3.2,3.2,3000
2020-03-19,3.15,3.25,3.15,3.2,4000
2020-03-20,3.33,3.33,3.33,3.33,1000
2020-03-23,3.1,3.25,3.09,3.25,10000
2020-03-24,3.24,3.24,3.24,3.24,1000
2020-03-27,3.2,3.2,3.2,3.2,15000
2020-04-01,3.1,3.1,3.1,3.1,18000
2020-04-03,3.1,3.1,3.1,3.1,4000
2020-04-07,3.1,3.1,3.1,3.1,18000
2020-04-08,3.15,3.19,3.15,3.19,11000
2020-04-13,3.3,3.3,3.11,3.11,21000
2020-04-14,3.12,3.31,3.12,3.31,4000
2020-04-15,3.2,3.2,3.2,3.2,5000
2020-04-16,3.21,3.21,3.2,3.2,32000
2020-04-17,3.31,3.32,3.31,3.32,12000
2020-04-20,3.33,3.47,3.21,3.45,27000
2020-04-21,3.45,3.45,3.45,3.45,1000
2020-04-23,3.4,3.56,3.4,3.55,59000
2020-04-24,3.5,3.5,3.4,3.5,7000
2020-04-27,3.41,3.5,3.41,3.5,12000
2020-04-28,3.55,3.64,3.46,3.64,92000
2020-04-29,3.63,3.66,3.6,3.66,18000
2020-04-30,3.6,3.6,3.6,3.6,13000
