Date,Open,High,Low,Close,Volume
12/29/2022,"3.070","3.150","3.050","3.110","376,000"
12/28/2022,"3.170","3.180","3.030","3.030","1,311,000"
12/27/2022,"3.300","3.300","3.190","3.190","137,000"
12/23/2022,"3.350","3.380","3.200","3.240","291,000"
12/22/2022,"3.240","3.280","3.200","3.260","194,000"
12/21/2022,"3.090","3.200","3.010","3.200","247,000"
12/20/2022,"3.060","3.100","3.010","3.090","186,000"
12/19/2022,"3.290","3.290","3.060","3.070","752,000"
12/16/2022,"3.170","3.250","3.170","3.180","378,000"
12/15/2022,"3.130","3.200","3.110","3.170","294,000"
12/14/2022,"3.020","3.150","2.990","3.060","1,090,000"
12/13/2022,"3.230","3.230","2.960","2.990","1,281,000"
12/12/2022,"3.150","3.230","3.090","3.090","736,000"
12/09/2022,"3.250","3.250","3.150","3.150","1,378,000"
12/07/2022,"3.170","3.250","3.170","3.230","1,324,000"
12/06/2022,"3.360","3.360","3.200","3.200","3,396,000"
12/05/2022,"3.490","3.490","3.360","3.360","661,000"
12/02/2022,"3.550","3.580","3.480","3.480","318,000"
12/01/2022,"3.450","3.520","3.450","3.500","196,000"
11/29/2022,"3.500","3.500","3.460","3.480","175,000"
11/28/2022,"3.500","3.500","3.430","3.500","195,000"
11/25/2022,"3.500","3.510","3.430","3.500","333,000"
11/24/2022,"3.380","3.560","3.370","3.500","691,000"
11/23/2022,"3.330","3.460","3.330","3.370","119,000"
11/22/2022,"3.360","3.500","3.330","3.330","557,000"
11/21/2022,"3.400","3.400","3.390","3.390","319,000"
11/18/2022,"3.420","3.420","3.350","3.400","211,000"
11/17/2022,"3.400","3.480","3.300","3.400","499,000"
11/16/2022,"3.350","3.380","3.310","3.350","511,000"
11/15/2022,"3.290","3.480","3.260","3.350","387,000"
11/14/2022,"3.350","3.350","3.260","3.290","279,000"
11/11/2022,"3.390","3.390","3.300","3.350","136,000"
11/10/2022,"3.400","3.400","3.260","3.260","181,000"
11/09/2022,"3.370","3.400","3.270","3.340","217,000"
11/08/2022,"3.420","3.420","3.340","3.340","220,000"
11/07/2022,"3.470","3.470","3.300","3.420","258,000"
11/04/2022,"3.300","3.300","3.250","3.280","276,000"
11/03/2022,"3.390","3.390","3.260","3.280","316,000"
11/02/2022,"3.450","3.450","3.380","3.420","300,000"
10/28/2022,"3.510","3.670","3.430","3.450","261,000"
10/27/2022,"3.600","3.690","3.520","3.550","227,000"
10/26/2022,"3.560","3.560","3.500","3.500","360,000"
10/25/2022,"3.560","3.600","3.550","3.560","316,000"
10/24/2022,"3.560","3.560","3.550","3.550","52,000"
10/21/2022,"3.610","3.610","3.550","3.550","475,000"
10/20/2022,"3.600","3.800","3.540","3.610","255,000"
10/19/2022,"3.540","3.630","3.500","3.530","423,000"
10/18/2022,"3.600","3.600","3.520","3.530","261,000"
10/17/2022,"3.670","3.690","3.510","3.530","387,000"
10/14/2022,"3.750","3.750","3.660","3.680","43,000"
10/13/2022,"3.700","3.700","3.570","3.680","47,000"
10/12/2022,"3.620","3.690","3.540","3.690","133,000"
10/11/2022,"3.730","3.740","3.650","3.690","192,000"
10/10/2022,"3.830","3.830","3.520","3.710","637,000"
10/07/2022,"3.780","3.900","3.780","3.850","188,000"
10/06/2022,"3.750","3.800","3.750","3.770","758,000"
10/05/2022,"3.750","3.780","3.740","3.750","809,000"
10/04/2022,"3.600","3.970","3.600","3.720","340,000"
10/03/2022,"3.500","3.550","3.210","3.400","372,000"
09/30/2022,"3.920","3.920","3.400","3.600","1,063,000"
09/29/2022,"3.910","4.000","3.910","3.920","186,000"
09/28/2022,"4.010","4.010","3.800","3.890","616,000"
09/27/2022,"4.330","4.330","3.900","4.080","901,000"
09/23/2022,"4.250","4.400","4.210","4.330","189,000"
09/22/2022,"4.440","4.440","4.280","4.280","209,000"
09/21/2022,"4.440","4.440","4.400","4.400","176,000"
09/20/2022,"4.470","4.490","4.380","4.380","473,000"
09/19/2022,"4.640","4.640","4.450","4.470","430,000"
09/16/2022,"4.630","4.740","4.610","4.640","269,000"
09/15/2022,"4.730","4.800","4.600","4.690","513,000"
09/14/2022,"4.800","4.890","4.750","4.760","423,000"
09/13/2022,"4.970","4.980","4.810","4.810","800,000"
09/12/2022,"4.980","4.990","4.960","4.980","382,000"
09/09/2022,"4.870","5.000","4.870","4.940","690,000"
09/08/2022,"5.060","5.060","4.750","4.800","2,647,100"
09/07/2022,"5.030","5.120","5.000","5.070","1,261,000"
09/06/2022,"5.290","5.290","5.010","5.030","2,027,500"
09/05/2022,"5.520","5.520","5.000","5.290","3,842,600"
09/02/2022,"4.800","5.380","4.800","5.310","5,515,000"
09/01/2022,"4.520","4.800","4.510","4.800","1,693,000"
08/31/2022,"4.360","4.510","4.360","4.510","655,000"
08/30/2022,"4.300","4.380","4.280","4.360","273,000"
08/26/2022,"4.390","4.420","4.380","4.380","351,000"
08/25/2022,"4.490","4.500","4.380","4.380","262,000"
08/24/2022,"4.550","4.550","4.380","4.490","93,000"
08/23/2022,"4.470","4.500","4.400","4.400","252,000"
08/22/2022,"4.500","4.510","4.410","4.480","290,000"
08/19/2022,"4.500","4.580","4.450","4.560","277,000"
08/18/2022,"4.520","4.520","4.440","4.450","164,000"
08/17/2022,"4.280","4.580","4.280","4.520","790,000"
08/16/2022,"4.400","4.400","4.260","4.300","427,000"
08/15/2022,"4.300","4.480","4.210","4.310","337,000"
08/12/2022,"4.220","4.360","4.220","4.360","265,000"
08/11/2022,"4.260","4.350","4.200","4.210","1,297,000"
08/10/2022,"4.260","4.350","4.200","4.250","690,000"
08/09/2022,"4.370","4.370","4.250","4.260","791,000"
08/08/2022,"4.380","4.390","4.250","4.360","140,000"
08/05/2022,"4.360","4.430","4.250","4.250","207,000"
08/04/2022,"4.220","4.340","4.170","4.340","278,000"
08/03/2022,"4.150","4.370","4.150","4.220","292,000"
08/02/2022,"4.300","4.490","4.150","4.150","883,000"
08/01/2022,"4.680","4.680","4.300","4.300","579,000"
07/29/2022,"4.200","4.500","4.190","4.400","492,000"
07/28/2022,"4.130","4.200","4.060","4.190","1,010,000"
07/27/2022,"4.030","4.190","4.030","4.170","133,000"
07/26/2022,"4.010","4.170","4.000","4.020","303,000"
07/25/2022,"4.190","4.190","3.980","4.010","839,000"
07/22/2022,"4.250","4.250","4.080","4.160","401,000"
07/21/2022,"4.340","4.400","4.250","4.250","302,000"
07/20/2022,"4.210","4.360","4.210","4.340","258,000"
07/19/2022,"4.360","4.360","4.200","4.210","73,000"
07/18/2022,"4.260","4.360","4.150","4.360","366,000"
07/15/2022,"4.350","4.390","4.250","4.330","60,000"
07/14/2022,"4.280","4.450","4.280","4.340","191,000"
07/13/2022,"4.500","4.500","4.250","4.260","687,000"
07/12/2022,"4.520","4.550","4.370","4.500","437,000"
07/11/2022,"4.850","4.850","4.520","4.550","466,000"
07/08/2022,"4.850","4.900","4.750","4.850","315,000"
07/07/2022,"4.740","5.070","4.740","4.860","855,000"
07/06/2022,"5.100","5.240","4.780","4.810","2,158,900"
07/05/2022,"4.490","5.100","4.490","5.100","1,784,000"
07/04/2022,"4.540","4.650","4.510","4.530","433,000"
07/01/2022,"4.400","4.530","4.300","4.440","334,000"
06/30/2022,"4.700","4.940","4.280","4.550","2,461,000"
06/29/2022,"3.800","4.770","3.800","4.650","4,892,000"
06/28/2022,"3.170","3.740","3.170","3.630","1,092,000"
06/27/2022,"3.180","3.180","3.080","3.170","292,000"
06/24/2022,"3.060","3.250","3.060","3.150","281,000"
06/23/2022,"3.300","3.300","3.000","3.090","701,000"
06/22/2022,"3.450","3.450","3.290","3.330","158,000"
06/21/2022,"3.450","3.450","3.320","3.350","399,000"
06/20/2022,"3.430","3.580","3.430","3.450","83,000"
06/17/2022,"3.600","3.680","3.400","3.430","300,000"
06/16/2022,"3.350","3.730","3.350","3.600","248,000"
06/15/2022,"3.830","3.970","3.440","3.560","872,000"
06/14/2022,"4.100","4.110","3.800","3.810","1,212,000"
06/13/2022,"4.300","4.300","4.110","4.200","100,000"
06/10/2022,"4.160","4.290","4.130","4.290","289,000"
06/09/2022,"4.300","4.300","4.150","4.160","74,000"
06/08/2022,"4.180","4.320","4.120","4.320","187,000"
06/07/2022,"4.200","4.210","4.150","4.170","146,000"
06/06/2022,"4.290","4.310","4.190","4.200","713,000"
06/03/2022,"4.270","4.400","4.270","4.310","145,000"
06/02/2022,"4.370","4.420","4.260","4.380","443,000"
06/01/2022,"4.330","4.430","4.310","4.370","74,000"
05/31/2022,"4.460","4.500","4.280","4.330","702,000"
05/30/2022,"4.430","4.460","4.330","4.450","135,000"
05/27/2022,"4.430","4.430","4.330","4.420","121,000"
05/26/2022,"4.400","4.400","4.330","4.350","162,000"
05/25/2022,"4.420","4.440","4.300","4.380","333,000"
