Date,Open,High,Low,Close,Volume
04/29/2025,"0.340","0.430","0.340","0.430","120,000"
04/08/2025,"0.275","0.290","0.270","0.290","50,000"
04/02/2025,"0.300","0.300","0.300","0.300","10,000"
03/21/2025,"0.330","0.335","0.330","0.335","20,000"
03/20/2025,"0.270","0.270","0.270","0.270","30,000"
03/10/2025,"0.320","0.320","0.320","0.320","10,000"
03/07/2025,"0.315","0.315","0.315","0.315","10,000"
03/05/2025,"0.229","0.300","0.229","0.300","40,000"
02/28/2025,"0.330","0.330","0.320","0.325","120,000"
02/27/2025,"0.340","0.340","0.320","0.320","250,000"
02/26/2025,"0.390","0.390","0.375","0.375","170,000"
02/25/2025,"0.400","0.400","0.400","0.400","80,000"
02/20/2025,"0.400","0.460","0.400","0.400","340,000"
02/03/2025,"0.445","0.445","0.445","0.445","20,000"
01/30/2025,"0.495","0.495","0.450","0.450","50,000"
01/28/2025,"0.495","0.495","0.495","0.495","20,000"
01/21/2025,"0.390","0.390","0.390","0.390","10,000"
01/17/2025,"0.400","0.400","0.385","0.385","100,000"
01/14/2025,"0.415","0.420","0.415","0.420","60,000"
01/13/2025,"0.385","0.385","0.385","0.385","50,000"
01/06/2025,"0.385","0.390","0.385","0.385","570,000"
