Date,Open,High,Low,Close,Volume
05/16/2025,"2.530","2.550","2.500","2.540","842,000"
05/15/2025,"2.590","2.590","2.510","2.520","1,826,000"
05/14/2025,"2.570","2.600","2.540","2.540","4,452,000"
05/13/2025,"2.590","2.610","2.550","2.570","1,824,000"
05/09/2025,"2.650","2.660","2.550","2.550","4,709,000"
05/08/2025,"2.560","2.570","2.540","2.550","4,739,000"
05/07/2025,"2.560","2.620","2.550","2.560","1,181,000"
05/06/2025,"2.630","2.670","2.550","2.550","6,771,000"
05/05/2025,"2.580","2.640","2.550","2.600","1,479,000"
05/02/2025,"2.560","2.580","2.500","2.570","2,162,000"
