Date,Open,High,Low,Close,Volume
12/29/2022,"0.320","0.330","0.320","0.330","480,000"
12/28/2022,"0.310","0.310","0.310","0.310","40,000"
12/22/2022,"0.300","0.300","0.300","0.300","250,000"
12/13/2022,"0.300","0.300","0.300","0.300","200,000"
12/12/2022,"0.310","0.310","0.310","0.310","200,000"
12/05/2022,"0.320","0.320","0.315","0.315","130,000"
11/17/2022,"0.315","0.315","0.315","0.315","20,000"
11/15/2022,"0.315","0.315","0.315","0.315","100,000"
11/14/2022,"0.320","0.320","0.320","0.320","70,000"
11/10/2022,"0.325","0.325","0.325","0.325","30,000"
11/08/2022,"0.380","0.380","0.380","0.380","50,000"
11/07/2022,"0.315","0.335","0.315","0.320","230,000"
10/03/2022,"0.320","0.320","0.320","0.320","10,000"
09/27/2022,"0.330","0.330","0.330","0.330","450,000"
09/23/2022,"0.330","0.330","0.330","0.330","30,000"
09/09/2022,"0.340","0.340","0.330","0.330","210,000"
09/08/2022,"0.340","0.340","0.340","0.340","200,000"
08/19/2022,"0.330","0.330","0.330","0.330","220,000"
08/15/2022,"0.345","0.345","0.345","0.345","800,000"
08/10/2022,"0.330","0.330","0.330","0.330","30,000"
08/09/2022,"0.330","0.330","0.330","0.330","240,000"
07/25/2022,"0.330","0.330","0.330","0.330","80,000"
07/11/2022,"0.340","0.340","0.340","0.340","120,000"
07/04/2022,"0.350","0.350","0.350","0.350","300,000"
07/01/2022,"0.350","0.350","0.350","0.350","200,000"
06/20/2022,"0.340","0.340","0.340","0.340","20,000"
06/15/2022,"0.340","0.340","0.340","0.340","10,000"
06/07/2022,"0.340","0.350","0.340","0.350","390,000"
06/03/2022,"0.340","0.340","0.340","0.340","20,000"
06/02/2022,"0.350","0.350","0.350","0.350","400,000"
05/30/2022,"0.350","0.350","0.350","0.350","50,000"
05/25/2022,"0.350","0.350","0.350","0.350","810,000"
05/24/2022,"0.350","0.350","0.350","0.350","160,000"
05/23/2022,"0.350","0.350","0.350","0.350","310,000"
05/19/2022,"0.350","0.350","0.350","0.350","650,000"
05/17/2022,"0.350","0.350","0.350","0.350","150,000"
05/12/2022,"0.340","0.340","0.340","0.340","210,000"
05/10/2022,"0.350","0.350","0.350","0.350","340,000"
05/04/2022,"0.350","0.350","0.350","0.350","10,000"
05/02/2022,"0.350","0.350","0.350","0.350","760,000"
04/28/2022,"0.340","0.340","0.340","0.340","10,000"
04/13/2022,"0.340","0.340","0.340","0.340","10,000"
04/12/2022,"0.340","0.340","0.340","0.340","40,000"
04/11/2022,"0.340","0.340","0.340","0.340","10,000"
03/28/2022,"0.340","0.340","0.340","0.340","10,000"
03/24/2022,"0.340","0.340","0.340","0.340","10,000"
03/23/2022,"0.350","0.350","0.350","0.350","20,000"
03/17/2022,"0.340","0.350","0.335","0.350","350,000"
03/16/2022,"0.340","0.340","0.340","0.340","140,000"
03/08/2022,"0.340","0.340","0.340","0.340","30,000"
03/07/2022,"0.345","0.350","0.345","0.350","120,000"
03/04/2022,"0.340","0.340","0.340","0.340","30,000"
03/02/2022,"0.340","0.340","0.340","0.340","20,000"
03/01/2022,"0.340","0.340","0.340","0.340","70,000"
02/28/2022,"0.340","0.340","0.340","0.340","10,000"
02/23/2022,"0.350","0.350","0.350","0.350","10,000"
02/22/2022,"0.340","0.350","0.340","0.350","250,000"
02/18/2022,"0.350","0.350","0.340","0.340","960,000"
02/17/2022,"0.350","0.360","0.345","0.355","230,000"
02/11/2022,"0.360","0.360","0.355","0.355","70,000"
02/10/2022,"0.360","0.360","0.360","0.360","30,000"
02/09/2022,"0.360","0.360","0.360","0.360","40,000"
02/08/2022,"0.360","0.360","0.360","0.360","30,000"
02/07/2022,"0.360","0.360","0.360","0.360","30,000"
02/03/2022,"0.360","0.360","0.360","0.360","200,000"
02/02/2022,"0.360","0.365","0.360","0.360","350,000"
01/31/2022,"0.355","0.355","0.355","0.355","10,000"
01/28/2022,"0.345","0.345","0.345","0.345","10,000"
01/27/2022,"0.350","0.350","0.340","0.350","210,000"
01/26/2022,"0.340","0.350","0.340","0.350","70,000"
01/25/2022,"0.340","0.345","0.340","0.345","600,000"
01/24/2022,"0.345","0.345","0.340","0.340","700,000"
01/21/2022,"0.345","0.350","0.340","0.350","290,000"
01/18/2022,"0.340","0.350","0.340","0.350","160,000"
01/17/2022,"0.350","0.350","0.350","0.350","100,000"
01/13/2022,"0.350","0.350","0.350","0.350","10,000"
01/12/2022,"0.350","0.360","0.340","0.350","920,000"
01/11/2022,"0.340","0.340","0.340","0.340","30,000"
01/10/2022,"0.340","0.345","0.340","0.345","130,000"
