Date,Open,High,Low,Close,Volume
12/31/2021,"0.010","0.011","0.010","0.011","6,000,000"
12/29/2021,"0.010","0.011","0.010","0.011","10,800,000"
12/28/2021,"0.010","0.011","0.010","0.011","10,000,000"
12/27/2021,"0.011","0.011","0.010","0.011","2,200,000"
12/24/2021,"0.010","0.011","0.010","0.010","10,100,000"
12/23/2021,"0.010","0.011","0.010","0.011","12,600,000"
12/22/2021,"0.011","0.011","0.010","0.011","15,400,000"
12/21/2021,"0.011","0.011","0.010","0.010","45,100,000"
12/20/2021,"0.011","0.011","0.010","0.011","19,700,000"
12/17/2021,"0.011","0.011","0.010","0.011","5,500,000"
12/16/2021,"0.010","0.011","0.010","0.010","1,000,000"
12/15/2021,"0.011","0.011","0.010","0.011","17,200,000"
12/14/2021,"0.010","0.011","0.010","0.010","27,900,000"
12/13/2021,"0.010","0.010","0.010","0.010","26,100,000"
12/10/2021,"0.010","0.011","0.010","0.010","28,700,000"
12/09/2021,"0.010","0.011","0.010","0.010","5,400,000"
12/07/2021,"0.010","0.011","0.010","0.011","55,700,000"
12/06/2021,"0.010","0.010","0.010","0.010","22,300,000"
12/03/2021,"0.011","0.011","0.010","0.010","16,200,000"
12/02/2021,"0.010","0.011","0.010","0.010","7,600,000"
12/01/2021,"0.010","0.011","0.010","0.010","85,700,000"
11/29/2021,"0.010","0.011","0.010","0.010","15,900,000"
11/26/2021,"0.010","0.010","0.010","0.010","21,100,000"
11/25/2021,"0.010","0.010","0.010","0.010","16,900,000"
11/24/2021,"0.011","0.011","0.010","0.011","49,200,000"
11/23/2021,"0.010","0.011","0.010","0.011","143,800,000"
11/22/2021,"0.010","0.011","0.010","0.010","43,700,000"
11/19/2021,"0.011","0.011","0.010","0.011","7,400,000"
11/18/2021,"0.010","0.011","0.010","0.011","15,700,000"
11/17/2021,"0.010","0.011","0.010","0.010","10,200,000"
11/16/2021,"0.010","0.011","0.010","0.010","30,000,000"
11/15/2021,"0.011","0.011","0.010","0.011","29,900,000"
11/12/2021,"0.011","0.011","0.010","0.010","23,100,000"
11/11/2021,"0.011","0.011","0.010","0.010","80,600,000"
11/10/2021,"0.010","0.011","0.010","0.011","19,200,000"
