Date,Open,High,Low,Close,Volume
04/21/2025,"0.008","0.008","0.008","0.008","3,000,000"
04/16/2025,"0.007","0.007","0.007","0.007","60,000,000"
04/03/2025,"0.007","0.007","0.007","0.007","6,000,000"
03/31/2025,"0.007","0.007","0.007","0.007","1,000,000"
03/27/2025,"0.008","0.008","0.007","0.007","126,000,000"
03/26/2025,"0.007","0.007","0.007","0.007","4,000,000"
03/20/2025,"0.008","0.008","0.007","0.007","5,000,000"
03/19/2025,"0.008","0.008","0.008","0.008","19,000,000"
03/18/2025,"0.007","0.008","0.007","0.008","32,000,000"
03/13/2025,"0.007","0.007","0.007","0.007","3,000,000"
03/11/2025,"0.007","0.007","0.007","0.007","3,000,000"
03/10/2025,"0.007","0.007","0.007","0.007","2,000,000"
03/05/2025,"0.007","0.007","0.007","0.007","5,000,000"
02/25/2025,"0.007","0.007","0.007","0.007","1,000,000"
02/11/2025,"0.007","0.007","0.007","0.007","100,000,000"
02/07/2025,"0.007","0.007","0.007","0.007","8,000,000"
01/30/2025,"0.007","0.007","0.007","0.007","1,000,000"
01/24/2025,"0.007","0.007","0.007","0.007","14,000,000"
01/20/2025,"0.007","0.007","0.007","0.007","10,000,000"
01/06/2025,"0.007","0.007","0.007","0.007","35,000,000"
