Date,Open,High,Low,Close,Volume
2020-01-02,0.74,0.74,0.72,0.74,25000
2020-01-03,0.73,0.74,0.7,0.7,138000
2020-01-06,0.72,0.72,0.71,0.71,110000
2020-01-07,0.74,0.74,0.74,0.74,1000
2020-01-08,0.72,0.72,0.67,0.72,664000
2020-01-09,0.68,0.72,0.68,0.71,41000
2020-01-10,0.72,0.75,0.69,0.75,320000
2020-01-14,0.76,0.76,0.75,0.75,6000
2020-01-15,0.75,0.76,0.74,0.76,53000
2020-01-16,0.76,0.76,0.76,0.76,3000
2020-01-17,0.76,0.76,0.75,0.75,10000
2020-01-20,0.73,0.74,0.72,0.74,51000
2020-01-21,0.72,0.74,0.72,0.74,18000
2020-01-22,0.74,0.74,0.74,0.74,2000
2020-01-24,0.72,0.73,0.69,0.73,54000
2020-01-27,0.73,0.74,0.7,0.74,110000
2020-01-30,0.74,0.74,0.7,0.71,47000
2020-01-31,0.7,0.73,0.7,0.7,56000
2020-02-03,0.69,0.7,0.69,0.7,29000
2020-02-04,0.69,0.69,0.66,0.69,130000
2020-02-06,0.68,0.68,0.67,0.67,94000
2020-02-07,0.67,0.68,0.67,0.67,102000
2020-02-10,0.66,0.66,0.64,0.66,213000
2020-02-11,0.65,0.7,0.64,0.68,135000
2020-02-12,0.69,0.69,0.63,0.67,45000
2020-02-13,0.68,0.68,0.68,0.68,2000
2020-02-17,0.65,0.68,0.64,0.68,82000
2020-02-20,0.65,0.68,0.65,0.68,4000
2020-02-21,0.66,0.68,0.63,0.63,241000
2020-02-24,0.67,0.67,0.62,0.62,80000
2020-02-26,0.61,0.65,0.61,0.65,31000
2020-02-27,0.64,0.64,0.59,0.62,103000
2020-02-28,0.58,0.62,0.58,0.62,123000
2020-03-02,0.59,0.62,0.59,0.62,60000
2020-03-03,0.62,0.62,0.59,0.62,148000
2020-03-05,0.59,0.64,0.58,0.63,186000
2020-03-06,0.59,0.63,0.59,0.63,13000
2020-03-09,0.61,0.61,0.52,0.58,414000
2020-03-10,0.52,0.56,0.52,0.56,73000
2020-03-12,0.51,0.54,0.5,0.54,206000
2020-03-13,0.495,0.495,0.49,0.495,43000
2020-03-16,0.495,0.54,0.495,0.54,60000
2020-03-19,0.56,0.56,0.43,0.45,96000
2020-03-23,0.435,0.445,0.4,0.445,90000
2020-03-24,0.51,0.51,0.43,0.43,110000
2020-03-25,0.45,0.45,0.45,0.45,80000
2020-03-26,0.53,0.53,0.46,0.46,110000
2020-03-27,0.48,0.48,0.44,0.44,150000
2020-03-31,0.475,0.475,0.46,0.465,50000
2020-04-01,0.46,0.475,0.46,0.475,100000
2020-04-02,0.475,0.475,0.46,0.46,70000
2020-04-03,0.465,0.465,0.46,0.46,40000
2020-04-06,0.46,0.46,0.455,0.455,2140000
2020-04-07,0.46,0.47,0.46,0.47,110000
2020-04-08,0.475,0.475,0.45,0.45,490000
2020-04-13,0.46,0.46,0.46,0.46,80000
2020-04-14,0.46,0.47,0.455,0.465,180000
2020-04-15,0.465,0.485,0.46,0.485,730000
2020-04-16,0.475,0.475,0.47,0.47,160000
2020-04-17,0.48,0.51,0.48,0.5,130000
2020-04-20,0.495,0.52,0.495,0.52,190000
2020-04-21,0.5,0.52,0.495,0.52,211000
2020-04-22,0.52,0.52,0.49,0.52,175000
2020-04-23,0.5,0.52,0.495,0.495,221000
2020-04-24,0.495,0.495,0.48,0.48,490000
2020-04-27,0.475,0.5,0.475,0.475,190000
2020-04-28,0.475,0.495,0.475,0.495,20000
2020-04-29,0.51,0.52,0.49,0.49,80000
2020-04-30,0.495,0.5,0.495,0.5,20000
2020-05-04,0.49,0.51,0.49,0.5,122000
2020-05-05,0.51,0.53,0.5,0.53,88000
2020-05-06,0.53,0.53,0.5,0.52,61000
2020-05-07,0.54,0.54,0.52,0.52,20000
2020-05-11,0.5,0.52,0.5,0.52,6000
2020-05-12,0.53,0.53,0.52,0.52,10000
2020-05-14,0.51,0.51,0.5,0.5,25000
2020-05-15,0.49,0.52,0.48,0.51,468000
2020-05-18,0.5,0.51,0.48,0.5,48000
2020-05-19,0.5,0.5,0.495,0.5,19000
2020-05-20,0.5,0.5,0.49,0.49,70000
2020-05-26,0.48,0.49,0.48,0.49,20000
2020-05-27,0.49,0.49,0.455,0.455,300000
2020-05-28,0.475,0.475,0.465,0.47,50000
2020-06-01,0.47,0.48,0.47,0.48,20000
2020-06-02,0.47,0.475,0.465,0.465,180000
2020-06-03,0.465,0.5,0.465,0.475,590000
2020-06-04,0.5,0.5,0.5,0.5,50000
2020-06-05,0.5,0.5,0.49,0.5,93000
2020-06-08,0.52,0.52,0.5,0.51,1195000
2020-06-09,0.53,0.56,0.51,0.53,333000
2020-06-10,0.52,0.53,0.5,0.53,193000
2020-06-11,0.5,0.53,0.5,0.53,56000
2020-06-15,0.495,0.54,0.495,0.54,39000
2020-06-16,0.5,0.53,0.5,0.53,419000
2020-06-17,0.495,0.52,0.495,0.52,48000
2020-06-18,0.5,0.51,0.49,0.51,170000
2020-06-19,0.51,0.51,0.485,0.51,163000
2020-06-22,0.5,0.53,0.49,0.52,135000
2020-06-23,0.52,0.52,0.5,0.52,304000
2020-06-24,0.52,0.53,0.47,0.52,1684000
2020-06-25,0.49,0.5,0.475,0.5,58000
2020-06-26,0.5,0.5,0.49,0.49,112000
2020-06-29,0.49,0.49,0.49,0.49,10000
2020-06-30,0.49,0.49,0.49,0.49,10000
2020-07-01,0.485,0.5,0.485,0.5,70000
2020-07-02,0.47,0.5,0.47,0.475,13000
2020-07-03,0.48,0.51,0.48,0.5,190000
2020-07-06,0.485,0.61,0.485,0.55,1122000
2020-07-07,0.59,0.62,0.51,0.55,1623000
2020-07-08,0.54,0.55,0.5,0.53,896000
2020-07-09,0.53,0.59,0.5,0.56,1037000
2020-07-10,0.56,0.58,0.53,0.57,1013000
2020-07-13,0.57,0.58,0.52,0.55,425000
2020-07-14,0.52,0.55,0.51,0.55,347000
2020-07-15,0.51,0.54,0.5,0.54,479000
2020-07-16,0.5,0.55,0.5,0.55,383000
2020-07-17,0.51,0.53,0.5,0.53,211000
2020-07-20,0.54,0.55,0.54,0.54,177000
2020-07-21,0.54,0.54,0.51,0.54,22000
2020-07-22,0.55,0.58,0.51,0.56,1491000
2020-07-23,0.57,0.61,0.52,0.6,4213000
2020-07-24,0.61,0.65,0.58,0.61,4711000
2020-07-27,0.62,0.66,0.59,0.64,7536000
2020-07-28,0.65,0.66,0.58,0.58,7265000
2020-07-29,0.59,0.59,0.53,0.57,5246000
2020-07-30,0.56,0.58,0.55,0.58,729000
2020-08-03,0.53,0.56,0.52,0.55,804000
2020-08-04,0.55,0.58,0.55,0.56,3086000
2020-08-05,0.57,0.58,0.57,0.58,1779000
2020-08-06,0.58,0.61,0.58,0.59,3680000
2020-08-07,0.58,0.64,0.58,0.63,10592000
2020-08-10,0.65,0.65,0.61,0.63,1841000
2020-08-11,0.61,0.62,0.6,0.6,3260000
2020-08-12,0.59,0.6,0.56,0.59,2890000
2020-08-13,0.59,0.59,0.56,0.59,714000
2020-08-14,0.58,0.6,0.58,0.6,393000
2020-08-17,0.6,0.6,0.57,0.59,916000
2020-08-18,0.59,0.59,0.56,0.58,1048000
2020-08-19,0.57,0.59,0.57,0.59,222000
2020-08-20,0.59,0.59,0.57,0.59,523000
2020-08-24,0.57,0.6,0.57,0.6,843000
2020-08-25,0.6,0.6,0.57,0.58,466000
2020-08-26,0.57,0.6,0.57,0.6,392000
2020-08-27,0.58,0.63,0.58,0.61,4839000
2020-08-28,0.61,0.61,0.59,0.59,785000
2020-09-01,0.59,0.62,0.59,0.61,1263000
2020-09-02,0.62,0.62,0.6,0.62,482000
2020-09-03,0.61,0.61,0.59,0.6,580000
2020-09-04,0.59,0.6,0.58,0.59,676000
2020-09-07,0.57,0.59,0.57,0.59,3119000
2020-09-08,0.58,0.58,0.56,0.58,809000
2020-09-09,0.57,0.58,0.55,0.55,1633000
2020-09-10,0.55,0.57,0.55,0.57,634000
2020-09-11,0.55,0.57,0.53,0.55,738000
2020-09-14,0.55,0.57,0.54,0.56,343000
2020-09-15,0.56,0.58,0.55,0.58,1042000
2020-09-16,0.57,0.58,0.57,0.57,167000
2020-09-17,0.57,0.58,0.55,0.56,516000
2020-09-18,0.57,0.57,0.55,0.56,139000
2020-09-21,0.54,0.56,0.53,0.55,635000
2020-09-22,0.53,0.55,0.53,0.55,948000
2020-09-23,0.53,0.55,0.53,0.55,43000
2020-09-24,0.54,0.55,0.54,0.55,62000
2020-09-25,0.54,0.55,0.53,0.54,157000
2020-09-28,0.53,0.55,0.53,0.55,218000
2020-09-29,0.52,0.55,0.52,0.54,56000
2020-09-30,0.55,0.55,0.52,0.54,35000
2020-10-01,0.52,0.54,0.52,0.54,538000
2020-10-02,0.55,0.55,0.52,0.53,175000
2020-10-05,0.52,0.56,0.52,0.54,908000
2020-10-06,0.56,0.56,0.52,0.53,690000
2020-10-07,0.52,0.55,0.52,0.55,236000
2020-10-08,0.55,0.58,0.55,0.57,1489000
2020-10-09,0.58,0.59,0.55,0.58,1429000
2020-10-12,0.59,0.61,0.58,0.6,2599000
2020-10-13,0.61,0.61,0.58,0.59,760000
2020-10-14,0.6,0.6,0.58,0.6,121000
2020-10-15,0.6,0.62,0.59,0.62,3259000
2020-10-16,0.63,0.7,0.61,0.65,6642000
