Date,Open,High,Low,Close,Volume
2020-01-02,4.69,4.69,4.22,4.3,91000
2020-01-03,4.45,4.45,4.45,4.45,1000
2020-01-06,4.5,4.5,4.22,4.45,13000
2020-01-08,4.24,4.25,4.04,4.19,68000
2020-01-09,4.08,4.24,4.03,4.24,9000
2020-01-10,4.24,4.88,4.21,4.7,127000
2020-01-14,4.88,5.04,4.68,5.04,217000
2020-01-15,5.04,5.17,4.9,5.0,95200
2020-01-16,5.0,5.0,4.5,4.8,29600
2020-01-17,4.5,4.79,4.2,4.4,43000
2020-01-20,4.4,4.4,4.25,4.33,23000
2020-01-21,4.7,4.7,4.34,4.34,43000
2020-01-23,4.34,4.7,4.34,4.7,7000
2020-01-24,4.32,4.64,4.32,4.63,17000
2020-01-27,4.45,4.45,4.45,4.45,6000
2020-01-28,4.45,6.1,4.45,5.82,627000
2020-01-29,5.89,6.2,5.2,5.3,360000
2020-01-30,5.31,5.48,5.02,5.02,111400
2020-01-31,4.93,5.21,4.15,4.51,95700
2020-02-03,4.3,5.14,4.3,5.12,221000
2020-02-04,5.0,5.0,4.43,4.99,14000
2020-02-05,5.0,5.01,5.0,5.0,22000
2020-02-06,5.0,5.0,4.7,4.99,12800
2020-02-10,4.22,4.4,4.21,4.4,5000
2020-02-11,4.28,4.28,4.28,4.28,5000
2020-02-12,4.32,4.38,4.32,4.38,14000
2020-02-14,4.33,4.5,4.33,4.5,11000
2020-02-17,4.7,4.79,4.5,4.7,11000
2020-02-18,4.8,4.8,4.43,4.43,6000
2020-02-19,4.37,4.38,4.37,4.38,2000
2020-02-20,4.35,4.48,4.31,4.48,13000
2020-02-21,4.31,4.31,4.25,4.28,29000
2020-02-24,4.26,4.26,4.25,4.25,14000
2020-02-26,4.22,4.22,4.0,4.22,57000
2020-02-27,4.0,4.0,4.0,4.0,6000
2020-02-28,4.02,4.02,4.02,4.02,5000
2020-03-02,4.0,4.1,4.0,4.1,2000
2020-03-03,4.36,4.36,4.0,4.0,45000
2020-03-04,4.38,4.38,4.15,4.29,13000
2020-03-09,4.05,4.05,3.76,3.76,17000
2020-03-10,3.75,3.75,3.45,3.47,33000
2020-03-11,3.2,3.5,3.2,3.3,76000
2020-03-12,3.3,3.3,3.0,3.0,79000
2020-03-13,2.4,2.7,2.4,2.63,33000
2020-03-16,3.9,3.9,3.8,3.8,3000
2020-03-19,2.6,2.6,2.6,2.6,2000
2020-03-20,2.75,2.75,2.75,2.75,1000
2020-03-23,2.7,2.7,2.7,2.7,3000
2020-03-24,3.5,3.5,2.7,2.7,24000
2020-03-25,2.6,2.7,2.6,2.7,21000
2020-03-26,2.75,2.75,2.75,2.75,8000
2020-03-27,2.76,2.77,2.76,2.76,15000
2020-03-30,2.75,2.75,2.75,2.75,1000
2020-04-01,2.99,2.99,2.75,2.75,2000
2020-04-06,2.75,2.75,2.75,2.75,2000
2020-04-07,2.75,2.75,2.75,2.75,3000
2020-04-08,2.71,2.8,2.71,2.8,8000
2020-04-13,3.2,3.2,3.2,3.2,1000
2020-04-16,3.19,3.19,3.19,3.19,1000
2020-04-20,2.71,2.71,2.4,2.65,42000
2020-04-21,3.15,3.16,2.85,3.14,16000
2020-04-22,3.14,3.14,3.14,3.14,1000
2020-04-24,3.15,3.15,3.11,3.11,19000
2020-04-27,2.8,3.02,2.8,3.02,7000
2020-04-29,2.9,3.11,2.9,3.11,2000
2020-05-13,3.0,3.1,3.0,3.1,11000
2020-05-14,3.1,3.1,3.1,3.1,1000
2020-05-26,2.63,2.63,2.62,2.62,27000
2020-05-28,2.8,2.8,2.8,2.8,2000
2020-05-29,2.7,2.7,2.7,2.7,9000
2020-06-01,2.64,2.65,2.64,2.65,9000
2020-06-02,2.66,2.98,2.66,2.98,2000
2020-06-03,2.98,2.98,2.98,2.98,1000
2020-06-04,2.66,2.8,2.66,2.72,5000
2020-06-05,2.73,2.73,2.72,2.72,16000
2020-06-08,2.72,2.76,2.72,2.76,3000
2020-06-09,2.9,3.3,2.9,3.15,273000
2020-06-10,3.15,3.15,3.0,3.03,36000
2020-06-15,3.03,3.03,2.89,2.89,24000
2020-06-18,2.89,2.89,2.89,2.89,10000
2020-06-19,2.89,2.89,2.89,2.89,10000
2020-06-22,2.88,2.9,2.88,2.88,9000
2020-06-26,2.9,2.9,2.88,2.88,91000
2020-06-29,2.7,2.89,2.7,2.89,6000
2020-06-30,2.89,2.89,2.89,2.89,1000
2020-07-01,2.89,2.89,2.89,2.89,1000
2020-07-02,3.0,3.0,3.0,3.0,9000
2020-07-08,2.9,2.9,2.75,2.75,7000
2020-07-09,2.75,3.8,2.73,3.25,507000
2020-07-10,3.05,3.49,2.85,3.14,120000
2020-07-13,2.85,3.05,2.8,2.98,56000
2020-07-14,2.83,3.06,2.82,3.06,41000
2020-07-15,3.05,3.35,3.05,3.29,90000
2020-07-16,3.25,3.25,3.0,3.19,60000
2020-07-17,3.2,3.2,3.02,3.18,12000
2020-07-20,2.89,3.01,2.89,3.0,32000
2020-07-21,2.89,3.09,2.89,3.0,75000
2020-07-22,3.09,3.09,2.91,3.08,30000
2020-07-23,2.91,3.07,2.89,3.07,12000
2020-07-27,2.89,3.08,2.89,3.08,15000
2020-07-30,2.9,2.99,2.88,2.99,52000
2020-08-04,3.06,3.06,3.06,3.06,1000
2020-08-06,3.12,3.12,3.12,3.12,1000
2020-08-07,2.85,3.04,2.81,3.04,10000
2020-08-10,2.82,3.0,2.82,3.0,1888000
2020-08-11,2.91,2.97,2.91,2.97,8000
2020-08-12,2.91,3.12,2.91,3.1,16000
2020-08-13,3.0,3.09,2.91,3.08,28000
2020-08-18,2.99,3.05,2.99,3.05,29000
2020-08-20,2.88,2.98,2.88,2.98,4000
2020-08-24,2.88,3.04,2.88,3.04,3000
2020-08-25,2.87,2.98,2.86,2.98,33000
2020-08-27,2.98,2.98,2.98,2.98,2000
2020-08-28,2.87,3.05,2.87,3.05,4000
2020-09-08,3.0,3.04,3.0,3.04,17000
2020-09-16,2.91,3.04,2.9,3.04,24000
2020-09-18,2.91,3.02,2.9,3.02,11000
2020-09-22,3.0,3.0,2.9,2.98,7000
2020-09-23,2.9,3.0,2.9,3.0,23000
2020-09-28,2.91,2.91,2.91,2.91,6000
2020-09-29,2.91,2.91,2.9,2.9,41000
2020-09-30,2.91,2.91,2.9,2.9,15000
2020-10-01,2.9,2.9,2.9,2.9,4000
2020-10-02,2.92,2.92,2.92,2.92,1000
2020-10-05,2.9,2.9,2.9,2.9,11000
2020-10-06,2.9,2.9,2.9,2.9,14000
2020-10-08,2.99,3.84,2.99,3.5,159000
2020-10-09,3.46,3.46,3.01,3.06,20000
2020-10-12,3.05,3.16,3.0,3.01,9000
2020-10-13,3.01,3.01,3.01,3.01,4000
2020-10-14,3.0,3.0,3.0,3.0,3000
2020-10-15,3.0,3.1,3.0,3.0,105000
2020-10-16,3.01,3.01,3.01,3.01,5000
2020-10-19,3.17,3.17,3.17,3.17,25000
2020-10-20,3.05,3.19,3.05,3.19,15000
2020-10-21,3.14,3.15,3.14,3.15,62000
2020-10-22,3.18,3.18,3.18,3.18,3000
2020-10-26,3.35,3.35,3.35,3.35,6000
2020-10-28,3.5,3.5,3.5,3.5,39000
2020-10-29,3.25,3.25,3.08,3.08,5000
2020-10-30,3.11,3.11,3.11,3.11,8000
2020-11-03,3.11,3.11,3.11,3.11,2000
2020-11-04,3.42,3.49,3.42,3.47,28000
2020-11-06,3.47,4.3,3.47,3.95,180000
2020-11-09,3.95,4.0,3.95,3.99,31000
2020-11-11,3.9,4.08,3.9,4.08,118000
2020-11-13,4.0,4.18,4.0,4.18,119000
2020-11-16,4.18,4.35,4.18,4.35,50000
2020-11-17,4.44,4.44,4.18,4.35,11000
2020-11-18,4.0,4.34,4.0,4.3,307000
2020-11-19,4.3,4.3,4.3,4.3,7000
2020-11-20,4.15,4.4,4.15,4.4,25000
2020-11-23,4.39,4.39,4.2,4.35,17000
2020-11-24,4.25,4.25,4.2,4.2,83000
2020-11-25,4.2,4.34,4.15,4.34,96000
2020-11-26,4.3,4.3,4.15,4.15,61000
2020-11-27,4.2,4.2,4.0,4.01,85000
2020-12-01,4.01,4.1,4.0,4.09,117000
2020-12-02,4.1,4.1,4.02,4.02,6000
2020-12-03,4.08,4.08,3.9,3.93,216000
2020-12-04,4.1,4.1,3.9,3.9,68000
2020-12-07,3.9,3.9,3.84,3.85,49000
2020-12-09,3.85,3.86,3.83,3.86,193000
2020-12-10,3.86,3.86,3.85,3.86,32000
2020-12-11,3.86,3.86,3.78,3.78,309000
2020-12-14,3.78,3.8,3.6,3.6,772000
2020-12-15,3.64,3.68,3.4,3.49,1529000
2020-12-16,3.55,4.01,3.55,3.85,1690000
2020-12-17,3.95,3.99,3.87,3.9,459000
2020-12-18,3.95,4.04,3.6,3.76,1303000
2020-12-21,3.99,3.99,3.7,3.8,308000
2020-12-22,3.7,3.8,3.6,3.61,351000
2020-12-23,3.62,3.64,3.5,3.64,187000
2020-12-28,3.52,3.52,3.4,3.4,246000
2020-12-29,3.4,3.41,3.02,3.19,359000
2021-01-04,3.16,3.38,3.16,3.21,62000
2021-01-05,3.21,3.21,3.12,3.15,199000
2021-01-06,3.12,3.13,3.06,3.08,79000
2021-01-07,3.1,3.3,3.1,3.12,79000
2021-01-08,3.13,3.35,3.13,3.35,74000
2021-01-11,3.35,3.7,3.35,3.5,194000
2021-01-12,3.7,3.7,3.55,3.55,127000
2021-01-13,3.5,3.7,3.5,3.62,195000
2021-01-14,3.9,3.9,3.6,3.76,224000
2021-01-15,3.76,5.4,3.75,4.4,1902000
2021-01-18,5.95,6.6,4.9,6.2,2632000
2021-01-19,6.94,6.94,6.1,6.5,1213900
2021-01-20,6.5,6.8,5.2,5.6,1106000
2021-01-21,6.0,6.3,5.41,5.41,504900
2021-01-22,5.46,6.0,5.16,6.0,412600
2021-01-25,6.0,6.3,5.56,5.89,367100
2021-01-26,6.0,6.0,4.2,4.2,725000
2021-01-27,4.0,4.7,3.85,4.6,156000
2021-01-28,4.59,4.59,4.12,4.12,70000
2021-01-29,4.52,5.0,4.3,5.0,263000
2021-02-01,5.0,5.5,5.0,5.43,257400
2021-02-02,5.43,5.49,4.8,5.4,84000
2021-02-03,5.4,5.42,4.85,5.07,88300
2021-02-04,5.09,5.09,4.6,5.0,68400
2021-02-05,4.8,4.99,4.73,4.75,79400
2021-02-08,4.6,4.8,4.55,4.75,99000
2021-02-09,4.75,5.4,4.75,5.37,118000
2021-02-10,5.31,5.6,5.0,5.53,274200
2021-02-11,5.45,5.45,5.1,5.1,96600
2021-02-15,5.1,5.3,4.99,5.02,163300
2021-02-16,5.0,5.0,4.8,4.98,220500
2021-02-17,5.0,6.6,5.0,5.45,438000
2021-02-18,5.46,5.5,5.07,5.28,105100
2021-02-19,5.2,5.2,5.01,5.04,72000
2021-02-22,5.03,5.24,5.03,5.07,179800
2021-02-23,5.22,5.22,5.04,5.19,142400
2021-02-24,5.05,5.19,4.8,4.9,97200
2021-02-26,4.85,5.5,4.85,4.99,81000
2021-03-01,5.0,5.42,4.92,5.0,89000
2021-03-02,4.92,4.95,4.92,4.95,11100
2021-03-03,5.08,5.08,3.8,4.2,1686000
2021-03-04,4.35,4.35,3.6,4.05,730000
2021-03-05,3.91,4.07,3.8,3.88,105000
2021-03-08,3.88,4.19,3.88,3.94,483000
2021-03-09,3.94,4.14,3.94,4.1,117000
