Date,Open,High,Low,Close,Volume
12/27/2024,"9.90","10.00","9.60","9.70","72,000"
12/23/2024,"9.50","9.70","9.50","9.70","5,100"
12/19/2024,"9.40","9.40","9.40","9.40","9,600"
12/18/2024,"9.40","9.40","9.40","9.40","10,000"
12/17/2024,"9.50","9.50","9.40","9.40","54,100"
12/16/2024,"9.40","9.40","9.40","9.40","46,800"
12/13/2024,"9.70","9.70","9.40","9.40","5,100"
12/12/2024,"9.50","9.50","9.50","9.50","46,400"
12/11/2024,"9.89","9.89","9.50","9.50","35,600"
12/10/2024,"9.50","9.50","9.50","9.50","15,000"
12/09/2024,"9.50","9.50","9.50","9.50","24,400"
12/06/2024,"9.30","9.40","9.30","9.40","7,400"
12/05/2024,"9.10","9.10","9.10","9.10","3,700"
12/04/2024,"9.49","9.50","9.41","9.50","42,300"
12/03/2024,"9.30","9.50","9.30","9.40","26,900"
12/02/2024,"9.30","9.30","9.30","9.30","1,100"
11/28/2024,"9.25","9.30","9.20","9.30","151,600"
11/27/2024,"9.30","9.30","9.25","9.30","131,000"
11/26/2024,"9.20","9.30","9.20","9.30","123,900"
11/25/2024,"9.10","9.20","9.10","9.20","101,200"
11/22/2024,"9.20","9.20","9.16","9.16","14,000"
11/21/2024,"9.10","9.10","9.06","9.06","3,700"
11/20/2024,"8.70","9.10","8.70","9.10","7,100"
11/19/2024,"9.20","9.20","9.05","9.05","10,000"
11/18/2024,"9.16","9.16","9.05","9.10","10,000"
11/15/2024,"9.30","9.30","9.16","9.16","1,000"
11/14/2024,"9.20","9.35","9.20","9.30","51,000"
11/13/2024,"9.25","9.30","9.20","9.30","105,900"
11/12/2024,"9.30","9.35","9.25","9.25","34,200"
11/11/2024,"9.16","9.30","9.12","9.30","23,600"
11/08/2024,"9.30","9.30","9.15","9.15","114,500"
11/07/2024,"9.30","9.30","9.12","9.12","138,400"
11/06/2024,"9.25","9.30","9.25","9.30","34,000"
11/05/2024,"9.10","9.25","9.10","9.25","63,800"
11/04/2024,"9.19","9.20","9.06","9.07","10,100"
10/31/2024,"9.20","9.20","9.20","9.20","3,100"
10/30/2024,"9.19","9.20","9.19","9.20","6,600"
10/29/2024,"9.17","9.20","9.11","9.19","34,500"
10/28/2024,"9.00","9.10","9.00","9.10","5,000"
10/25/2024,"9.10","9.10","9.10","9.10","400"
10/24/2024,"8.90","9.18","8.90","9.16","25,700"
10/23/2024,"8.89","8.89","8.89","8.89","200"
10/22/2024,"8.70","8.88","8.70","8.88","15,700"
10/21/2024,"8.78","8.80","8.78","8.80","5,100"
10/18/2024,"8.78","8.78","8.78","8.78","3,200"
10/17/2024,"8.50","8.78","8.50","8.78","1,500"
10/16/2024,"8.60","8.60","8.60","8.60","8,000"
10/15/2024,"8.50","8.60","8.50","8.60","28,400"
10/14/2024,"8.40","8.50","8.40","8.50","19,400"
10/11/2024,"8.40","8.40","8.40","8.40","15,200"
10/09/2024,"8.44","8.50","8.40","8.40","57,500"
10/08/2024,"8.44","8.44","8.40","8.40","18,900"
10/07/2024,"8.44","8.44","8.40","8.40","2,000"
10/03/2024,"8.32","8.32","8.30","8.30","83,200"
10/01/2024,"8.40","8.40","8.30","8.30","37,600"
09/30/2024,"8.44","8.44","8.40","8.40","7,000"
09/27/2024,"8.20","8.20","8.20","8.20","1,000"
09/26/2024,"8.15","8.15","8.15","8.15","900"
09/25/2024,"8.42","8.44","8.05","8.10","4,600"
09/24/2024,"8.40","8.45","8.00","8.04","42,700"
09/23/2024,"8.29","8.35","8.29","8.35","28,800"
09/20/2024,"7.90","8.00","7.90","8.00","57,500"
09/19/2024,"7.90","7.90","7.90","7.90","2,000"
09/18/2024,"7.90","7.90","7.90","7.90","4,100"
