Date,Open,High,Low,Close,Volume
12/28/2021,"17.80","17.80","17.80","17.80","800"
12/22/2021,"17.84","17.84","17.70","17.70","900"
12/21/2021,"17.94","17.94","17.60","17.64","3,500"
12/17/2021,"17.20","17.20","17.20","17.20","9,000"
12/15/2021,"17.20","17.20","17.20","17.20","1,000"
12/13/2021,"17.20","17.20","17.20","17.20","5,000"
12/10/2021,"17.20","17.20","17.20","17.20","8,400"
12/06/2021,"17.20","17.20","17.20","17.20","22,700"
12/03/2021,"17.20","17.20","17.20","17.20","5,500"
11/29/2021,"17.40","17.40","17.40","17.40","20,100"
11/25/2021,"17.40","17.40","17.40","17.40","8,700"
11/17/2021,"18.48","18.48","17.32","17.32","600"
11/08/2021,"18.48","18.48","18.48","18.48","300"
10/27/2021,"17.72","17.72","17.70","17.72","2,800"
10/26/2021,"18.00","18.00","17.70","17.70","2,800"
10/19/2021,"18.50","18.50","18.30","18.30","10,100"
10/18/2021,"18.30","18.30","18.30","18.30","2,700"
10/15/2021,"18.00","18.50","18.00","18.50","8,000"
10/13/2021,"18.00","18.00","18.00","18.00","800"
10/12/2021,"18.00","18.00","18.00","18.00","200"
10/11/2021,"17.98","17.98","17.98","17.98","500"
10/08/2021,"18.96","19.00","17.22","17.22","7,400"
10/04/2021,"18.00","18.00","18.00","18.00","100"
09/27/2021,"18.00","18.00","18.00","18.00","400"
09/24/2021,"18.38","18.38","18.00","18.00","4,500"
09/21/2021,"18.46","18.46","18.38","18.38","600"
09/17/2021,"18.50","18.50","18.50","18.50","3,000"
09/16/2021,"18.50","18.50","18.50","18.50","500"
09/07/2021,"18.50","18.50","18.50","18.50","500"
09/06/2021,"18.62","18.62","18.48","18.50","2,000"
09/02/2021,"18.52","19.00","18.50","19.00","1,800"
08/31/2021,"18.58","18.58","18.50","18.50","7,600"
08/27/2021,"19.14","19.14","19.10","19.12","1,500"
08/25/2021,"19.10","19.10","19.10","19.10","1,000"
08/09/2021,"18.82","19.94","18.82","19.94","1,900"
08/02/2021,"19.98","19.98","19.98","19.98","500"
07/29/2021,"19.06","19.06","19.02","19.02","900"
07/27/2021,"19.06","19.06","19.06","19.06","600"
07/12/2021,"19.06","19.06","19.06","19.06","20,000"
07/07/2021,"19.58","19.68","17.50","19.68","2,011,900"
07/06/2021,"19.68","19.68","19.58","19.58","22,500"
07/05/2021,"19.68","19.68","19.68","19.68","1,700"
07/02/2021,"19.98","19.98","19.98","19.98","1,900"
06/30/2021,"19.64","19.64","19.64","19.64","100"
06/29/2021,"19.64","19.64","19.64","19.64","10,000"
06/28/2021,"19.64","19.64","19.64","19.64","20,500"
06/25/2021,"19.66","19.70","19.66","19.70","6,600"
06/23/2021,"19.70","19.70","19.70","19.70","1,500"
06/21/2021,"19.70","19.70","19.70","19.70","1,000"
06/18/2021,"19.70","19.70","19.70","19.70","1,000"
06/16/2021,"19.90","19.90","19.70","19.70","900"
06/14/2021,"19.60","19.98","19.58","19.98","700"
06/11/2021,"19.82","19.82","19.80","19.80","1,800"
06/10/2021,"19.80","19.80","19.80","19.80","800"
06/09/2021,"20.00","20.00","20.00","20.00","1,200"
06/08/2021,"20.00","20.00","20.00","20.00","300"
06/07/2021,"20.00","20.00","20.00","20.00","15,200"
06/03/2021,"20.00","20.95","20.00","20.95","600"
06/01/2021,"20.95","21.00","20.95","21.00","6,300"
05/31/2021,"18.94","20.95","18.94","20.95","1,000"
05/28/2021,"21.10","21.10","21.00","21.00","1,300"
05/27/2021,"21.90","21.90","21.90","21.90","200"
05/17/2021,"21.00","21.00","21.00","21.00","4,100"
05/14/2021,"21.05","21.05","21.05","21.05","500"
05/12/2021,"21.65","21.65","21.50","21.50","5,600"
05/11/2021,"21.80","21.80","21.75","21.75","600"
05/10/2021,"22.00","22.00","22.00","22.00","4,300"
05/06/2021,"23.40","23.40","23.00","23.00","600"
05/05/2021,"21.60","21.60","21.60","21.60","300"
05/04/2021,"22.10","23.30","22.00","22.00","31,000"
05/03/2021,"23.00","23.40","23.00","23.40","1,100"
04/30/2021,"22.00","22.00","22.00","22.00","20,000"
04/28/2021,"22.10","23.40","22.00","22.00","42,100"
04/22/2021,"23.40","23.40","23.40","23.40","500"
04/16/2021,"23.40","23.40","23.40","23.40","500"
04/13/2021,"23.40","23.40","23.40","23.40","2,900"
04/12/2021,"22.05","22.05","22.05","22.05","26,600"
04/08/2021,"23.00","23.40","23.00","23.40","400"
03/31/2021,"22.80","22.80","22.80","22.80","200"
03/29/2021,"22.90","22.90","22.85","22.85","1,100"
03/22/2021,"23.00","23.00","23.00","23.00","100"
03/17/2021,"22.00","23.40","22.00","23.40","1,400"
03/16/2021,"22.00","22.00","22.00","22.00","3,200"
03/15/2021,"22.10","22.10","22.10","22.10","1,100"
03/11/2021,"22.15","22.15","22.15","22.15","100"
03/10/2021,"22.15","22.15","22.15","22.15","1,000"
03/08/2021,"22.15","22.20","22.10","22.10","3,100"
03/04/2021,"22.15","22.15","22.15","22.15","100"
03/02/2021,"22.10","22.10","22.10","22.10","200"
03/01/2021,"22.05","22.05","22.05","22.05","100"
02/24/2021,"22.00","22.00","22.00","22.00","5,000"
02/16/2021,"22.80","22.80","22.80","22.80","1,000"
02/15/2021,"22.85","22.85","22.85","22.85","700"
02/08/2021,"22.85","22.85","22.85","22.85","1,000"
02/05/2021,"22.65","22.65","22.65","22.65","3,800"
02/02/2021,"20.40","22.90","20.40","20.75","600"
02/01/2021,"20.10","22.15","20.10","20.40","3,900"
01/29/2021,"23.00","23.00","23.00","23.00","700"
01/22/2021,"23.45","23.45","23.00","23.00","800"
01/21/2021,"22.50","22.50","22.50","22.50","500"
