Date,Open,High,Low,Close,Volume
2020-01-02,20.45,20.45,20.3,20.3,16000
2020-01-03,20.4,20.4,20.4,20.4,2600
2020-01-06,20.5,20.5,20.4,20.4,6000
2020-01-10,20.45,20.45,20.0,20.0,20000
2020-01-14,20.5,20.5,20.5,20.5,400
2020-01-15,20.8,20.8,20.8,20.8,1400
2020-01-16,20.5,20.5,20.5,20.5,400
2020-01-17,20.5,20.5,20.5,20.5,5000
2020-01-20,20.5,20.5,20.5,20.5,2000
2020-01-22,20.5,20.5,20.5,20.5,10000
2020-01-24,20.5,20.5,20.5,20.5,10000
2020-01-27,20.45,20.45,20.45,20.45,10000
2020-01-28,20.0,20.8,20.0,20.8,12000
2020-02-10,19.02,19.02,19.02,19.02,200
2020-02-19,19.02,19.02,19.0,19.0,15000
2020-02-20,18.9,18.9,18.9,18.9,400
2020-02-21,19.0,19.0,19.0,19.0,100
2020-03-09,19.0,19.0,18.0,18.0,22000
2020-03-10,18.0,18.0,18.0,18.0,3800
2020-03-12,18.0,18.0,18.0,18.0,1100
2020-03-13,17.0,17.0,17.0,17.0,4300
2020-03-16,17.0,17.0,17.0,17.0,1400
2020-03-19,16.0,16.0,16.0,16.0,300
2020-03-26,17.02,17.02,17.0,17.0,1400
2020-04-02,16.02,16.02,16.0,16.0,304400
2020-04-08,16.0,16.0,16.0,16.0,200
2020-04-13,16.02,16.02,16.02,16.02,200
2020-04-14,16.02,16.02,16.0,16.0,5000
2020-04-20,16.02,16.02,16.0,16.0,20000
2020-04-21,18.0,18.0,17.0,18.0,2100
2020-04-23,18.0,18.0,18.0,18.0,100
2020-04-27,17.9,18.0,17.9,18.0,2700
2020-04-28,16.58,16.58,16.5,16.5,5000
2020-04-29,16.7,16.7,16.5,16.5,700
2020-04-30,16.7,16.7,16.7,16.7,200
2020-05-06,16.04,16.04,16.0,16.0,15000
2020-05-07,17.9,17.98,17.9,17.98,1100
2020-05-11,16.04,18.0,16.04,18.0,7500
2020-05-12,16.06,16.5,16.06,16.5,16800
2020-05-20,18.0,24.0,18.0,20.8,42000
2020-05-21,17.5,19.48,17.2,19.48,3100
2020-05-22,17.6,19.0,17.58,19.0,3000
2020-05-26,17.66,17.66,17.66,17.66,100
2020-05-27,18.86,18.86,18.86,18.86,200
2020-05-28,16.9,16.9,16.9,16.9,100
2020-05-29,17.0,17.0,17.0,17.0,300
2020-06-02,17.08,17.08,17.08,17.08,1000
2020-06-04,17.02,17.02,17.02,17.02,200
2020-06-09,19.8,19.8,18.9,18.9,1900
2020-06-11,18.88,18.9,18.88,18.9,2000
2020-06-16,17.32,18.5,17.04,18.5,1900
2020-06-17,17.4,18.36,17.4,18.36,1000
2020-06-19,18.48,18.48,18.48,18.48,100
2020-06-22,17.64,17.64,17.64,17.64,100
2020-06-23,18.18,19.0,18.18,19.0,1600
2020-06-29,18.98,19.6,18.98,19.6,2100
2020-06-30,19.0,19.0,16.0,17.36,64800
2020-07-01,17.4,17.4,16.9,17.0,5400
2020-07-02,16.92,18.0,16.8,17.0,6800
2020-07-03,17.44,17.44,17.44,17.44,100
2020-07-06,17.16,17.16,17.0,17.0,2500
2020-07-07,17.2,17.3,17.2,17.3,2000
2020-07-10,17.48,17.5,17.4,17.48,3700
2020-07-13,17.48,17.48,17.0,17.3,7900
2020-07-14,17.02,17.02,17.02,17.02,600
2020-07-15,17.06,17.06,17.02,17.02,900
2020-07-17,17.04,17.04,17.04,17.04,200
2020-07-21,17.88,17.88,17.88,17.88,400
2020-07-22,17.78,17.78,17.78,17.78,5000
2020-07-29,17.12,17.12,17.1,17.1,700
2020-08-12,17.12,17.12,17.12,17.12,200
2020-08-13,17.12,17.12,17.1,17.1,700
2020-08-24,17.46,17.46,17.46,17.46,100
2020-09-04,17.44,17.44,17.44,17.44,600
2020-09-10,17.36,17.36,17.36,17.36,100
2020-09-14,17.38,17.38,17.38,17.38,100
2020-09-15,17.38,17.38,17.38,17.38,100
2020-09-29,17.14,17.14,16.7,16.7,20000
2020-10-02,16.7,16.72,16.68,16.7,2000
2020-10-06,16.7,16.7,16.7,16.7,100
2020-10-08,17.4,17.4,17.4,17.4,2000
2020-10-12,17.36,17.36,17.36,17.36,200
2020-10-13,17.38,17.38,17.38,17.38,100
2020-10-14,17.48,17.48,17.48,17.48,100
2020-10-15,17.48,17.48,17.48,17.48,100
2020-10-19,16.76,16.76,16.5,16.5,50000
2020-10-21,17.46,17.5,16.74,16.74,3200
2020-10-22,16.66,16.66,16.66,16.66,400
2020-10-26,17.3,17.3,16.76,16.78,7800
2020-10-28,16.82,16.82,16.74,16.74,10700
2020-10-30,16.82,16.82,16.82,16.82,1000
2020-11-03,17.1,17.1,17.1,17.1,100
2020-11-10,16.86,17.0,16.86,17.0,5300
2020-11-11,17.0,17.0,17.0,17.0,3200
2020-11-16,17.56,20.5,17.56,19.9,16000
2020-11-17,19.5,19.88,19.5,19.88,11700
2020-11-18,19.86,19.88,19.86,19.88,800
2020-11-19,19.86,19.88,19.86,19.88,2900
2020-11-20,20.4,20.4,20.4,20.4,500
2020-11-23,20.5,22.0,20.5,22.0,47400
2020-11-24,19.58,19.58,19.58,19.58,100
2020-11-26,19.74,20.0,19.74,20.0,1000
2020-12-04,19.9,20.0,19.9,19.9,101900
2020-12-07,20.7,23.0,20.7,22.9,11700
2020-12-10,20.9,21.95,20.15,21.4,4000
2020-12-11,21.3,21.3,20.85,20.85,1200
2020-12-14,20.85,20.85,20.85,20.85,200
2020-12-15,21.05,21.05,21.05,21.05,500
2020-12-18,21.3,21.3,21.3,21.3,100
2020-12-22,21.05,21.05,21.05,21.05,400
2021-01-08,21.05,22.95,21.05,22.95,1800
2021-01-11,22.9,22.9,22.9,22.9,200
2021-01-12,22.5,22.5,22.5,22.5,5000
2021-01-15,20.25,20.25,20.25,20.25,16300
2021-01-18,22.3,22.5,22.25,22.25,1200
