Date,Open,High,Low,Close,Volume
12/27/2024,"0.560","0.560","0.540","0.540","4,249,000"
12/26/2024,"0.550","0.570","0.530","0.560","4,308,000"
12/23/2024,"0.600","0.600","0.540","0.550","20,391,000"
12/20/2024,"0.620","0.640","0.580","0.590","16,074,000"
12/19/2024,"0.610","0.670","0.590","0.630","16,298,000"
12/18/2024,"0.550","0.600","0.540","0.590","436,893,000"
12/17/2024,"0.590","0.590","0.550","0.560","3,591,000"
12/16/2024,"0.620","0.630","0.580","0.590","7,080,000"
12/13/2024,"0.540","0.620","0.530","0.620","12,697,000"
12/12/2024,"0.540","0.600","0.530","0.540","5,885,000"
12/11/2024,"0.600","0.600","0.530","0.540","6,970,000"
12/10/2024,"0.630","0.680","0.570","0.600","23,400,000"
12/09/2024,"0.810","0.870","0.590","0.630","35,737,000"
12/06/2024,"0.710","0.820","0.700","0.790","13,035,000"
12/05/2024,"0.690","0.740","0.670","0.740","11,822,000"
12/04/2024,"0.650","0.740","0.610","0.670","17,842,000"
12/03/2024,"0.520","0.600","0.485","0.600","6,590,000"
12/02/2024,"0.500","0.520","0.470","0.495","321,000"
11/29/2024,"0.490","0.500","0.490","0.500","250,000"
11/28/2024,"0.480","0.485","0.480","0.485","970,000"
11/27/2024,"0.480","0.480","0.470","0.480","100,000"
11/26/2024,"0.480","0.480","0.470","0.480","490,000"
11/25/2024,"0.460","0.485","0.460","0.485","550,000"
11/22/2024,"0.480","0.485","0.460","0.485","550,000"
11/21/2024,"0.480","0.480","0.480","0.480","90,000"
11/20/2024,"0.465","0.490","0.465","0.490","70,000"
11/19/2024,"0.460","0.490","0.460","0.490","250,000"
11/18/2024,"0.470","0.495","0.460","0.495","580,000"
11/15/2024,"0.500","0.500","0.455","0.485","150,000"
11/14/2024,"0.470","0.480","0.460","0.480","320,000"
11/13/2024,"0.490","0.490","0.460","0.485","1,620,000"
11/12/2024,"0.475","0.495","0.475","0.490","70,000"
11/11/2024,"0.500","0.500","0.475","0.495","381,000"
11/08/2024,"0.510","0.520","0.500","0.510","710,000"
11/07/2024,"0.520","0.550","0.500","0.530","2,196,000"
11/06/2024,"0.475","0.550","0.475","0.530","6,480,000"
11/05/2024,"0.465","0.475","0.455","0.470","680,000"
11/04/2024,"0.470","0.475","0.455","0.475","570,000"
10/31/2024,"0.480","0.480","0.470","0.470","60,000"
10/30/2024,"0.470","0.480","0.465","0.480","400,000"
10/29/2024,"0.470","0.475","0.460","0.470","200,000"
10/28/2024,"0.480","0.480","0.470","0.470","340,000"
10/25/2024,"0.460","0.475","0.460","0.475","1,320,000"
10/24/2024,"0.530","0.530","0.450","0.460","8,579,000"
10/23/2024,"0.540","0.550","0.500","0.520","6,605,000"
10/22/2024,"0.570","0.570","0.520","0.560","8,176,000"
10/21/2024,"0.560","0.570","0.560","0.570","120,000"
10/18/2024,"0.560","0.580","0.560","0.570","1,405,000"
10/17/2024,"0.570","0.570","0.560","0.570","703,000"
10/16/2024,"0.570","0.570","0.560","0.570","818,000"
10/15/2024,"0.560","0.560","0.560","0.560","1,338,000"
10/14/2024,"0.570","0.570","0.560","0.570","136,000"
10/11/2024,"0.570","0.570","0.560","0.560","1,682,000"
10/10/2024,"0.570","0.580","0.560","0.570","1,237,000"
10/09/2024,"0.580","0.580","0.560","0.560","718,000"
10/08/2024,"0.580","0.580","0.570","0.580","180,000"
10/07/2024,"0.560","0.590","0.560","0.580","634,000"
10/04/2024,"0.570","0.570","0.560","0.560","332,000"
10/03/2024,"0.570","0.580","0.560","0.570","1,417,000"
10/02/2024,"0.570","0.580","0.560","0.570","550,000"
10/01/2024,"0.570","0.580","0.570","0.570","282,000"
09/30/2024,"0.600","0.600","0.570","0.570","1,004,000"
09/27/2024,"0.610","0.610","0.600","0.600","897,000"
09/26/2024,"0.570","0.600","0.570","0.580","2,336,000"
09/25/2024,"0.580","0.580","0.560","0.560","398,000"
09/24/2024,"0.560","0.580","0.560","0.580","540,000"
09/23/2024,"0.580","0.580","0.550","0.570","340,000"
09/20/2024,"0.580","0.580","0.550","0.560","2,883,000"
09/19/2024,"0.580","0.590","0.560","0.580","1,276,000"
09/18/2024,"0.580","0.580","0.570","0.580","352,000"
09/17/2024,"0.590","0.590","0.580","0.580","497,000"
09/16/2024,"0.620","0.620","0.590","0.600","158,000"
09/13/2024,"0.620","0.620","0.600","0.620","62,000"
09/12/2024,"0.620","0.620","0.600","0.620","120,000"
09/11/2024,"0.590","0.620","0.590","0.610","179,000"
09/10/2024,"0.590","0.630","0.580","0.630","731,000"
09/09/2024,"0.600","0.600","0.600","0.600","696,000"
09/06/2024,"0.600","0.600","0.580","0.600","469,000"
09/05/2024,"0.580","0.600","0.580","0.600","40,000"
09/04/2024,"0.600","0.600","0.580","0.600","468,000"
09/03/2024,"0.590","0.600","0.580","0.600","234,000"
09/02/2024,"0.610","0.610","0.590","0.600","324,000"
08/30/2024,"0.590","0.610","0.590","0.610","620,000"
08/29/2024,"0.590","0.590","0.580","0.580","68,000"
08/28/2024,"0.580","0.590","0.580","0.580","259,000"
08/27/2024,"0.600","0.600","0.580","0.580","312,000"
08/22/2024,"0.600","0.600","0.600","0.600","93,000"
08/21/2024,"0.600","0.620","0.600","0.610","92,000"
