Date,Open,High,Low,Close,Volume
05/16/2025,"0.202","0.202","0.197","0.199","760,000"
05/15/2025,"0.206","0.206","0.199","0.199","1,040,000"
05/14/2025,"0.198","0.209","0.198","0.204","2,370,000"
05/13/2025,"0.202","0.212","0.196","0.198","3,890,000"
05/09/2025,"0.200","0.208","0.197","0.207","4,830,000"
05/08/2025,"0.200","0.200","0.195","0.200","3,820,000"
05/07/2025,"0.198","0.201","0.198","0.199","4,480,000"
05/06/2025,"0.201","0.202","0.194","0.198","18,490,000"
05/05/2025,"0.205","0.213","0.200","0.213","4,350,000"
05/02/2025,"0.201","0.213","0.201","0.213","4,560,000"
