Date,Open,High,Low,Close,Volume
04/30/2025,"7.70","7.80","7.70","7.80","400"
04/29/2025,"7.80","7.80","7.51","7.70","20,600"
04/28/2025,"7.70","7.80","7.70","7.70","49,900"
04/25/2025,"7.65","7.69","7.65","7.65","5,500"
04/24/2025,"7.49","7.70","7.49","7.69","39,500"
04/23/2025,"7.28","7.60","7.28","7.34","197,100"
04/22/2025,"6.88","6.99","6.88","6.99","15,600"
04/21/2025,"6.69","6.95","6.68","6.94","11,500"
04/16/2025,"6.95","6.95","6.95","6.95","800"
04/15/2025,"6.74","6.90","6.70","6.70","69,300"
04/14/2025,"6.81","6.90","6.81","6.90","6,100"
04/11/2025,"6.70","6.81","6.70","6.81","1,000"
04/10/2025,"6.75","6.96","6.68","6.68","8,800"
04/07/2025,"6.98","6.98","6.80","6.80","14,900"
04/04/2025,"6.90","6.90","6.70","6.80","46,200"
04/03/2025,"7.00","7.10","7.00","7.10","10,300"
04/02/2025,"7.00","7.10","7.00","7.10","600"
03/31/2025,"7.00","7.00","6.81","7.00","6,400"
03/28/2025,"6.95","7.00","6.85","7.00","70,100"
03/27/2025,"7.10","7.10","7.00","7.00","9,500"
03/26/2025,"7.10","7.12","7.10","7.10","308,000"
03/25/2025,"7.00","7.00","6.97","7.00","104,600"
03/24/2025,"7.00","7.10","6.99","7.00","10,600"
03/21/2025,"7.00","7.20","7.00","7.00","878,300"
03/20/2025,"7.10","7.25","6.99","6.99","165,500"
03/19/2025,"7.00","7.00","7.00","7.00","1,500"
03/18/2025,"7.39","7.39","6.99","7.00","35,200"
03/17/2025,"6.98","6.99","6.98","6.99","70,800"
03/14/2025,"7.20","7.20","7.00","7.00","800"
03/13/2025,"7.00","7.39","7.00","7.00","6,500"
03/12/2025,"7.40","7.40","7.00","7.00","211,900"
03/11/2025,"7.00","7.10","7.00","7.00","255,300"
03/10/2025,"6.88","7.30","6.88","7.30","46,600"
03/07/2025,"6.98","6.98","6.75","6.88","143,300"
03/06/2025,"6.90","6.90","6.62","6.70","73,400"
03/05/2025,"6.62","6.90","6.62","6.70","51,500"
03/04/2025,"6.74","6.90","6.70","6.70","1,041,700"
03/03/2025,"6.75","6.75","6.71","6.74","4,074,000"
02/28/2025,"6.91","7.08","6.74","6.74","243,900"
02/27/2025,"7.00","7.00","6.80","6.80","494,900"
02/26/2025,"7.20","7.20","7.00","7.00","222,500"
02/25/2025,"7.24","7.24","7.00","7.00","649,600"
02/24/2025,"7.50","7.84","7.23","7.23","578,300"
02/21/2025,"7.54","7.85","7.40","7.50","133,600"
02/20/2025,"7.62","7.95","7.54","7.56","87,400"
02/19/2025,"7.70","7.95","7.62","7.95","84,700"
02/18/2025,"7.52","7.95","7.52","7.95","200"
02/17/2025,"7.89","7.89","7.52","7.88","6,900"
02/14/2025,"7.52","7.94","7.52","7.94","2,300"
02/13/2025,"7.90","7.95","7.70","7.95","11,500"
02/12/2025,"7.99","7.99","7.98","7.98","1,600"
02/11/2025,"7.99","7.99","7.99","7.99","1,100"
02/10/2025,"7.85","8.00","7.70","8.00","49,000"
02/06/2025,"7.99","7.99","7.90","7.90","19,200"
02/05/2025,"8.00","8.00","7.70","7.70","433,800"
02/04/2025,"8.00","8.00","8.00","8.00","200"
02/03/2025,"7.74","8.22","7.74","8.22","600"
01/30/2025,"7.90","7.90","7.90","7.90","16,500"
01/28/2025,"8.00","8.00","8.00","8.00","12,700"
01/27/2025,"7.74","8.00","7.74","8.00","5,500"
01/24/2025,"8.00","8.00","7.70","7.72","42,400"
01/23/2025,"8.00","8.00","8.00","8.00","1,200"
01/21/2025,"8.00","8.00","8.00","8.00","700"
01/20/2025,"8.00","8.26","8.00","8.26","1,800"
01/17/2025,"8.26","8.26","7.90","8.00","19,900"
01/16/2025,"7.80","8.30","7.78","8.30","5,000"
01/15/2025,"7.80","7.80","7.80","7.80","1,100"
01/14/2025,"7.80","7.80","7.75","7.80","394,700"
01/13/2025,"8.05","8.05","7.80","7.80","13,900"
01/10/2025,"8.06","8.06","8.06","8.06","1,600"
01/09/2025,"8.21","8.21","8.06","8.06","2,500"
01/08/2025,"8.09","8.23","8.09","8.10","5,500"
01/07/2025,"8.01","8.35","8.01","8.31","4,200"
01/06/2025,"8.00","8.40","8.00","8.40","169,500"
01/03/2025,"7.96","7.99","7.96","7.99","2,200"
01/02/2025,"7.90","7.91","7.90","7.91","6,300"
