Date,Open,High,Low,Close,Volume
12/27/2024,"26.80","27.20","26.70","27.15","2,662,100"
12/26/2024,"26.95","27.10","26.50","26.80","1,314,000"
12/23/2024,"27.15","27.35","26.70","26.95","841,400"
12/20/2024,"26.10","27.40","26.10","27.15","4,973,800"
12/19/2024,"25.85","26.30","25.35","26.30","4,900,100"
12/18/2024,"26.45","26.45","25.70","26.20","4,738,500"
12/17/2024,"26.50","26.50","25.90","26.50","5,116,600"
12/16/2024,"25.15","25.70","25.15","25.65","7,943,200"
12/13/2024,"24.40","25.30","24.20","25.00","7,784,800"
12/12/2024,"24.40","24.95","23.50","24.45","8,015,400"
12/11/2024,"23.25","24.85","23.25","24.20","12,711,700"
12/10/2024,"23.50","23.75","23.10","23.25","1,210,500"
12/09/2024,"23.00","23.70","23.00","23.45","1,159,800"
12/06/2024,"23.50","23.50","22.70","22.90","2,038,100"
12/05/2024,"23.00","23.65","22.55","23.50","2,506,200"
12/04/2024,"23.60","23.90","22.50","23.00","6,080,800"
12/03/2024,"23.35","23.75","23.10","23.60","7,379,600"
12/02/2024,"21.95","23.45","21.85","23.05","11,674,200"
11/29/2024,"20.95","21.90","20.85","21.80","9,915,300"
11/28/2024,"21.00","21.00","20.45","20.85","3,866,000"
11/27/2024,"20.45","21.05","20.40","20.80","5,182,300"
11/26/2024,"20.45","20.65","20.25","20.45","1,008,100"
11/25/2024,"20.25","20.55","20.00","20.45","2,866,700"
11/22/2024,"20.35","20.40","19.96","20.15","2,812,600"
11/21/2024,"20.00","20.40","19.82","20.20","1,409,100"
11/20/2024,"20.00","20.20","19.80","19.94","4,602,800"
11/19/2024,"20.80","20.80","19.92","19.94","4,146,400"
11/18/2024,"20.15","20.85","20.10","20.85","2,804,100"
11/15/2024,"19.76","20.00","19.70","19.98","1,435,500"
11/14/2024,"19.88","19.90","19.76","19.78","3,535,000"
11/13/2024,"19.92","20.00","19.74","19.92","3,200,600"
11/12/2024,"19.98","20.10","19.80","19.90","3,275,500"
11/11/2024,"20.45","20.45","19.94","19.96","1,762,800"
11/08/2024,"20.50","20.50","20.05","20.05","3,145,200"
11/07/2024,"20.95","20.95","19.92","20.60","5,966,700"
11/06/2024,"21.50","21.55","20.80","20.90","5,606,100"
11/05/2024,"20.80","21.65","20.80","21.25","7,281,300"
11/04/2024,"20.00","21.20","20.00","20.80","10,399,300"
10/31/2024,"19.98","20.30","19.92","20.10","4,628,000"
10/30/2024,"19.78","19.98","19.46","19.94","4,948,300"
10/29/2024,"20.20","20.35","19.80","19.80","2,229,800"
10/28/2024,"19.90","20.25","19.86","20.10","2,084,700"
