Date,Open,High,Low,Close,Volume
05/16/2025,"6.18","6.18","6.18","6.18","1,000"
05/15/2025,"5.98","6.18","5.93","6.18","34,800"
05/14/2025,"5.85","5.92","5.85","5.92","17,200"
05/13/2025,"5.80","5.90","5.80","5.90","76,400"
05/09/2025,"5.61","5.80","5.61","5.80","86,000"
05/08/2025,"5.61","5.79","5.61","5.79","2,000"
05/07/2025,"5.56","5.79","5.56","5.79","6,400"
05/06/2025,"5.50","5.79","5.50","5.79","300"
05/05/2025,"5.78","5.79","5.78","5.79","1,900"
05/02/2025,"5.77","5.77","5.76","5.77","2,300"
