Date,Open,High,Low,Close,Volume
2020-01-02,5.43,5.43,5.0,5.0,17200
2020-01-06,5.0,5.0,5.0,5.0,1300
2020-01-07,5.39,5.39,5.39,5.39,100
2020-01-10,5.38,5.38,5.38,5.38,2000
2020-01-14,5.39,5.39,5.39,5.39,1500
2020-01-16,5.11,5.11,5.11,5.11,4000
2020-01-17,5.38,5.38,5.34,5.34,3300
2020-01-20,5.3,5.3,4.57,5.1,65900
2020-01-22,5.0,5.0,4.99,5.0,11300
2020-01-23,5.1,5.1,4.66,4.74,7900
2020-01-24,5.2,5.7,5.0,5.37,11000
2020-01-27,4.84,4.85,4.8,4.85,7000
2020-01-30,5.29,5.29,5.29,5.29,1000
2020-02-03,5.23,5.24,5.22,5.24,17000
2020-02-05,4.66,5.19,4.66,5.19,2100
2020-02-10,5.29,5.29,5.29,5.29,100
2020-02-13,4.71,5.29,4.71,5.29,1100
2020-02-14,5.2,5.2,5.2,5.2,1000
2020-02-18,5.27,5.27,5.27,5.27,2100
2020-02-20,5.1,5.2,5.1,5.2,3700
2020-02-24,5.05,5.05,5.05,5.05,500
2020-02-26,4.71,4.71,4.65,4.65,9200
2020-03-11,5.09,5.09,5.09,5.09,3000
2020-03-13,2.56,4.98,2.56,4.98,1100
2020-03-20,4.95,4.95,4.95,4.95,1000
2020-03-24,4.94,4.94,4.94,4.94,2000
2020-03-31,4.9,4.9,4.9,4.9,2000
2020-04-08,4.94,4.94,4.94,4.94,1000
2020-04-16,3.5,3.5,3.5,3.5,75000
2020-04-17,4.01,4.01,4.0,4.0,5000
2020-04-28,4.3,4.3,4.3,4.3,2000
2020-04-30,4.3,4.3,3.81,4.3,8000
2020-05-04,3.83,3.83,3.83,3.83,4000
2020-05-08,4.02,4.02,4.02,4.02,1000
2020-05-11,4.94,4.94,4.89,4.9,8000
2020-05-12,4.9,4.9,4.89,4.89,6000
2020-05-13,4.89,4.89,4.8,4.8,2000
2020-05-15,4.75,4.75,4.75,4.75,7000
2020-05-18,4.7,4.7,3.96,4.55,9000
2020-05-21,4.55,4.6,4.0,4.6,94000
2020-05-27,4.6,4.6,4.6,4.6,5000
2020-05-28,4.0,4.0,4.0,4.0,2000
2020-05-29,4.5,4.5,4.5,4.5,2000
2020-06-04,4.05,4.05,4.05,4.05,1000
2020-06-05,4.13,4.13,4.13,4.13,1000
2020-06-09,4.21,4.28,4.21,4.28,11000
2020-06-15,3.97,3.97,3.97,3.97,6000
2020-06-17,4.01,4.01,4.01,4.01,4000
2020-06-18,4.1,4.1,4.1,4.1,8000
2020-06-19,4.2,4.2,4.2,4.2,1000
2020-06-30,4.01,4.01,4.01,4.01,6000
2020-07-02,4.05,4.05,4.05,4.05,2000
2020-07-06,4.5,6.07,4.5,6.07,259000
2020-07-07,6.97,6.98,5.14,5.24,546000
2020-07-08,4.74,5.2,4.72,4.72,146100
2020-07-09,4.73,4.73,4.47,4.5,35000
2020-07-10,4.51,5.1,4.51,4.89,95000
2020-07-13,4.99,4.99,4.41,4.86,67000
2020-07-14,4.44,4.46,4.43,4.43,18000
2020-07-15,4.42,4.57,4.41,4.56,17000
