Date,Open,High,Low,Close,Volume
05/16/2025,"49.95","50.15","49.50","49.90","174,700"
05/15/2025,"49.00","50.20","48.55","49.70","612,800"
05/14/2025,"49.05","49.15","48.50","49.00","207,500"
05/13/2025,"49.55","49.85","48.90","49.00","234,200"
05/09/2025,"49.00","50.00","48.50","49.75","509,100"
05/08/2025,"49.25","49.65","49.00","49.00","438,500"
05/07/2025,"48.05","49.80","48.05","49.70","360,700"
05/06/2025,"48.05","48.75","48.00","48.20","519,900"
05/05/2025,"47.25","48.50","47.25","48.05","345,800"
05/02/2025,"47.60","48.00","47.10","47.60","144,200"
