Date,Open,High,Low,Close,Volume
2020-01-03,4.88,4.89,4.86,4.86,61800
2020-01-06,4.99,4.99,4.84,4.85,46000
2020-01-07,4.88,4.9,4.84,4.85,150000
2020-01-08,4.84,4.94,4.84,4.84,1325000
2020-01-09,4.85,4.85,4.85,4.85,7000
2020-01-10,4.84,4.84,4.7,4.7,350000
2020-01-14,4.8,4.8,4.7,4.7,272000
2020-01-15,4.8,4.8,4.75,4.8,354000
2020-01-16,4.72,4.8,4.71,4.8,69000
2020-01-17,4.79,4.79,4.79,4.79,14000
2020-01-20,4.74,4.74,4.7,4.7,181000
2020-01-21,4.75,4.75,4.75,4.75,5000
2020-01-22,4.71,4.71,4.7,4.7,196000
2020-01-24,4.71,4.71,4.7,4.7,22000
2020-01-27,4.7,4.74,4.7,4.74,40000
2020-01-28,4.71,4.71,4.71,4.71,9000
2020-01-29,4.71,4.71,4.71,4.71,1000
2020-01-30,4.96,4.98,4.82,4.82,17000
2020-01-31,4.75,4.75,4.7,4.7,160000
2020-02-03,4.71,4.71,4.7,4.7,15000
2020-02-06,4.7,4.75,4.7,4.71,22000
2020-02-07,4.9,4.9,4.71,4.71,16000
2020-02-10,4.71,4.71,4.71,4.71,10000
2020-02-11,4.71,4.71,4.71,4.71,30000
2020-02-12,4.71,5.26,4.71,4.72,8253000
2020-02-13,4.72,4.72,4.71,4.71,62000
2020-02-14,4.73,4.73,4.73,4.73,4000
2020-02-18,4.8,4.8,4.74,4.8,32000
2020-02-20,4.8,4.82,4.8,4.8,61000
2020-02-21,4.8,4.85,4.8,4.8,190000
2020-02-24,4.81,4.81,4.8,4.8,1060000
2020-02-26,4.8,4.8,4.8,4.8,2000
2020-02-27,4.8,4.99,4.8,4.99,2000
2020-02-28,4.76,4.76,4.73,4.73,4000
2020-03-02,4.73,4.73,4.7,4.7,1108000
2020-03-03,4.88,4.88,4.88,4.88,2000
2020-03-04,4.85,4.85,4.85,4.85,1000
2020-03-06,4.75,4.75,4.75,4.75,150000
2020-03-09,4.62,4.62,4.5,4.5,387000
2020-03-11,4.5,4.5,4.5,4.5,684000
2020-03-12,4.3,4.49,4.2,4.2,497000
2020-03-13,3.8,4.0,3.8,3.9,27000
2020-03-16,3.9,3.9,3.9,3.9,15000
2020-03-20,3.82,3.82,3.82,3.82,2000
2020-03-23,3.85,3.85,3.82,3.82,27000
2020-03-25,3.9,4.0,3.9,4.0,10000
2020-03-26,3.9,4.1,3.9,4.1,4000
2020-03-30,4.09,4.1,4.09,4.1,6000
2020-03-31,4.1,4.1,4.1,4.1,6000
2020-04-01,4.28,4.3,4.28,4.3,14000
2020-04-02,4.3,4.3,4.3,4.3,12000
2020-04-06,4.38,4.4,4.38,4.4,130000
2020-04-07,4.4,4.5,4.38,4.5,37000
2020-04-14,4.77,4.77,4.6,4.6,3000
2020-04-15,4.77,4.77,4.6,4.6,27000
2020-04-16,4.23,4.23,4.23,4.23,1000
2020-04-17,4.23,4.23,4.23,4.23,10000
2020-04-21,4.24,4.24,4.03,4.22,85000
2020-04-22,4.24,4.24,4.04,4.04,46000
2020-04-23,4.22,4.23,4.19,4.2,174000
2020-04-27,4.2,4.2,4.2,4.2,770000
2020-04-28,4.2,4.21,4.2,4.21,6000
2020-04-29,4.21,4.21,4.2,4.2,297000
2020-05-04,4.23,4.23,4.23,4.23,14000
2020-05-05,4.23,4.24,4.2,4.2,37000
2020-05-06,4.21,4.21,4.21,4.21,1000
2020-05-07,4.2,4.2,4.2,4.2,107000
2020-05-13,4.41,4.41,4.23,4.23,27000
2020-05-14,4.23,4.36,4.22,4.22,25000
2020-05-18,4.59,4.59,4.3,4.5,9000
2020-05-22,4.5,4.5,4.3,4.3,23000
2020-05-26,4.3,4.3,4.3,4.3,2000
2020-05-27,4.3,4.3,4.29,4.3,4956000
2020-05-28,4.4,4.4,4.3,4.3,285000
2020-05-29,4.32,4.32,4.3,4.3,144000
2020-06-01,4.4,4.4,4.3,4.4,5039000
2020-06-02,4.38,4.38,4.3,4.3,2798000
2020-06-03,4.33,4.33,4.3,4.3,287000
2020-06-04,4.37,4.37,4.3,4.35,1044000
2020-06-05,4.3,4.39,4.3,4.39,1010000
2020-06-08,4.39,4.4,4.27,4.3,2496000
2020-06-09,4.3,4.3,4.26,4.28,29000
2020-06-11,4.34,4.34,4.3,4.3,7000
2020-06-15,4.25,4.25,4.2,4.2,115000
2020-06-16,4.22,4.22,4.21,4.21,15000
