Date,Open,High,Low,Close,Volume
12/29/2022,"7.89","7.89","7.89","7.89","10,000"
12/27/2022,"6.59","7.89","6.59","7.89","28,700"
12/23/2022,"6.30","7.39","6.30","7.00","4,500"
12/22/2022,"5.50","5.50","5.50","5.50","5,000"
12/20/2022,"4.80","4.80","4.80","4.80","11,000"
12/02/2022,"4.80","4.80","4.80","4.80","1,000"
10/05/2022,"4.80","4.80","4.80","4.80","10,000"
09/05/2022,"4.80","4.80","4.80","4.80","20,000"
08/30/2022,"4.80","4.80","4.80","4.80","10,000"
08/09/2022,"4.80","4.80","4.80","4.80","1,000"
08/08/2022,"4.80","4.80","4.80","4.80","19,000"
07/12/2022,"4.80","4.80","4.80","4.80","24,000"
06/23/2022,"4.80","4.80","4.80","4.80","96,000"
06/20/2022,"4.80","4.80","4.80","4.80","5,000"
06/06/2022,"4.80","4.80","4.80","4.80","1,000"
05/19/2022,"4.80","4.80","4.80","4.80","100,000"
05/11/2022,"4.80","4.80","4.80","4.80","100"
04/28/2022,"5.10","5.10","5.00","5.00","50,000"
04/21/2022,"5.25","5.25","5.25","5.25","20,300"
04/07/2022,"5.00","5.00","5.00","5.00","100,000"
04/06/2022,"5.01","5.01","5.00","5.00","120,000"
03/30/2022,"5.00","5.00","5.00","5.00","110,000"
03/29/2022,"5.10","5.10","5.10","5.10","1,800"
03/28/2022,"5.10","5.10","5.10","5.10","19,000"
03/24/2022,"5.10","5.10","5.10","5.10","21,000"
03/21/2022,"5.10","5.10","5.10","5.10","21,600"
03/18/2022,"5.10","5.10","5.10","5.10","19,000"
03/17/2022,"5.10","5.10","5.10","5.10","20,000"
02/28/2022,"5.10","5.10","5.10","5.10","70,000"
02/24/2022,"5.40","5.40","5.10","5.10","22,200"
02/18/2022,"5.20","5.20","5.20","5.20","60,700"
02/16/2022,"5.20","5.20","5.20","5.20","130,000"
02/14/2022,"5.25","5.25","5.25","5.25","50,000"
02/11/2022,"5.25","5.25","5.25","5.25","200,000"
02/10/2022,"5.31","5.31","5.25","5.25","54,200"
02/09/2022,"5.50","5.50","5.50","5.50","5,200"
02/08/2022,"5.20","5.20","5.20","5.20","100"
02/07/2022,"5.25","5.25","5.25","5.25","101,500"
02/04/2022,"5.25","5.25","5.25","5.25","54,000"
02/02/2022,"5.60","5.60","5.60","5.60","39,200"
01/26/2022,"5.60","5.60","5.60","5.60","190,000"
01/25/2022,"5.60","5.60","5.60","5.60","120,000"
01/24/2022,"5.65","5.65","5.60","5.65","141,100"
01/21/2022,"5.65","5.65","5.65","5.65","50,000"
01/20/2022,"5.65","5.65","5.65","5.65","50,000"
01/19/2022,"5.65","5.65","5.65","5.65","150,000"
01/18/2022,"5.65","5.65","5.65","5.65","100,000"
01/17/2022,"5.75","5.75","5.65","5.65","100,200"
01/14/2022,"5.65","5.65","5.65","5.65","81,500"
01/13/2022,"5.70","5.75","5.70","5.70","100,000"
01/12/2022,"5.71","5.75","5.70","5.75","125,000"
01/11/2022,"5.75","5.75","5.75","5.75","110,000"
01/10/2022,"5.75","5.75","5.75","5.75","20,000"
01/03/2022,"7.79","7.79","6.63","6.63","1,000"
