Date,Open,High,Low,Close,Volume
05/16/2025,"2.400","2.400","2.370","2.380","280,000"
05/15/2025,"2.400","2.440","2.320","2.400","73,000"
05/14/2025,"2.450","2.450","2.310","2.310","62,000"
05/13/2025,"2.410","2.450","2.400","2.450","72,000"
05/09/2025,"2.440","2.440","2.400","2.410","127,000"
05/08/2025,"2.420","2.450","2.400","2.440","47,000"
05/07/2025,"2.440","2.450","2.400","2.420","51,000"
05/06/2025,"2.420","2.450","2.280","2.420","113,000"
05/05/2025,"2.420","2.450","2.420","2.420","131,000"
05/02/2025,"2.400","2.400","2.320","2.400","177,000"
