Date,Open,High,Low,Close,Volume
2022-12-15,1.47,1.6,1.37,1.6,45606000
2022-12-16,1.5,1.7,1.5,1.7,8377000
2022-12-19,1.7,1.7,1.64,1.67,6391000
2022-12-20,1.65,1.69,1.58,1.63,1692000
2022-12-21,1.58,1.63,1.54,1.59,1976000
2022-12-22,1.58,1.59,1.52,1.58,1010000
2022-12-23,1.58,1.58,1.53,1.55,701000
2022-12-27,1.55,1.59,1.53,1.53,848000
2022-12-28,1.53,1.6,1.53,1.6,452000
2022-12-29,1.6,1.6,1.55,1.6,843000
2023-01-03,1.6,1.6,1.57,1.6,382000
2023-01-04,1.6,1.62,1.57,1.6,788000
2023-01-05,1.6,1.6,1.56,1.58,353000
2023-01-06,1.57,1.6,1.55,1.59,53000
2023-01-09,1.58,1.59,1.57,1.59,166000
2023-01-10,1.59,1.59,1.56,1.59,170000
2023-01-11,1.59,1.59,1.55,1.59,207000
2023-01-12,1.59,1.6,1.56,1.6,147000
2023-01-13,1.6,1.6,1.58,1.59,346000
2023-01-16,1.6,1.6,1.58,1.59,378000
2023-01-17,1.6,1.6,1.57,1.59,330000
2023-01-18,1.59,1.59,1.57,1.59,129000
2023-01-19,1.57,1.58,1.48,1.54,1582000
2023-01-20,1.57,1.57,1.5,1.5,713000
2023-01-23,1.5,1.54,1.48,1.54,420000
2023-01-24,1.54,1.54,1.52,1.53,52000
2023-01-25,1.52,1.53,1.51,1.53,233000
2023-01-26,1.53,1.53,1.52,1.53,30000
2023-01-27,1.54,1.54,1.53,1.54,110000
2023-01-30,1.54,1.54,1.52,1.52,340000
2023-01-31,1.52,1.52,1.5,1.5,228000
2023-02-01,1.52,1.52,1.51,1.52,33000
2023-02-02,1.52,1.53,1.51,1.52,200000
2023-02-03,1.54,1.54,1.52,1.52,304000
2023-02-06,1.51,1.54,1.51,1.54,95000
2023-02-07,1.53,1.53,1.51,1.53,53000
2023-02-08,1.53,1.54,1.53,1.53,103000
2023-02-09,1.54,1.54,1.53,1.53,96000
2023-02-10,1.54,1.54,1.53,1.53,175000
2023-02-13,1.53,1.54,1.51,1.53,483000
2023-02-14,1.53,1.54,1.52,1.53,268000
2023-02-15,1.52,1.55,1.52,1.53,119000
2023-02-16,1.53,1.54,1.52,1.54,415000
2023-02-17,1.53,1.53,1.52,1.53,105000
2023-02-20,1.53,1.53,1.52,1.53,95000
2023-02-21,1.52,1.53,1.51,1.53,228000
2023-02-22,1.54,1.54,1.51,1.53,59000
2023-02-23,1.53,1.53,1.5,1.53,140000
2023-02-27,1.51,1.53,1.51,1.52,28000
2023-02-28,1.52,1.52,1.51,1.52,19000
2023-03-01,1.52,1.52,1.51,1.52,43000
2023-03-02,1.5,1.52,1.5,1.52,34000
2023-03-03,1.51,1.52,1.5,1.52,69000
2023-03-06,1.52,1.52,1.52,1.52,63000
2023-03-07,1.52,1.52,1.51,1.52,69000
2023-03-08,1.52,1.52,1.5,1.52,56000
2023-03-09,1.51,1.51,1.5,1.51,18000
2023-03-10,1.51,1.51,1.51,1.51,22000
2023-03-13,1.5,1.51,1.49,1.5,136000
2023-03-14,1.48,1.49,1.47,1.49,113000
2023-03-15,1.49,1.5,1.49,1.5,16000
2023-03-16,1.48,1.5,1.47,1.5,112000
2023-03-17,1.5,1.5,1.49,1.5,195000
2023-03-20,1.5,1.52,1.48,1.51,46000
2023-03-21,1.5,1.5,1.5,1.5,75000
2023-03-22,1.48,1.5,1.48,1.5,19000
2023-03-23,1.5,1.5,1.49,1.5,25000
2023-03-24,1.48,1.5,1.48,1.5,46000
2023-03-27,1.49,1.5,1.48,1.5,37000
2023-03-28,1.5,1.5,1.49,1.5,17000
2023-03-29,1.5,1.5,1.49,1.5,70000
2023-03-30,1.5,1.5,1.5,1.5,19000
2023-03-31,1.48,1.5,1.48,1.5,36000
2023-04-03,1.5,1.5,1.49,1.5,81000
2023-04-04,1.5,1.5,1.49,1.5,58000
2023-04-05,1.49,1.5,1.49,1.5,34000
2023-04-11,1.49,1.5,1.49,1.5,32000
2023-04-12,1.49,1.5,1.49,1.5,112000
2023-04-13,1.49,1.5,1.49,1.5,122000
2023-04-14,1.49,1.5,1.48,1.5,129000
2023-04-17,1.49,1.5,1.49,1.5,67000
2023-04-18,1.48,1.5,1.48,1.5,30000
2023-04-19,1.5,1.5,1.48,1.48,66941000
2023-04-20,1.45,1.5,1.45,1.5,83000
2023-04-24,1.5,1.5,1.49,1.5,130000
2023-04-25,1.48,1.5,1.47,1.47,101000
2023-04-26,1.49,1.5,1.48,1.5,94000
2023-04-27,1.5,1.5,1.48,1.5,104000
2023-04-28,1.49,1.53,1.49,1.53,1802000
2023-05-02,1.54,1.6,1.54,1.58,1851000
2023-05-03,1.6,1.62,1.58,1.62,1344000
2023-05-04,1.63,1.67,1.62,1.62,760000
2023-05-05,1.62,1.63,1.61,1.61,1076000
2023-05-08,1.61,1.66,1.61,1.64,865000
2023-05-09,1.59,1.59,1.5,1.58,462000
2023-05-10,1.58,1.58,1.5,1.58,302000
2023-05-11,1.52,1.55,1.5,1.5,356000
2023-05-12,1.52,1.53,1.49,1.49,301000
2023-05-15,1.5,1.54,1.49,1.54,242000
2023-05-16,1.54,1.54,1.5,1.53,30000
2023-05-17,1.53,1.53,1.5,1.52,23000
2023-05-18,1.52,1.54,1.5,1.54,130000
2023-05-19,1.53,1.53,1.5,1.53,71000
2023-05-22,1.5,1.53,1.49,1.52,232000
2023-05-23,1.5,1.5,1.5,1.5,328000
2023-05-24,1.5,1.52,1.5,1.5,247000
2023-05-25,1.55,1.55,1.51,1.51,137000
2023-05-26,1.54,1.54,1.54,1.54,8000
2023-05-29,1.51,1.54,1.51,1.52,355000
2023-05-30,1.53,1.54,1.52,1.54,245000
2023-05-31,1.54,1.54,1.5,1.54,313000
2023-06-01,1.54,1.54,1.51,1.54,331000
2023-06-02,1.54,1.54,1.51,1.51,352000
2023-06-05,1.54,1.54,1.54,1.54,28000
2023-06-06,1.54,1.54,1.51,1.51,35000
2023-06-07,1.51,1.52,1.51,1.52,270000
2023-06-08,1.51,1.54,1.5,1.51,328000
2023-06-09,1.51,1.51,1.5,1.5,305000
2023-06-13,1.5,1.54,1.5,1.54,154000
2023-06-14,1.51,1.54,1.51,1.54,67000
2023-06-15,1.52,1.54,1.52,1.54,411000
2023-06-16,1.54,1.54,1.5,1.5,305000
2023-06-19,1.5,1.54,1.5,1.54,21000
2023-06-20,1.53,1.54,1.5,1.54,360000
2023-06-21,1.51,1.53,1.51,1.52,76000
2023-06-22,1.53,1.53,1.5,1.51,274000
2023-06-23,1.52,1.54,1.52,1.54,60000
2023-06-26,1.58,1.58,1.55,1.55,57000
2023-06-27,1.55,1.55,1.5,1.55,48000
2023-06-29,1.56,1.56,1.52,1.55,168000
2023-06-30,1.56,1.56,1.55,1.55,75000
2023-07-03,1.56,1.57,1.56,1.56,192000
2023-07-04,1.54,1.54,1.52,1.53,150000
2023-07-05,1.54,1.54,1.54,1.54,4000
2023-07-06,1.52,1.53,1.51,1.53,108000
2023-07-07,1.52,1.53,1.51,1.53,20000
2023-07-10,1.51,1.54,1.51,1.54,17000
2023-07-11,1.54,1.54,1.52,1.54,22000
2023-07-12,1.53,1.53,1.5,1.5,100000
2023-07-13,1.51,1.54,1.51,1.54,25000
2023-07-14,1.55,1.55,1.54,1.54,32000
2023-07-17,1.54,1.56,1.54,1.56,124000
2023-07-18,1.56,1.56,1.56,1.56,61000
