Date,Open,High,Low,Close,Volume
04/30/2025,"1,006.00","1,006.00","1,006.00","1,006.00","5"
04/29/2025,"1,005.00","1,006.00","1,005.00","1,006.00","80"
04/28/2025,"1,006.00","1,006.00","1,005.00","1,005.00","150"
04/24/2025,"1,020.00","1,020.00","1,020.00","1,020.00","30"
04/23/2025,"1,008.00","1,008.00","1,008.00","1,008.00","50"
04/22/2025,"1,007.00","1,008.00","1,007.00","1,008.00","110"
04/21/2025,"1,008.00","1,008.00","1,005.00","1,005.00","1,030"
04/16/2025,"1,005.00","1,008.00","1,005.00","1,008.00","95"
04/15/2025,"1,008.00","1,008.00","1,008.00","1,008.00","5"
04/14/2025,"1,008.00","1,008.00","1,008.00","1,008.00","100"
04/10/2025,"1,008.00","1,008.00","1,008.00","1,008.00","50"
04/08/2025,"1,008.00","1,008.00","1,008.00","1,008.00","500"
04/07/2025,"1,040.00","1,040.00","1,008.00","1,008.00","110"
04/04/2025,"1,010.00","1,010.00","1,010.00","1,010.00","160"
04/03/2025,"1,012.00","1,012.00","1,010.00","1,010.00","65"
04/02/2025,"1,010.00","1,045.00","1,010.00","1,045.00","60"
03/28/2025,"1,020.00","1,020.00","1,020.00","1,020.00","6,200"
03/27/2025,"1,010.00","1,010.00","1,010.00","1,010.00","5"
03/26/2025,"1,045.00","1,045.00","1,020.00","1,020.00","5,115"
03/25/2025,"1,020.00","1,020.00","1,020.00","1,020.00","50"
03/18/2025,"1,020.00","1,020.00","1,020.00","1,020.00","50"
03/17/2025,"1,044.00","1,045.00","1,005.00","1,005.00","205"
03/12/2025,"1,055.00","1,055.00","1,054.00","1,055.00","145"
03/11/2025,"1,015.00","1,015.00","1,015.00","1,015.00","10"
03/10/2025,"1,012.00","1,012.00","1,010.00","1,010.00","2,000"
03/07/2025,"1,012.00","1,012.00","1,012.00","1,012.00","15"
03/05/2025,"1,012.00","1,012.00","1,012.00","1,012.00","50"
02/26/2025,"1,011.00","1,011.00","1,011.00","1,011.00","20"
02/25/2025,"1,012.00","1,012.00","1,011.00","1,011.00","760"
02/17/2025,"1,013.00","1,013.00","1,013.00","1,013.00","200"
02/13/2025,"1,013.00","1,013.00","1,013.00","1,013.00","90"
02/04/2025,"1,012.00","1,012.00","1,011.00","1,011.00","670"
02/03/2025,"1,016.00","1,016.00","1,010.00","1,010.00","100"
01/22/2025,"1,057.00","1,057.00","1,057.00","1,057.00","95"
01/20/2025,"1,021.00","1,021.00","1,021.00","1,021.00","250"
01/17/2025,"1,056.00","1,056.00","1,015.00","1,016.00","1,685"
01/16/2025,"1,058.00","1,058.00","1,058.00","1,058.00","95"
01/15/2025,"1,005.00","1,005.00","1,005.00","1,005.00","40"
01/14/2025,"1,058.00","1,058.00","1,058.00","1,058.00","5"
01/10/2025,"1,015.00","1,015.00","1,015.00","1,015.00","50"
01/08/2025,"1,010.00","1,010.00","1,010.00","1,010.00","50"
01/06/2025,"1,050.00","1,050.00","1,050.00","1,050.00","200"
01/03/2025,"1,045.00","1,060.00","1,045.00","1,060.00","470"
