Date,Open,High,Low,Close,Volume
12/31/2021,"215.80","215.80","215.00","215.00","310"
12/29/2021,"210.00","215.80","210.00","215.80","170"
12/28/2021,"215.80","215.80","210.00","210.00","1,940"
12/27/2021,"212.00","215.80","211.40","215.80","70"
12/24/2021,"211.20","211.20","211.20","211.20","10"
12/23/2021,"216.00","216.00","216.00","216.00","200"
12/22/2021,"215.00","215.20","211.20","211.20","860"
12/21/2021,"216.00","216.00","216.00","216.00","570"
12/20/2021,"212.80","216.60","212.80","216.00","220"
12/17/2021,"216.00","216.80","216.00","216.60","320"
12/16/2021,"213.60","216.00","213.60","216.00","630"
12/15/2021,"213.40","213.60","213.00","213.40","2,150"
12/14/2021,"213.60","213.60","213.40","213.40","160"
12/13/2021,"213.40","213.40","213.00","213.00","80"
12/10/2021,"213.40","213.60","210.00","213.40","12,230"
12/09/2021,"205.00","206.00","204.00","204.00","1,410"
12/07/2021,"207.00","207.00","205.00","205.00","2,050"
12/06/2021,"207.00","207.00","205.00","207.00","1,880"
12/03/2021,"209.00","209.00","207.00","207.00","1,480"
12/02/2021,"206.00","209.00","206.00","209.00","250"
12/01/2021,"213.00","213.00","206.00","206.00","2,700"
11/29/2021,"213.60","213.60","209.00","213.00","430"
11/26/2021,"217.80","217.80","214.00","214.00","170"
11/25/2021,"210.20","210.20","209.00","209.00","7,540"
11/24/2021,"219.00","220.00","218.00","219.00","800"
11/23/2021,"209.00","218.60","208.00","218.60","2,650"
11/22/2021,"213.00","213.00","209.00","209.00","5,920"
11/19/2021,"218.00","218.00","210.00","210.00","450"
11/18/2021,"219.00","219.00","218.00","218.00","830"
11/17/2021,"220.00","220.00","209.40","219.00","6,670"
11/16/2021,"221.00","223.00","219.60","220.00","810"
11/15/2021,"219.80","222.00","219.80","222.00","2,310"
11/12/2021,"219.80","219.80","218.00","219.00","250"
11/11/2021,"214.00","219.80","214.00","219.80","200"
11/10/2021,"220.00","220.00","210.00","214.00","10,850"
11/09/2021,"224.80","224.80","219.60","220.00","7,590"
11/08/2021,"219.00","224.80","219.00","224.80","440"
11/05/2021,"219.40","220.00","219.00","220.00","1,180"
11/04/2021,"219.60","219.60","219.40","219.40","830"
11/03/2021,"230.00","230.00","219.20","219.60","770"
10/29/2021,"220.00","220.00","219.20","220.00","630"
10/28/2021,"220.40","220.40","220.00","220.00","1,100"
10/27/2021,"230.00","230.00","220.20","220.20","120"
10/26/2021,"224.00","230.00","224.00","230.00","17,800"
10/25/2021,"224.00","224.00","223.80","223.80","400"
10/22/2021,"219.80","225.00","219.00","225.00","2,020"
10/21/2021,"219.40","219.60","219.40","219.60","1,020"
10/20/2021,"225.00","225.00","225.00","225.00","1,520"
10/19/2021,"226.80","226.80","226.80","226.80","910"
10/18/2021,"228.80","228.80","227.80","227.80","40"
10/15/2021,"229.00","229.00","229.00","229.00","40"
10/14/2021,"230.00","230.00","219.00","230.00","710"
10/13/2021,"217.00","230.00","217.00","230.00","24,960"
10/12/2021,"219.00","219.00","217.00","217.00","5,540"
10/11/2021,"222.80","222.80","219.00","219.00","3,160"
10/08/2021,"224.80","224.80","219.00","223.80","430"
10/07/2021,"218.20","224.00","218.20","224.00","3,800"
10/06/2021,"228.00","228.00","220.00","227.00","7,210"
10/05/2021,"219.80","228.60","215.00","228.20","2,000"
10/04/2021,"229.00","229.00","220.00","228.80","1,510"
10/01/2021,"225.00","230.00","225.00","229.00","8,620"
09/30/2021,"219.80","229.80","215.00","225.00","1,640"
09/29/2021,"227.00","227.00","208.00","219.80","9,970"
09/28/2021,"225.20","230.00","225.00","228.00","550"
09/27/2021,"225.00","234.00","225.00","225.20","200"
09/24/2021,"230.00","233.80","230.00","233.80","390"
09/23/2021,"224.20","229.00","224.20","229.00","710"
