Date,Open,High,Low,Close,Volume
2020-01-02,177.8,177.8,175.0,175.0,1020
2020-01-03,175.0,175.0,175.0,175.0,280
2020-01-06,175.0,175.0,173.0,173.0,10130
2020-01-07,173.0,173.0,173.0,173.0,60
2020-01-08,175.0,175.0,175.0,175.0,10990
2020-01-09,175.0,175.0,175.0,175.0,2230
2020-01-10,175.0,175.0,175.0,175.0,280
2020-01-14,175.0,175.0,173.5,173.5,200
2020-01-15,178.0,178.0,174.0,177.8,420
2020-01-16,172.5,173.1,172.5,173.0,2440
2020-01-17,173.5,173.5,173.5,173.5,100
2020-01-20,175.0,175.0,173.5,173.5,320
2020-01-21,173.5,173.5,173.5,173.5,320
2020-01-22,174.0,179.0,174.0,178.0,10270
2020-01-23,179.0,179.0,170.0,172.0,4870
2020-01-24,173.0,173.0,170.0,172.0,3500
2020-01-27,172.0,172.0,170.0,170.2,100
2020-01-28,178.8,178.8,170.3,170.5,640
2020-01-29,178.0,178.0,177.0,177.0,50
2020-01-30,176.9,176.9,175.0,175.0,150
2020-01-31,176.9,178.8,170.0,177.9,1300
2020-02-04,176.0,177.9,176.0,176.0,450
2020-02-05,176.0,176.0,176.0,176.0,30
2020-02-06,176.0,177.0,176.0,176.0,310
2020-02-07,176.0,176.0,176.0,176.0,200
2020-02-10,177.0,177.0,172.0,172.0,2530
2020-02-11,172.0,173.8,171.6,172.0,940
2020-02-12,176.9,176.9,176.0,176.0,20
2020-02-14,176.0,176.0,176.0,176.0,180
2020-02-17,176.0,179.5,173.0,178.8,8710
2020-02-18,178.7,179.3,177.7,177.7,120
2020-02-19,173.2,173.2,173.0,173.0,20
2020-02-20,178.9,179.0,176.0,177.0,250
2020-02-21,177.0,177.0,176.0,176.0,70
2020-02-24,173.0,173.0,173.0,173.0,470
2020-02-26,175.0,175.0,172.7,172.7,150
2020-02-27,172.7,173.0,172.1,173.0,400
2020-02-28,172.1,172.1,171.9,171.9,190
2020-03-02,172.0,172.0,167.1,167.3,1030
2020-03-03,167.4,167.4,160.0,160.0,5890
2020-03-04,160.1,160.1,155.0,155.0,5220
2020-03-05,155.0,165.0,152.9,153.1,5200
2020-03-06,153.1,167.0,153.1,167.0,8990
2020-03-09,170.0,170.0,148.0,148.0,6840
2020-03-10,148.0,153.0,148.0,153.0,1990
2020-03-11,150.0,153.0,150.0,150.3,590
2020-03-12,152.5,152.5,149.5,149.5,22870
2020-03-13,149.0,149.0,147.0,148.0,2110
2020-03-16,150.0,150.0,149.0,149.0,260
2020-03-19,148.0,149.0,145.8,148.5,470
2020-03-20,145.8,148.5,132.0,132.1,2300
2020-03-23,133.0,145.0,133.0,145.0,420
2020-03-24,149.5,164.0,149.5,150.1,7170
2020-03-25,155.1,179.0,155.1,156.5,6470
2020-03-26,179.0,179.0,155.1,172.0,810
2020-03-27,176.0,176.9,171.0,172.0,2870
2020-03-30,170.0,170.0,157.1,168.9,2790
2020-03-31,167.0,168.8,165.0,168.8,500
2020-04-01,168.7,168.8,157.0,168.0,90
2020-04-02,168.0,168.0,168.0,168.0,20
2020-04-03,168.0,169.5,168.0,169.5,120
2020-04-06,169.5,170.0,167.5,167.5,420
2020-04-07,170.0,170.0,169.0,169.5,1680
2020-04-08,169.5,169.5,169.0,169.3,430
2020-04-13,169.3,169.5,169.0,169.0,110
2020-04-14,170.0,170.0,160.0,162.1,1320
2020-04-15,162.2,169.9,162.1,169.2,840
2020-04-16,169.0,169.0,162.0,165.0,570
2020-04-17,162.2,163.0,162.2,163.0,100
2020-04-20,163.1,169.0,163.1,165.0,170
2020-04-21,163.0,165.0,162.2,163.0,1220
2020-04-22,163.0,168.9,163.0,168.8,370
2020-04-23,163.0,163.0,162.0,162.5,120
2020-04-24,162.5,163.0,162.5,163.0,350
