Date,Open,High,Low,Close,Volume
05/16/2025,"5.65","5.95","5.64","5.93","3,024,600"
05/15/2025,"5.80","5.85","5.61","5.65","8,349,800"
05/14/2025,"5.96","5.99","5.87","5.90","3,238,900"
05/13/2025,"6.12","6.12","5.80","5.99","6,962,100"
05/09/2025,"6.35","6.40","6.17","6.22","5,281,900"
05/08/2025,"6.56","6.62","6.35","6.35","4,574,800"
05/07/2025,"6.61","6.87","6.47","6.57","3,719,600"
05/06/2025,"6.42","6.56","6.40","6.52","4,436,900"
05/05/2025,"6.42","6.42","6.11","6.17","10,104,000"
05/02/2025,"6.62","6.63","6.36","6.42","5,678,000"
