Date,Open,High,Low,Close,Volume
12/31/2021,"6.060","6.150","6.060","6.150","172,000"
12/29/2021,"6.050","6.080","6.030","6.060","153,600"
12/28/2021,"6.000","6.130","5.970","6.120","58,100"
12/27/2021,"5.990","6.050","5.970","5.990","68,000"
12/24/2021,"6.000","6.000","5.990","5.990","71,900"
12/23/2021,"6.060","6.060","5.970","5.970","308,600"
12/22/2021,"6.050","6.090","5.970","6.090","60,600"
12/21/2021,"6.010","6.100","6.000","6.010","50,000"
12/20/2021,"6.190","6.190","6.000","6.010","28,200"
12/17/2021,"6.000","6.200","5.960","6.180","43,500"
12/16/2021,"6.050","6.090","5.960","5.960","105,200"
12/15/2021,"6.100","6.200","5.950","5.950","358,300"
12/14/2021,"6.250","6.250","6.100","6.220","187,500"
12/13/2021,"6.310","6.320","6.260","6.270","161,300"
12/10/2021,"6.330","6.400","6.300","6.350","251,600"
12/09/2021,"6.340","6.350","6.160","6.340","170,700"
12/07/2021,"6.380","6.390","6.250","6.340","307,600"
12/06/2021,"6.140","6.310","6.140","6.300","247,800"
12/03/2021,"6.040","6.200","6.000","6.140","80,000"
12/02/2021,"5.880","6.000","5.850","6.000","324,700"
12/01/2021,"5.890","6.080","5.850","5.880","139,500"
11/29/2021,"6.050","6.050","5.840","5.950","450,200"
11/26/2021,"6.180","6.200","6.030","6.050","119,400"
11/25/2021,"6.020","6.180","6.020","6.120","111,400"
11/24/2021,"6.100","6.120","6.000","6.020","1,602,200"
11/23/2021,"6.200","6.200","6.100","6.100","780,600"
11/22/2021,"6.190","6.260","6.180","6.260","147,700"
11/19/2021,"6.460","6.460","6.180","6.190","249,100"
11/18/2021,"6.500","6.540","6.300","6.460","336,200"
11/17/2021,"6.180","6.520","6.180","6.500","633,900"
11/16/2021,"6.220","6.250","6.100","6.170","859,200"
11/15/2021,"6.270","6.360","6.190","6.200","302,600"
11/12/2021,"6.250","6.300","6.170","6.200","153,700"
11/11/2021,"6.270","6.290","6.210","6.270","149,700"
11/10/2021,"6.230","6.340","6.130","6.230","319,300"
11/09/2021,"6.300","6.300","6.230","6.300","131,200"
11/08/2021,"6.350","6.360","6.210","6.340","128,600"
11/05/2021,"6.210","6.340","6.170","6.340","267,700"
11/04/2021,"6.220","6.290","6.200","6.200","235,100"
11/03/2021,"6.600","6.600","6.210","6.300","1,095,600"
11/02/2021,"6.610","6.610","6.410","6.600","171,600"
10/29/2021,"6.440","6.940","6.420","6.610","438,400"
10/28/2021,"6.380","6.500","6.380","6.440","139,700"
10/27/2021,"6.520","6.520","6.350","6.380","421,400"
10/26/2021,"6.570","6.680","6.510","6.510","392,400"
10/25/2021,"6.830","7.080","6.550","6.570","619,900"
10/22/2021,"7.080","7.370","6.710","6.820","2,329,200"
10/21/2021,"6.590","7.150","6.590","7.150","2,085,600"
10/20/2021,"6.500","6.550","6.420","6.550","431,000"
10/19/2021,"6.400","6.550","6.370","6.480","539,300"
10/18/2021,"6.610","6.790","6.300","6.380","773,000"
10/15/2021,"6.380","6.520","6.380","6.500","640,000"
10/14/2021,"6.250","6.380","6.200","6.380","451,900"
10/13/2021,"6.210","6.210","6.130","6.200","492,700"
10/12/2021,"6.130","6.280","6.120","6.120","666,100"
10/11/2021,"6.370","6.430","6.060","6.120","718,200"
10/08/2021,"6.480","6.480","6.310","6.370","131,200"
10/07/2021,"6.500","6.590","6.350","6.360","601,600"
10/06/2021,"6.250","6.750","6.200","6.500","579,500"
10/05/2021,"6.090","6.250","6.090","6.230","529,100"
10/04/2021,"6.200","6.350","6.080","6.090","850,800"
10/01/2021,"6.150","6.300","6.110","6.280","121,000"
09/30/2021,"6.090","6.150","6.090","6.150","168,200"
09/29/2021,"6.290","6.290","6.070","6.180","343,300"
09/28/2021,"6.280","6.300","6.150","6.160","254,800"
09/27/2021,"6.350","6.380","6.280","6.280","151,300"
09/24/2021,"6.300","6.470","6.300","6.380","350,000"
09/23/2021,"6.300","6.400","6.250","6.280","207,200"
09/22/2021,"6.150","6.400","6.080","6.300","551,300"
09/21/2021,"6.140","6.190","6.050","6.150","217,900"
09/20/2021,"6.100","6.250","6.060","6.140","520,200"
09/17/2021,"6.210","6.450","6.060","6.060","824,000"
09/16/2021,"6.400","6.400","6.200","6.210","845,800"
09/15/2021,"6.500","6.590","6.360","6.400","374,300"
09/14/2021,"6.610","6.700","6.480","6.600","537,000"
09/13/2021,"6.800","6.800","6.600","6.600","357,100"
09/10/2021,"6.700","6.780","6.630","6.700","280,300"
09/09/2021,"6.720","6.810","6.550","6.700","490,900"
09/08/2021,"7.000","7.100","6.770","6.770","941,800"
09/07/2021,"7.100","7.150","6.900","7.050","788,100"
09/06/2021,"6.410","7.260","6.410","6.940","1,986,100"
09/03/2021,"6.400","6.500","6.370","6.390","371,400"
09/02/2021,"6.500","6.550","6.370","6.480","301,600"
09/01/2021,"6.580","6.580","6.360","6.490","478,000"
08/31/2021,"6.520","6.580","6.400","6.470","594,300"
08/27/2021,"6.180","6.700","6.180","6.400","1,733,900"
08/26/2021,"6.240","6.360","6.130","6.160","451,100"
08/25/2021,"6.390","6.390","6.250","6.350","699,900"
08/24/2021,"6.270","6.390","6.270","6.390","344,000"
08/23/2021,"6.400","6.400","6.200","6.270","391,800"
08/20/2021,"6.090","6.300","6.090","6.300","958,400"
08/19/2021,"6.060","6.130","6.030","6.090","411,100"
08/18/2021,"6.200","6.200","6.050","6.050","540,600"
08/17/2021,"6.100","6.190","6.070","6.130","201,200"
08/16/2021,"6.050","6.300","6.030","6.030","327,300"
08/13/2021,"6.190","6.190","6.050","6.100","337,000"
