Date,Open,High,Low,Close,Volume
05/16/2025,"2.250","2.250","2.170","2.230","117,000"
05/15/2025,"2.250","2.250","2.200","2.250","333,000"
05/14/2025,"2.270","2.270","2.250","2.250","299,000"
05/13/2025,"2.260","2.280","2.220","2.280","275,000"
05/09/2025,"2.250","2.300","2.250","2.260","129,000"
05/08/2025,"2.240","2.250","2.240","2.240","130,000"
05/07/2025,"2.240","2.250","2.200","2.250","175,000"
05/06/2025,"2.230","2.240","2.180","2.230","203,000"
05/05/2025,"2.190","2.220","2.190","2.220","229,000"
05/02/2025,"2.230","2.230","2.180","2.200","456,000"
