Date,Open,High,Low,Close,Volume
2020-01-02,8.64,8.64,8.41,8.5,229700
2020-01-03,8.5,9.2,8.47,8.98,1421800
2020-01-06,9.57,9.58,9.0,9.12,980200
2020-01-07,9.12,9.27,9.0,9.0,767300
2020-01-08,9.3,9.3,8.82,9.01,577100
2020-01-09,9.01,10.06,8.89,10.06,1873200
2020-01-10,10.32,10.7,10.2,10.22,1896300
2020-01-14,10.16,10.16,9.52,9.59,1043200
2020-01-15,9.62,9.62,9.2,9.33,450400
2020-01-16,9.3,9.48,9.3,9.39,272200
2020-01-17,9.39,9.6,9.25,9.35,821700
2020-01-20,9.3,9.5,8.9,8.92,790700
2020-01-21,8.93,9.2,8.72,9.09,504300
2020-01-22,9.0,9.06,8.84,8.94,236500
2020-01-23,9.05,9.2,8.88,9.0,1102800
2020-01-24,9.0,9.0,8.8,8.93,364400
2020-01-27,8.93,9.12,8.75,9.12,482300
2020-01-28,9.1,10.34,8.77,9.76,6952100
2020-01-29,9.8,9.8,9.3,9.35,978500
2020-01-30,9.35,9.43,8.9,8.91,1096800
2020-01-31,8.95,9.33,8.5,8.61,769200
2020-02-03,8.5,8.78,8.25,8.25,1290100
2020-02-04,8.24,8.65,8.23,8.41,467400
2020-02-05,8.5,8.78,8.5,8.6,233700
2020-02-06,8.64,8.9,8.64,8.7,170800
2020-02-07,8.67,8.74,8.61,8.65,153700
2020-02-10,8.67,8.67,8.3,8.5,209600
2020-02-11,8.6,8.6,8.39,8.5,227500
2020-02-12,8.43,9.1,8.41,8.45,507800
2020-02-13,8.45,8.7,8.4,8.4,226600
2020-02-14,8.43,8.58,8.41,8.45,62000
2020-02-17,8.35,8.4,7.6,7.8,2653400
2020-02-18,7.85,7.85,7.62,7.7,325100
2020-02-19,7.69,7.8,7.65,7.7,385400
2020-02-20,7.62,7.75,7.61,7.7,171100
2020-02-21,7.66,7.68,7.59,7.6,345400
2020-02-24,7.6,7.6,7.2,7.24,646200
2020-02-26,7.24,7.24,6.75,6.87,435300
2020-02-27,6.87,6.88,6.8,6.88,200900
2020-02-28,6.8,6.8,6.35,6.36,656300
2020-03-02,6.36,6.36,5.8,6.15,1279300
2020-03-03,6.15,6.35,6.05,6.12,309700
2020-03-04,6.4,6.5,6.05,6.18,106000
2020-03-05,6.2,6.34,6.18,6.32,180800
2020-03-06,6.32,6.44,5.98,6.01,462300
2020-03-09,5.9,5.9,5.0,5.05,1416300
2020-03-10,5.01,5.03,4.4,4.91,586200
2020-03-11,5.9,5.9,4.85,5.0,347000
2020-03-12,4.7,5.25,4.55,4.7,709200
2020-03-13,4.3,4.8,4.1,4.5,603000
2020-03-16,4.28,4.5,4.28,4.42,323000
2020-03-19,4.3,4.3,3.65,3.95,404000
2020-03-20,3.95,4.5,3.95,3.95,362000
2020-03-23,3.94,3.94,3.65,3.7,318000
2020-03-24,3.7,3.75,3.5,3.7,833000
2020-03-25,3.85,3.9,3.7,3.8,707000
2020-03-26,3.85,4.2,3.8,4.09,898000
2020-03-27,4.29,4.3,3.88,4.24,952000
2020-03-30,4.19,4.19,3.88,3.95,363000
2020-03-31,4.1,4.12,4.0,4.1,208000
2020-04-01,4.14,4.18,4.04,4.04,333000
2020-04-02,4.0,4.1,3.96,4.0,205000
2020-04-03,4.2,4.4,3.97,4.0,800000
2020-04-06,3.98,4.0,3.93,3.96,783000
2020-04-07,3.98,4.0,3.84,3.85,2822000
2020-04-08,3.9,3.9,3.8,3.84,1465000
2020-04-13,3.85,4.04,3.85,3.9,788000
2020-04-14,3.92,4.3,3.92,4.3,3807000
2020-04-15,4.54,4.61,4.12,4.3,3570000
