Date,Open,High,Low,Close,Volume
04/30/2025,"5.16","5.17","5.03","5.16","15,500"
04/29/2025,"5.17","5.17","5.02","5.02","2,000"
04/28/2025,"5.04","5.15","5.01","5.15","7,300"
04/25/2025,"5.16","5.17","5.15","5.15","3,000"
04/22/2025,"5.16","5.16","5.16","5.16","2,100"
04/21/2025,"5.17","5.17","5.17","5.17","2,100"
04/16/2025,"5.17","5.17","5.04","5.17","5,000"
04/14/2025,"5.10","5.17","5.10","5.17","3,200"
04/11/2025,"5.17","5.17","5.17","5.17","3,000"
04/08/2025,"5.14","5.17","5.14","5.17","15,400"
04/07/2025,"5.17","5.17","5.17","5.17","200"
04/03/2025,"5.04","5.17","5.04","5.16","1,300"
04/02/2025,"5.17","5.17","5.17","5.17","1,500"
03/26/2025,"5.17","5.17","5.17","5.17","100"
03/25/2025,"5.17","5.17","5.17","5.17","100"
03/24/2025,"5.16","5.16","5.03","5.16","3,200"
03/21/2025,"5.17","5.17","5.17","5.17","200"
03/20/2025,"5.17","5.17","5.02","5.02","3,200"
03/17/2025,"5.05","5.16","5.05","5.16","1,000"
03/14/2025,"5.18","5.18","5.18","5.18","500"
03/13/2025,"5.01","5.17","5.00","5.17","7,700"
03/12/2025,"5.02","5.18","5.02","5.18","2,000"
03/11/2025,"5.02","5.18","5.02","5.18","2,000"
03/07/2025,"5.03","5.18","5.03","5.18","1,100"
03/06/2025,"5.15","5.20","5.15","5.20","5,300"
03/05/2025,"5.12","5.15","5.12","5.15","3,000"
03/03/2025,"5.12","5.14","5.12","5.14","6,000"
02/27/2025,"5.12","5.12","5.12","5.12","6,700"
02/25/2025,"5.07","5.12","5.00","5.12","119,900"
02/20/2025,"5.07","5.08","5.07","5.08","2,500"
02/19/2025,"5.07","5.07","5.03","5.07","11,100"
02/18/2025,"5.02","5.08","5.02","5.08","6,500"
02/14/2025,"5.05","5.08","5.01","5.08","43,000"
02/13/2025,"5.08","5.08","5.08","5.08","1,500"
02/12/2025,"5.08","5.08","5.05","5.07","5,300"
02/11/2025,"5.05","5.07","5.05","5.07","2,500"
02/10/2025,"5.04","5.04","5.03","5.04","12,000"
02/07/2025,"5.03","5.08","5.01","5.08","21,500"
02/05/2025,"5.02","5.04","5.00","5.04","116,000"
02/04/2025,"5.05","5.10","5.03","5.10","12,900"
02/03/2025,"5.10","5.10","5.02","5.03","13,500"
01/31/2025,"5.01","5.12","5.01","5.02","43,500"
01/30/2025,"5.12","5.12","5.00","5.12","83,900"
01/28/2025,"5.12","5.12","5.00","5.10","79,000"
01/27/2025,"5.08","5.12","5.00","5.02","149,700"
01/24/2025,"5.11","5.11","5.00","5.08","84,200"
01/23/2025,"5.11","5.11","5.11","5.11","5,900"
01/21/2025,"5.12","5.12","5.02","5.12","16,400"
01/20/2025,"5.03","5.09","5.00","5.09","72,000"
01/17/2025,"5.12","5.12","5.01","5.10","31,300"
01/16/2025,"5.08","5.12","4.90","5.12","285,700"
01/15/2025,"5.10","5.12","5.02","5.02","8,000"
01/14/2025,"5.04","5.12","5.01","5.02","104,400"
01/13/2025,"5.12","5.12","5.05","5.05","1,600"
01/10/2025,"5.12","5.12","5.12","5.12","1,500"
01/09/2025,"5.12","5.12","5.04","5.04","600"
01/08/2025,"5.12","5.12","5.10","5.10","600"
01/07/2025,"5.02","5.04","5.00","5.04","134,400"
01/06/2025,"5.03","5.03","5.03","5.03","10,100"
01/03/2025,"5.04","5.12","5.03","5.12","15,100"
01/02/2025,"5.01","5.11","5.00","5.11","32,200"
