Date,Open,High,Low,Close,Volume
2023-07-24,5.01,5.2,5.01,5.04,4535400
2023-07-25,5.05,5.05,5.0,5.05,2026500
2023-07-26,5.05,5.05,5.0,5.0,830900
2023-07-27,5.01,5.03,5.0,5.0,481000
2023-07-28,5.0,5.03,5.0,5.02,189100
2023-07-31,5.0,5.02,5.0,5.01,71900
2023-08-01,5.0,5.02,5.0,5.01,209900
2023-08-02,5.01,5.03,5.0,5.02,278200
2023-08-03,5.0,5.04,5.0,5.02,100500
2023-08-04,5.02,5.16,5.02,5.16,947100
2023-08-07,5.16,5.49,5.16,5.2,928800
2023-08-08,5.2,5.25,5.1,5.25,44100
2023-08-09,5.24,5.24,5.1,5.19,11500
2023-08-10,5.05,5.15,5.05,5.07,163000
2023-08-11,5.06,5.1,5.04,5.1,72300
2023-08-14,5.05,5.06,5.05,5.05,354000
2023-08-15,5.1,5.26,5.08,5.18,112700
2023-08-16,5.17,5.18,5.16,5.18,47000
2023-08-17,5.21,5.21,5.1,5.15,13500
2023-08-18,5.2,5.2,5.1,5.19,36100
2023-08-22,5.08,5.11,5.04,5.11,30100
2023-08-23,5.03,5.05,5.03,5.05,11000
2023-08-24,5.08,5.18,5.05,5.18,25000
2023-08-25,5.06,5.17,5.06,5.17,10500
2023-08-29,5.17,5.17,5.08,5.08,49600
2023-08-30,5.07,5.08,5.01,5.08,183400
2023-08-31,5.05,5.08,5.05,5.05,42100
2023-09-01,5.08,5.08,5.08,5.08,14100
2023-09-04,5.07,5.15,5.07,5.15,40300
2023-09-05,5.14,5.15,5.14,5.15,4700
2023-09-06,5.15,5.2,5.15,5.2,64800
2023-09-07,5.21,5.24,5.21,5.21,5600
2023-09-11,5.1,5.2,5.1,5.2,16000
2023-09-12,5.18,5.18,5.18,5.18,1600
2023-09-13,5.1,5.16,5.05,5.16,106000
2023-09-14,5.06,5.06,5.02,5.02,58900
2023-09-15,5.01,5.14,5.01,5.13,18600
2023-09-19,5.05,5.05,5.05,5.05,100
2023-09-20,5.01,5.09,5.01,5.09,27000
2023-09-21,5.09,5.1,5.03,5.03,43900
2023-09-22,5.03,5.14,5.03,5.14,71700
2023-09-25,5.14,5.15,5.13,5.13,26000
2023-09-26,5.13,5.15,5.1,5.15,44800
2023-09-27,5.15,5.18,5.15,5.16,17700
2023-09-28,5.16,5.2,5.16,5.2,191100
2023-09-29,5.2,5.28,5.2,5.28,40000
2023-10-02,5.28,5.28,5.16,5.18,10900
2023-10-03,5.18,5.21,5.18,5.2,30700
2023-10-04,5.2,5.24,5.2,5.24,19300
2023-10-05,5.24,5.28,5.2,5.27,61500
2023-10-06,5.28,5.5,5.28,5.5,306900
2023-10-09,5.5,5.5,5.31,5.43,77000
2023-10-10,5.47,5.5,5.47,5.49,67500
2023-10-11,5.49,5.7,5.49,5.69,123600
2023-10-12,5.51,5.75,5.51,5.7,34600
2023-10-13,5.68,5.7,5.51,5.7,108800
2023-10-16,5.7,5.7,5.52,5.55,84000
2023-10-17,5.55,5.7,5.55,5.7,10000
2023-10-18,5.7,6.3,5.7,5.85,31200
2023-10-19,5.8,6.2,5.8,5.85,190500
2023-10-20,6.03,6.03,6.03,6.03,8100
2023-10-23,6.0,6.0,5.6,5.7,32600
2023-10-24,5.78,5.85,5.78,5.85,21900
2023-10-25,5.85,5.9,5.85,5.9,26600
2023-10-26,5.88,5.9,5.7,5.9,17800
2023-10-27,5.9,6.0,5.52,5.9,13000
2023-10-31,6.0,7.0,6.0,6.5,93000
2023-11-03,6.48,7.2,6.48,7.04,422500
2023-11-06,7.05,7.2,7.04,7.13,521400
2023-11-07,7.13,7.3,7.13,7.25,199300
2023-11-08,7.25,7.4,6.9,7.28,176500
2023-11-09,7.1,7.3,7.1,7.24,18900
2023-11-10,7.29,7.29,7.1,7.14,35500
2023-11-13,7.0,7.2,6.85,7.15,28000
2023-11-14,6.82,7.14,6.8,6.99,58400
2023-11-15,6.8,6.99,6.7,6.99,62000
2023-11-16,6.71,6.98,6.7,6.82,62500
2023-11-17,6.82,6.82,6.63,6.75,9500
2023-11-20,6.75,6.75,6.7,6.7,84600
2023-11-21,6.7,6.7,6.6,6.6,47600
2023-11-22,6.75,6.75,6.71,6.71,7800
2023-11-23,6.56,6.75,6.51,6.7,1500
2023-11-24,6.6,6.74,6.51,6.74,30000
2023-11-28,6.7,6.73,6.5,6.72,56700
2023-11-29,6.72,6.72,6.55,6.72,1300
2023-11-30,6.74,6.74,6.74,6.74,12500
2023-12-01,6.72,7.03,6.72,6.99,82400
2023-12-04,6.99,7.02,6.99,7.0,33100
2023-12-05,7.0,7.0,6.69,6.99,4800
2023-12-06,6.9,6.9,6.9,6.9,6500
2023-12-07,6.75,6.99,6.5,6.99,64100
2023-12-11,6.65,6.98,6.65,6.98,14600
2023-12-12,6.9,6.98,6.9,6.9,7000
2023-12-13,6.9,6.92,6.9,6.92,24100
2023-12-14,6.85,6.95,6.85,6.95,40300
2023-12-15,6.85,6.99,6.85,6.99,13800
2023-12-18,6.98,7.0,6.85,7.0,33800
2023-12-19,6.99,7.0,6.9,7.0,13600
2023-12-20,6.99,6.99,6.99,6.99,8100
2023-12-21,6.98,7.0,6.87,6.99,14000
