Date,Open,High,Low,Close,Volume
2020-01-02,5.3,5.3,5.3,5.3,1000
2020-01-03,5.3,5.3,5.2,5.3,8900
2020-01-06,5.3,5.3,5.28,5.28,9500
2020-01-07,5.3,5.3,5.25,5.28,13200
2020-01-08,5.28,5.28,5.28,5.28,1500
2020-01-09,5.28,5.28,5.2,5.28,18200
2020-01-10,5.28,5.3,5.24,5.28,19000
2020-01-14,5.3,5.3,5.28,5.28,8000
2020-01-15,5.3,5.3,5.2,5.29,12900
2020-01-16,5.2,5.3,5.2,5.3,1411100
2020-01-17,5.3,5.3,5.3,5.3,5000
2020-01-20,5.3,5.3,5.3,5.3,3500
2020-01-21,5.3,5.3,5.3,5.3,2000
2020-01-22,5.2,5.3,5.2,5.3,5600
2020-01-23,5.3,5.3,5.12,5.3,117900
2020-01-24,5.3,5.3,5.24,5.24,18000
2020-01-27,5.2,5.2,5.12,5.2,47900
2020-01-29,5.02,5.02,5.02,5.02,200
2020-01-30,5.05,5.2,5.02,5.2,64400
2020-01-31,5.15,5.19,5.02,5.02,30700
2020-02-03,5.02,5.05,5.0,5.05,15300
2020-02-04,5.01,5.33,5.01,5.33,8300
2020-02-05,5.33,5.33,5.33,5.33,100
2020-02-06,5.29,5.29,5.29,5.29,200
2020-02-07,5.25,5.29,5.25,5.29,14563800
2020-02-10,5.29,5.29,5.29,5.29,3000
2020-02-13,5.29,5.29,5.23,5.23,14100
2020-02-14,5.05,5.23,5.05,5.2,19800
2020-02-18,5.05,5.2,5.05,5.1,5100
2020-02-19,5.24,5.25,5.1,5.1,1100
2020-02-20,5.2,5.26,5.1,5.26,10700
2020-02-24,5.2,5.26,5.2,5.26,3000
2020-02-26,5.0,5.0,5.0,5.0,100
2020-02-27,5.0,5.0,5.0,5.0,200
2020-02-28,5.0,5.26,5.0,5.0,25300
2020-03-02,5.0,5.0,5.0,5.0,9200
2020-03-03,5.0,5.0,4.98,5.0,28700
2020-03-04,5.0,5.0,5.0,5.0,2000
2020-03-05,4.95,5.0,4.95,5.0,6100
2020-03-06,5.0,5.0,5.0,5.0,1200
2020-03-09,5.0,5.0,4.91,5.0,8800
2020-03-10,4.91,5.0,4.9,5.0,23800
2020-03-11,5.0,5.0,4.75,4.98,19900
2020-03-13,4.61,4.95,4.6,4.94,28000
2020-03-19,4.7,4.7,4.4,4.62,38000
2020-03-20,4.5,4.6,4.0,4.6,26000
2020-03-23,4.3,4.6,4.0,4.6,23000
2020-03-24,4.3,4.69,4.3,4.69,16000
