Date,Open,High,Low,Close,Volume
05/16/2025,"67.85","68.00","66.00","66.05","377,960"
05/15/2025,"70.00","70.20","66.80","66.90","239,990"
05/14/2025,"71.20","71.60","68.90","69.15","456,310"
05/13/2025,"71.00","71.45","70.50","71.25","229,820"
05/09/2025,"70.20","70.35","68.00","70.35","256,710"
05/08/2025,"68.35","70.20","68.15","70.20","368,630"
05/07/2025,"67.00","68.50","67.00","68.35","214,180"
05/06/2025,"67.80","67.80","66.00","67.00","399,570"
05/05/2025,"67.80","68.50","67.60","67.80","162,300"
05/02/2025,"66.50","67.50","66.40","66.95","362,490"
