Date,Open,High,Low,Close,Volume
12/27/2024,"1.040","1.040","0.930","1.030","201,000"
12/26/2024,"1.030","1.030","1.030","1.030","10,000"
12/23/2024,"1.020","1.030","0.980","1.030","123,000"
12/20/2024,"1.030","1.030","0.950","0.950","225,000"
12/18/2024,"1.000","1.030","1.000","1.030","13,000"
12/17/2024,"1.030","1.030","1.030","1.030","5,000"
12/16/2024,"1.020","1.030","1.000","1.030","172,000"
12/13/2024,"1.000","1.020","1.000","1.020","21,000"
12/12/2024,"1.040","1.040","1.040","1.040","101,000"
12/11/2024,"1.040","1.040","1.040","1.040","2,000"
12/10/2024,"1.020","1.020","1.010","1.010","18,000"
12/09/2024,"1.010","1.040","0.970","1.040","89,000"
12/06/2024,"0.970","0.970","0.970","0.970","9,000"
12/05/2024,"1.010","1.010","1.010","1.010","2,000"
12/04/2024,"1.000","1.010","1.000","1.010","10,000"
12/02/2024,"1.010","1.010","0.970","0.970","52,000"
11/29/2024,"0.960","0.960","0.960","0.960","1,000"
11/28/2024,"0.960","0.960","0.960","0.960","2,000"
11/27/2024,"0.980","1.010","0.960","1.010","26,000"
11/25/2024,"1.030","1.030","1.030","1.030","3,000"
11/22/2024,"0.980","1.030","0.980","1.030","114,000"
11/21/2024,"0.990","0.990","0.990","0.990","1,000"
11/20/2024,"1.000","1.000","0.990","0.990","30,000"
11/18/2024,"1.000","1.000","1.000","1.000","2,000"
11/15/2024,"1.040","1.040","0.990","1.000","51,000"
11/14/2024,"0.990","1.040","0.990","0.990","56,000"
11/13/2024,"1.020","1.020","1.000","1.000","117,000"
11/12/2024,"1.040","1.040","1.040","1.040","55,000"
11/11/2024,"1.040","1.040","1.040","1.040","12,000"
11/08/2024,"1.000","1.020","1.000","1.020","11,000"
11/07/2024,"1.000","1.040","1.000","1.020","72,000"
11/06/2024,"1.050","1.050","1.040","1.040","119,000"
11/05/2024,"1.050","1.050","1.050","1.050","130,000"
11/04/2024,"1.040","1.050","1.040","1.040","294,000"
10/30/2024,"1.040","1.040","1.040","1.040","20,000"
10/29/2024,"1.050","1.050","1.050","1.050","1,000"
10/28/2024,"1.000","1.060","1.000","1.060","102,000"
10/25/2024,"1.020","1.020","1.020","1.020","123,000"
10/24/2024,"1.010","1.020","1.010","1.020","237,000"
10/23/2024,"1.030","1.030","1.000","1.020","327,000"
10/22/2024,"1.060","1.060","1.020","1.020","3,000"
10/21/2024,"1.040","1.040","1.040","1.040","38,000"
10/18/2024,"1.060","1.060","1.040","1.040","53,000"
10/17/2024,"1.040","1.070","1.040","1.040","29,000"
10/16/2024,"1.010","1.040","1.010","1.040","29,000"
10/15/2024,"1.010","1.050","0.980","1.000","210,000"
10/14/2024,"1.050","1.050","1.020","1.050","280,000"
10/11/2024,"1.060","1.070","1.050","1.050","236,000"
10/10/2024,"1.020","1.060","1.020","1.050","203,000"
10/09/2024,"1.020","1.030","1.010","1.010","121,000"
10/08/2024,"1.040","1.040","0.990","1.020","211,000"
10/07/2024,"1.020","1.040","1.020","1.040","21,000"
10/04/2024,"1.040","1.040","1.030","1.040","11,000"
10/03/2024,"1.030","1.030","1.020","1.020","31,000"
10/02/2024,"1.030","1.060","1.030","1.030","716,000"
10/01/2024,"1.030","1.040","1.020","1.030","249,000"
09/30/2024,"1.020","1.020","1.010","1.010","130,000"
09/27/2024,"1.000","1.010","0.980","1.010","130,000"
09/26/2024,"0.980","1.000","0.980","1.000","322,000"
09/25/2024,"1.030","1.030","1.000","1.010","54,000"
09/24/2024,"1.010","1.010","0.960","1.010","473,000"
09/23/2024,"0.990","1.030","0.970","1.030","496,000"
09/20/2024,"0.950","0.990","0.950","0.990","954,000"
09/19/2024,"0.930","0.950","0.920","0.950","823,000"
09/18/2024,"0.930","0.930","0.920","0.930","160,000"
09/17/2024,"0.900","0.930","0.900","0.930","43,000"
09/16/2024,"0.920","0.940","0.900","0.900","549,000"
09/13/2024,"0.900","0.910","0.900","0.910","237,000"
09/12/2024,"0.890","0.900","0.890","0.890","472,000"
09/11/2024,"0.900","0.910","0.890","0.890","886,000"
09/10/2024,"0.910","0.910","0.900","0.900","361,000"
09/09/2024,"0.910","0.910","0.900","0.900","866,000"
09/06/2024,"0.920","0.920","0.910","0.910","139,000"
09/05/2024,"0.910","0.920","0.910","0.920","28,000"
09/04/2024,"0.920","0.920","0.910","0.910","74,000"
09/03/2024,"0.920","0.920","0.920","0.920","30,000"
