Date,Open,High,Low,Close,Volume
12/29/2022,"11.28","11.28","11.10","11.10","1,818,300"
12/28/2022,"11.26","11.32","11.16","11.28","1,870,000"
12/27/2022,"11.58","11.58","11.18","11.20","3,587,700"
12/23/2022,"11.60","11.60","11.44","11.50","203,100"
12/22/2022,"11.42","11.60","11.42","11.60","747,600"
12/21/2022,"11.40","11.46","11.38","11.42","442,500"
12/20/2022,"11.46","11.48","11.38","11.44","311,100"
12/19/2022,"11.62","11.62","11.44","11.46","1,100,300"
12/16/2022,"11.80","11.80","11.68","11.68","1,495,600"
12/15/2022,"11.76","11.80","11.72","11.76","195,500"
12/14/2022,"11.76","11.80","11.70","11.72","948,200"
12/13/2022,"11.72","11.84","11.72","11.76","505,000"
12/12/2022,"11.92","11.92","11.60","11.70","1,907,600"
12/09/2022,"11.90","12.08","11.84","11.92","1,067,100"
12/07/2022,"11.70","11.90","11.68","11.84","294,200"
12/06/2022,"11.84","11.88","11.68","11.68","589,000"
12/05/2022,"11.84","11.88","11.82","11.84","99,500"
12/02/2022,"11.84","12.00","11.82","11.82","701,500"
12/01/2022,"12.00","12.02","11.80","11.82","853,100"
11/29/2022,"11.78","12.30","11.62","12.30","1,511,200"
11/28/2022,"11.80","11.80","11.60","11.70","584,500"
11/25/2022,"11.86","11.86","11.72","11.74","804,800"
11/24/2022,"11.80","11.80","11.66","11.80","373,700"
11/23/2022,"11.80","11.80","11.64","11.64","323,400"
11/22/2022,"11.84","11.94","11.50","11.66","554,500"
11/21/2022,"11.60","11.90","11.52","11.82","1,121,000"
11/18/2022,"11.60","11.76","11.58","11.58","809,600"
11/17/2022,"11.36","11.68","11.34","11.50","1,819,100"
11/16/2022,"11.50","11.60","11.30","11.30","3,765,800"
11/15/2022,"11.68","11.68","11.40","11.48","2,439,500"
11/14/2022,"11.42","11.60","11.40","11.60","258,700"
11/11/2022,"11.56","11.56","11.34","11.42","535,700"
11/10/2022,"11.38","11.52","11.32","11.38","265,900"
11/09/2022,"11.76","11.78","11.36","11.36","1,107,300"
11/08/2022,"11.52","11.76","11.50","11.70","517,200"
11/07/2022,"11.38","11.50","11.36","11.46","571,900"
11/04/2022,"11.36","11.56","11.30","11.42","388,300"
11/03/2022,"11.76","11.76","11.20","11.36","1,625,800"
11/02/2022,"11.98","11.98","11.80","11.80","303,900"
10/28/2022,"11.86","12.08","11.80","11.98","549,300"
10/27/2022,"11.72","11.88","11.70","11.86","284,600"
10/26/2022,"11.88","11.88","11.62","11.72","358,000"
10/25/2022,"11.78","11.94","11.78","11.82","1,347,700"
10/24/2022,"11.52","11.82","11.52","11.76","1,263,600"
10/21/2022,"11.50","11.66","11.26","11.50","510,600"
10/20/2022,"11.48","11.88","11.48","11.50","891,900"
10/19/2022,"11.22","11.38","11.20","11.38","648,600"
10/18/2022,"11.04","11.20","11.00","11.20","654,500"
10/17/2022,"11.10","11.10","10.98","11.02","266,700"
10/14/2022,"11.00","11.04","10.92","11.02","297,300"
10/13/2022,"10.90","11.00","10.86","10.98","256,600"
10/12/2022,"11.12","11.14","10.86","10.86","1,291,300"
10/11/2022,"11.18","11.18","11.00","11.06","2,036,400"
10/10/2022,"11.14","11.22","10.80","11.10","1,552,500"
10/07/2022,"11.16","11.16","10.90","11.14","1,609,700"
10/06/2022,"11.30","11.46","10.84","11.10","7,576,600"
10/05/2022,"11.62","11.68","11.46","11.48","1,383,400"
10/04/2022,"11.58","11.62","11.40","11.60","735,500"
10/03/2022,"11.74","11.74","11.30","11.58","1,555,900"
09/30/2022,"11.52","11.78","11.38","11.76","802,800"
09/29/2022,"11.84","11.98","11.78","11.96","2,230,300"
09/28/2022,"11.84","11.92","11.66","11.68","6,816,800"
09/27/2022,"12.24","12.30","11.80","11.94","10,231,500"
09/23/2022,"12.12","12.26","12.06","12.26","2,682,300"
09/22/2022,"12.18","12.38","12.02","12.10","5,181,800"
09/21/2022,"12.14","12.24","11.92","12.12","8,983,700"
09/20/2022,"12.94","12.94","12.02","12.32","27,742,199"
09/19/2022,"13.40","13.40","13.14","13.22","645,700"
09/16/2022,"13.40","13.40","13.28","13.32","1,829,200"
09/15/2022,"13.38","13.42","13.32","13.32","1,501,100"
09/14/2022,"13.44","13.54","13.20","13.36","5,766,800"
09/13/2022,"13.70","13.70","13.62","13.68","2,763,900"
09/12/2022,"13.50","13.76","13.50","13.68","1,102,500"
09/09/2022,"13.50","13.62","13.40","13.50","2,681,000"
09/08/2022,"13.62","13.68","13.42","13.50","1,361,900"
09/07/2022,"13.74","13.74","13.54","13.58","1,734,400"
09/06/2022,"13.90","13.92","13.72","13.76","2,124,100"
09/05/2022,"13.84","13.98","13.84","13.88","3,644,800"
09/02/2022,"13.70","13.92","13.70","13.84","2,585,100"
09/01/2022,"13.80","13.80","13.66","13.74","1,412,200"
08/31/2022,"13.68","13.80","13.56","13.80","6,769,500"
08/30/2022,"13.50","13.68","13.42","13.64","2,234,700"
08/26/2022,"13.56","13.84","13.50","13.80","4,912,100"
08/25/2022,"13.44","13.68","13.44","13.54","2,932,400"
