Date,Open,High,Low,Close,Volume
05/16/2025,"11.84","11.98","11.74","11.84","192,900"
05/15/2025,"11.90","11.90","11.62","11.84","1,558,100"
05/14/2025,"12.18","12.18","11.80","11.94","621,700"
05/13/2025,"12.00","12.20","11.80","12.18","1,469,600"
05/09/2025,"11.82","12.08","11.76","11.98","644,600"
05/08/2025,"12.24","12.30","11.64","11.74","1,060,000"
05/07/2025,"11.82","12.34","11.76","12.20","3,699,000"
05/06/2025,"11.50","11.80","11.50","11.74","5,213,000"
05/05/2025,"11.64","11.64","11.50","11.50","1,032,800"
05/02/2025,"11.66","11.66","11.50","11.50","1,398,400"
