Date,Open,High,Low,Close,Volume
2020-01-02,191.0,204.0,189.0,204.0,470
2020-01-03,208.8,208.8,190.0,204.8,940
2020-01-06,204.8,204.8,188.0,200.0,740
2020-01-07,200.0,200.0,190.0,200.0,1400
2020-01-08,187.0,192.0,185.0,190.0,540
2020-01-09,192.0,195.0,186.0,195.0,620
2020-01-10,185.0,194.0,185.0,192.0,700
2020-01-14,186.0,186.0,186.0,186.0,230
2020-01-15,190.0,195.0,190.0,195.0,130
2020-01-16,195.0,195.0,186.0,194.0,150
2020-01-17,185.0,200.0,185.0,194.0,2450
2020-01-20,194.0,194.0,181.0,181.0,170
2020-01-21,182.0,185.0,181.0,181.0,210
2020-01-22,180.0,181.0,180.0,181.0,990
2020-01-23,181.0,181.0,181.0,181.0,130
2020-01-24,175.0,190.0,175.0,190.0,780
2020-01-27,192.0,192.0,190.0,190.0,20
2020-01-28,190.0,190.0,190.0,190.0,130
2020-01-29,196.0,197.0,186.0,194.5,500
2020-01-30,186.0,194.5,183.7,190.0,190
2020-01-31,180.4,189.0,180.4,189.0,140
2020-02-03,184.0,188.0,184.0,188.0,20
2020-02-04,180.0,191.5,180.0,180.0,510
2020-02-05,171.0,189.0,171.0,185.0,160
2020-02-06,185.0,185.0,185.0,185.0,40
2020-02-07,180.0,185.0,175.0,175.0,100
2020-02-10,175.0,175.0,175.0,175.0,60
2020-02-11,175.0,184.5,175.0,184.5,40
2020-02-12,184.5,184.5,179.0,184.5,180
2020-02-13,179.0,183.0,165.0,183.0,350
2020-02-14,173.0,183.0,173.0,183.0,20
2020-02-17,183.0,183.0,175.0,183.0,30
2020-02-19,170.0,180.0,165.0,180.0,200
2020-02-20,180.0,180.0,180.0,180.0,10
2020-02-21,170.0,170.0,155.0,155.0,1520
2020-02-24,160.0,160.0,155.0,155.0,100
2020-02-26,170.0,180.0,157.5,157.5,490
2020-02-27,154.3,170.0,152.5,170.0,2210
2020-02-28,155.0,175.0,150.0,175.0,350
2020-03-02,151.0,165.0,150.0,165.0,130
2020-03-03,150.0,170.0,150.0,170.0,70
2020-03-04,170.0,175.0,170.0,175.0,200
2020-03-05,175.0,175.0,175.0,175.0,110
2020-03-09,160.0,160.0,160.0,160.0,50
2020-03-10,150.0,160.0,145.0,145.0,530
2020-03-11,150.0,159.8,150.0,159.8,50
2020-03-13,182.0,182.0,170.0,170.0,270
2020-03-25,130.0,159.0,130.0,159.0,130
2020-03-26,140.0,153.0,140.0,150.0,690
2020-03-27,150.0,150.0,150.0,150.0,60
2020-03-30,150.0,150.0,130.0,144.0,160
2020-03-31,131.0,150.0,131.0,150.0,710
2020-04-01,150.0,158.0,150.0,158.0,660
2020-04-02,152.0,169.9,150.0,169.9,900
2020-04-03,172.0,220.0,172.0,200.0,29900
2020-04-06,210.0,210.0,180.0,180.0,8670
2020-04-07,183.1,194.0,175.0,180.0,6010
2020-04-08,180.0,180.0,174.5,174.5,4060
2020-04-13,171.0,171.1,161.0,170.0,3100
2020-04-14,161.0,170.0,161.0,170.0,5310
2020-04-15,170.0,180.0,170.0,179.0,1550
2020-04-16,178.9,200.0,170.0,170.0,8370
2020-04-17,170.0,170.0,161.1,161.1,1900
2020-04-20,166.0,168.0,162.1,162.1,720
2020-04-21,162.1,165.0,162.1,165.0,360
2020-04-22,165.0,166.0,165.0,166.0,210
2020-04-23,166.0,168.0,165.0,165.0,170
2020-04-24,165.0,165.0,162.0,162.0,300
2020-04-27,163.0,163.0,162.0,162.0,1010
2020-04-28,163.0,163.0,160.0,163.0,470
2020-04-29,170.0,170.0,165.0,166.0,160
2020-04-30,160.1,170.0,160.0,170.0,510
2020-05-04,160.1,168.5,151.0,166.1,4810
2020-05-05,156.0,165.0,156.0,165.0,300
2020-05-06,160.0,160.0,160.0,160.0,430
2020-05-07,161.0,161.0,161.0,161.0,110
2020-05-08,161.0,162.0,161.0,162.0,90
2020-05-11,168.2,168.2,162.0,162.0,30
2020-05-14,160.0,166.0,160.0,166.0,70
2020-05-18,160.0,162.0,160.0,162.0,110
2020-05-20,164.0,164.0,164.0,164.0,20
2020-05-21,167.0,167.0,167.0,167.0,50
2020-05-26,160.0,160.0,159.0,159.0,260
2020-06-01,155.0,156.0,155.0,156.0,210
2020-06-04,156.0,156.0,150.0,150.0,2640
2020-06-05,169.7,169.7,155.0,160.0,860
2020-06-08,165.0,165.0,155.0,155.0,610
2020-06-09,157.0,162.0,157.0,162.0,230
2020-06-10,162.0,174.8,162.0,164.0,470
2020-06-11,160.1,160.1,158.0,158.0,850
2020-06-15,174.0,174.0,173.0,173.0,40
2020-06-16,173.0,173.0,170.0,170.0,430
2020-06-17,169.9,169.9,167.0,167.0,240
2020-06-18,155.0,167.0,155.0,157.0,520
2020-06-19,157.0,159.0,157.0,157.0,1070
2020-06-22,157.0,158.0,157.0,158.0,210
2020-06-23,157.0,161.0,157.0,161.0,50
2020-06-25,159.5,159.5,159.5,159.5,50
2020-06-26,159.5,159.5,159.5,159.5,20
2020-06-29,156.0,156.0,145.0,156.0,800
2020-06-30,145.0,150.0,145.0,150.0,360
2020-07-01,152.0,175.0,150.0,169.0,1320
2020-07-02,169.0,170.0,167.0,169.0,3140
2020-07-03,170.0,170.0,170.0,170.0,10
2020-07-06,160.0,160.0,150.0,160.0,660
2020-07-07,150.0,165.0,150.0,165.0,960
2020-07-08,165.0,165.0,150.0,150.0,510
2020-07-09,165.0,165.0,165.0,165.0,500
2020-07-10,165.0,165.0,155.0,155.0,130
2020-07-13,157.0,157.0,157.0,157.0,20
2020-07-14,150.0,150.0,150.0,150.0,30
2020-07-15,155.0,155.0,150.0,150.0,150
2020-07-16,168.0,168.0,160.0,160.0,70
2020-07-27,150.0,150.0,150.0,150.0,70
