Date,Open,High,Low,Close,Volume
04/30/2025,"3,100.00","3,100.00","3,100.00","3,100.00","200"
04/29/2025,"3,100.00","3,100.00","3,100.00","3,100.00","5"
04/25/2025,"3,180.00","3,180.00","3,000.00","3,010.00","105"
04/24/2025,"3,002.00","3,002.00","3,002.00","3,002.00","30"
04/23/2025,"3,000.00","3,000.00","3,000.00","3,000.00","110"
04/21/2025,"3,050.00","3,050.00","3,000.00","3,000.00","540"
04/16/2025,"3,000.00","3,000.00","3,000.00","3,000.00","320"
04/15/2025,"3,010.00","3,010.00","3,000.00","3,000.00","110"
04/14/2025,"3,000.00","3,000.00","3,000.00","3,000.00","115"
04/11/2025,"2,990.00","3,260.00","2,990.00","3,000.00","195"
04/08/2025,"3,010.00","3,010.00","3,000.00","3,000.00","515"
04/07/2025,"3,000.00","3,000.00","3,000.00","3,000.00","840"
04/04/2025,"3,100.00","3,190.00","3,100.00","3,190.00","475"
04/03/2025,"3,100.00","3,280.00","3,100.00","3,280.00","195"
04/02/2025,"3,100.00","3,150.00","3,100.00","3,150.00","400"
03/31/2025,"3,150.00","3,150.00","3,100.00","3,100.00","260"
03/28/2025,"3,180.00","3,180.00","3,150.00","3,150.00","235"
03/27/2025,"3,150.00","3,160.00","3,150.00","3,150.00","190"
03/26/2025,"3,150.00","3,150.00","3,150.00","3,150.00","185"
03/25/2025,"3,100.00","3,150.00","3,100.00","3,150.00","10,145"
03/21/2025,"3,150.00","3,150.00","3,100.00","3,150.00","90"
03/20/2025,"3,150.00","3,150.00","3,150.00","3,150.00","5"
03/18/2025,"3,100.00","3,100.00","3,000.00","3,000.00","270"
03/17/2025,"3,150.00","3,150.00","3,150.00","3,150.00","5"
03/14/2025,"3,150.00","3,150.00","3,000.00","3,100.00","3,765"
03/13/2025,"3,150.00","3,150.00","3,150.00","3,150.00","5"
03/11/2025,"3,150.00","3,150.00","3,000.00","3,000.00","125"
03/10/2025,"3,104.00","3,104.00","3,000.00","3,000.00","270"
03/05/2025,"3,370.00","3,370.00","3,370.00","3,370.00","30"
03/04/2025,"3,102.00","3,102.00","3,102.00","3,102.00","5"
03/03/2025,"3,004.00","3,304.00","3,004.00","3,304.00","850"
02/28/2025,"3,388.00","3,388.00","3,350.00","3,350.00","15"
02/27/2025,"3,076.00","3,080.00","3,074.00","3,074.00","730"
02/26/2025,"3,050.00","3,200.00","3,050.00","3,150.00","180"
02/25/2025,"3,300.00","3,300.00","3,300.00","3,300.00","25"
02/24/2025,"3,378.00","3,378.00","3,378.00","3,378.00","60"
02/21/2025,"3,388.00","3,388.00","3,388.00","3,388.00","5"
02/20/2025,"3,390.00","3,390.00","3,390.00","3,390.00","15"
02/19/2025,"3,380.00","3,380.00","3,380.00","3,380.00","10"
02/18/2025,"3,020.00","3,388.00","3,020.00","3,388.00","200"
02/17/2025,"3,398.00","3,398.00","3,398.00","3,398.00","10"
02/14/2025,"3,260.00","3,260.00","3,260.00","3,260.00","15"
02/13/2025,"3,398.00","3,398.00","3,398.00","3,398.00","5"
02/11/2025,"3,400.00","3,400.00","3,400.00","3,400.00","5"
02/10/2025,"3,400.00","3,400.00","3,400.00","3,400.00","30"
02/07/2025,"3,300.00","3,300.00","3,300.00","3,300.00","105"
02/05/2025,"3,498.00","3,498.00","3,498.00","3,498.00","5"
02/04/2025,"3,252.00","3,252.00","3,250.00","3,250.00","770"
01/31/2025,"3,252.00","3,252.00","3,252.00","3,252.00","30"
01/30/2025,"3,480.00","3,480.00","3,480.00","3,480.00","600"
01/28/2025,"3,498.00","3,498.00","3,498.00","3,498.00","5"
01/27/2025,"3,250.00","3,250.00","3,250.00","3,250.00","5"
01/23/2025,"3,200.00","3,200.00","3,200.00","3,200.00","85"
01/22/2025,"3,300.00","3,300.00","3,200.00","3,200.00","280"
01/21/2025,"3,304.00","3,304.00","3,304.00","3,304.00","130"
01/20/2025,"3,330.00","3,330.00","3,328.00","3,330.00","210"
01/17/2025,"3,302.00","3,302.00","3,302.00","3,302.00","60"
01/16/2025,"3,330.00","3,336.00","3,300.00","3,300.00","465"
01/15/2025,"3,300.00","3,330.00","3,300.00","3,330.00","55"
01/14/2025,"3,300.00","3,300.00","3,300.00","3,300.00","5"
01/13/2025,"3,450.00","3,450.00","3,300.00","3,300.00","10"
01/10/2025,"3,450.00","3,450.00","3,450.00","3,450.00","5"
01/09/2025,"3,300.00","3,300.00","3,300.00","3,300.00","55"
01/08/2025,"3,300.00","3,300.00","3,300.00","3,300.00","570"
01/07/2025,"3,300.00","3,400.00","3,300.00","3,300.00","840"
01/06/2025,"3,130.00","3,300.00","3,130.00","3,300.00","680"
01/02/2025,"3,030.00","3,030.00","3,030.00","3,030.00","130"
