Date,Open,High,Low,Close,Volume
2020-01-02,1830.00,1830.00,1830.00,1830.00,360
2020-01-03,1835.00,1835.00,1825.00,1825.00,110
2020-01-06,1835.00,1835.00,1835.00,1835.00,10
2020-01-07,1848.00,1848.00,1830.00,1830.00,110
2020-01-09,1840.00,1850.00,1840.00,1850.00,610
2020-01-10,1855.00,1855.00,1855.00,1855.00,30
2020-01-14,1855.00,1855.00,1810.00,1810.00,525
2020-01-17,1830.00,1889.00,1830.00,1889.00,90
2020-01-20,1890.00,1900.00,1890.00,1890.00,390
2020-01-22,1851.00,1851.00,1851.00,1851.00,10
2020-01-23,1856.00,1880.00,1856.00,1870.00,40
2020-01-24,1865.00,1865.00,1855.00,1855.00,105
2020-01-29,1855.00,1856.00,1850.00,1850.00,550
2020-01-30,1850.00,1850.00,1850.00,1850.00,15
2020-01-31,1850.00,1850.00,1830.00,1830.00,660
2020-02-03,1911.00,1911.00,1800.00,1887.00,105
2020-02-06,1887.00,1887.00,1830.00,1830.00,20
2020-02-07,1887.00,1887.00,1887.00,1887.00,15
2020-02-10,1887.00,1887.00,1887.00,1887.00,15
2020-02-11,1880.00,1880.00,1875.00,1875.00,65
2020-02-12,1865.00,1865.00,1847.00,1850.00,450
2020-02-13,1850.00,1852.00,1850.00,1852.00,295
2020-02-14,1859.00,1859.00,1859.00,1859.00,10
2020-02-17,1860.00,1887.00,1860.00,1878.00,475
2020-02-19,1825.00,1825.00,1815.00,1815.00,170
2020-02-20,1820.00,1821.00,1815.00,1815.00,105
2020-02-21,1820.00,1820.00,1820.00,1820.00,5
2020-02-24,1815.00,1815.00,1810.00,1810.00,205
2020-02-26,1795.00,1795.00,1795.00,1795.00,10
2020-02-27,1775.00,1775.00,1775.00,1775.00,15
2020-02-28,1770.00,1770.00,1770.00,1770.00,10
2020-03-03,1750.00,1750.00,1750.00,1750.00,35
2020-03-04,1750.00,1750.00,1750.00,1750.00,45
2020-03-05,1750.00,1750.00,1721.00,1721.00,25
2020-03-09,1780.00,1780.00,1780.00,1780.00,5
2020-03-12,1750.00,1750.00,1750.00,1750.00,10
2020-03-13,1650.00,1650.00,1450.00,1485.00,110
2020-03-19,1400.00,1400.00,1400.00,1400.00,35
2020-03-20,1400.00,1420.00,1400.00,1420.00,35
2020-03-23,1395.00,1399.00,1351.00,1390.00,110
2020-03-24,1360.00,1360.00,1350.00,1350.00,60
2020-03-26,1390.00,1390.00,1390.00,1390.00,25
2020-03-27,1450.00,1450.00,1450.00,1450.00,25
2020-04-01,1580.00,1580.00,1580.00,1580.00,75
2020-04-02,1639.00,1639.00,1580.00,1580.00,105
2020-04-03,1580.00,1620.00,1580.00,1620.00,35
2020-04-06,1619.00,1619.00,1580.00,1580.00,70
2020-04-07,1620.00,1620.00,1620.00,1620.00,10
2020-04-08,1620.00,1620.00,1620.00,1620.00,5
2020-04-13,1620.00,1655.00,1620.00,1655.00,25
2020-04-14,1650.00,1650.00,1650.00,1650.00,10
2020-04-15,1610.00,1610.00,1610.00,1610.00,10
2020-04-16,1695.00,1695.00,1600.00,1600.00,70
2020-04-17,1600.00,1600.00,1600.00,1600.00,50
2020-04-21,1510.00,1510.00,1510.00,1510.00,5
2020-04-22,1510.00,1510.00,1510.00,1510.00,30
2020-04-24,1510.00,1510.00,1510.00,1510.00,500
2020-04-27,1510.00,1510.00,1510.00,1510.00,30
2020-04-28,1598.00,1598.00,1598.00,1598.00,20
2020-05-04,1560.00,1560.00,1550.00,1550.00,60
2020-05-05,1600.00,1600.00,1600.00,1600.00,5
2020-05-08,1600.00,1600.00,1580.00,1600.00,485
2020-05-14,1600.00,1600.00,1600.00,1600.00,5
2020-05-15,1620.00,1620.00,1590.00,1590.00,60
2020-05-18,1640.00,1640.00,1580.00,1580.00,20
2020-05-20,1590.00,1590.00,1580.00,1580.00,25
2020-05-22,1580.00,1580.00,1580.00,1580.00,10
2020-05-26,1580.00,1580.00,1580.00,1580.00,5
2020-06-04,1650.00,1685.00,1600.00,1685.00,60
2020-06-08,1700.00,1701.00,1700.00,1700.00,325
2020-06-09,1700.00,1700.00,1700.00,1700.00,500
2020-06-10,1700.00,1700.00,1700.00,1700.00,50
2020-06-11,1700.00,1700.00,1700.00,1700.00,700
2020-06-15,1780.00,1780.00,1780.00,1780.00,5
2020-06-18,1760.00,1760.00,1760.00,1760.00,15
2020-06-19,1700.00,1700.00,1700.00,1700.00,10
2020-06-22,1701.00,1701.00,1701.00,1701.00,5
2020-06-24,1701.00,1701.00,1701.00,1701.00,5
2020-06-25,1701.00,1701.00,1701.00,1701.00,5
2020-06-30,1701.00,1701.00,1650.00,1650.00,285
2020-07-01,1660.00,1675.00,1660.00,1675.00,10
2020-07-02,1755.00,1755.00,1755.00,1755.00,5
2020-07-06,1750.00,1750.00,1675.00,1750.00,40
2020-07-07,1750.00,1750.00,1750.00,1750.00,20
2020-07-08,1650.00,1730.00,1650.00,1730.00,30
2020-07-10,1730.00,1730.00,1730.00,1730.00,30
2020-07-13,1740.00,1740.00,1675.00,1675.00,150
