Date,Open,High,Low,Close,Volume
12/27/2024,"72.80","72.80","72.25","72.25","19,110"
12/26/2024,"72.80","72.90","72.80","72.90","13,810"
12/20/2024,"72.90","72.90","72.90","72.90","100"
12/19/2024,"72.80","72.80","70.70","70.70","21,080"
12/18/2024,"73.00","73.05","72.00","73.00","48,720"
12/17/2024,"73.15","73.15","73.00","73.00","1,180"
12/16/2024,"72.05","72.05","72.05","72.05","113,090"
12/13/2024,"72.80","73.80","72.80","73.70","400"
12/12/2024,"72.20","72.80","72.20","72.20","32,490"
12/11/2024,"72.00","72.00","72.00","72.00","8,250"
12/10/2024,"71.80","71.95","71.80","71.95","19,290"
12/09/2024,"71.70","71.75","71.70","71.75","9,000"
12/06/2024,"71.50","71.75","71.50","71.75","21,740"
12/05/2024,"71.65","71.65","70.90","71.00","113,590"
12/04/2024,"71.60","71.65","71.55","71.65","6,630"
12/03/2024,"71.60","71.60","71.55","71.55","2,310"
12/02/2024,"71.60","71.60","71.60","71.60","3,900"
11/29/2024,"71.55","71.60","71.55","71.60","260"
11/28/2024,"71.55","71.55","71.55","71.55","10"
11/26/2024,"71.60","71.60","71.60","71.60","590"
11/22/2024,"71.20","71.50","71.20","71.50","9,000"
11/21/2024,"71.45","71.50","71.45","71.50","22,000"
11/19/2024,"71.00","71.30","71.00","71.30","859,680"
11/18/2024,"70.45","70.85","70.40","70.85","13,610"
11/15/2024,"71.20","71.20","71.20","71.20","720"
11/14/2024,"70.60","70.60","70.45","70.45","500"
11/13/2024,"71.10","71.10","70.45","70.45","28,700"
11/12/2024,"71.10","71.10","71.05","71.10","5,150"
11/11/2024,"71.00","71.00","71.00","71.00","20,000"
11/08/2024,"71.40","71.40","71.05","71.05","6,870"
11/06/2024,"70.55","70.55","70.50","70.50","14,000"
11/05/2024,"71.00","71.00","70.50","70.50","69,700"
11/04/2024,"70.75","71.45","70.70","71.45","114,730"
10/31/2024,"70.75","71.45","70.75","71.45","11,020"
10/30/2024,"70.90","70.90","70.70","70.75","110,100"
10/29/2024,"71.40","71.40","71.40","71.40","10,000"
10/25/2024,"70.90","71.40","70.90","71.40","2,890"
10/24/2024,"71.20","71.50","71.20","71.20","11,580"
10/23/2024,"71.20","71.20","70.70","70.70","16,030"
