Date,Open,High,Low,Close,Volume
2020-01-02,75.2,75.2,75.2,75.2,13100
2020-01-03,75.2,75.2,75.2,75.2,10
2020-01-06,75.4,75.4,75.4,75.4,500
2020-01-07,75.95,76.5,75.0,75.0,86720
2020-01-08,76.0,76.0,75.0,75.0,50010
2020-01-09,76.0,76.0,75.95,76.0,160290
2020-01-10,76.0,76.0,76.0,76.0,30
2020-01-14,76.0,76.0,75.95,76.0,33320
2020-01-16,75.95,76.2,75.95,76.2,149020
2020-01-20,75.9,76.0,75.9,76.0,27600
2020-01-21,75.5,75.5,75.3,75.3,216520
2020-01-22,76.0,76.5,76.0,76.5,203840
2020-01-23,75.3,75.3,75.3,75.3,200000
2020-01-24,76.0,76.0,76.0,76.0,196670
2020-01-27,76.0,76.0,76.0,76.0,800000
2020-01-29,75.7,75.7,75.7,75.7,140
2020-01-30,75.7,75.7,75.7,75.7,1000
2020-01-31,75.95,75.95,75.2,75.2,42070
2020-02-03,75.9,76.0,75.9,76.0,52600
2020-02-05,75.8,75.8,75.8,75.8,38100
2020-02-06,75.9,76.0,75.8,76.0,91800
2020-02-07,76.0,76.0,76.0,76.0,143000
2020-02-10,76.0,76.0,75.8,75.8,960
2020-02-11,75.8,75.8,75.2,75.25,27560
2020-02-12,75.25,75.9,75.25,75.9,197020
2020-02-13,75.95,76.0,75.3,75.3,177340
2020-02-14,76.0,76.0,75.45,76.0,155320
2020-02-17,75.5,75.5,75.5,75.5,2850
2020-02-18,76.0,76.0,76.0,76.0,1000
2020-02-19,76.6,77.0,76.6,77.0,13380
2020-02-24,76.0,76.0,76.0,76.0,64600
2020-02-26,76.0,76.0,76.0,76.0,29400
2020-02-27,76.0,76.0,76.0,76.0,5210
2020-02-28,76.05,76.2,76.05,76.2,1220
2020-03-02,76.2,76.2,75.0,76.2,138410
2020-03-03,75.2,75.2,75.2,75.2,20
2020-03-05,75.3,76.2,75.3,76.2,1252840
2020-03-09,76.2,76.2,76.0,76.0,4630
2020-03-11,76.5,76.9,76.5,76.9,4960
2020-03-12,76.9,76.9,76.85,76.85,15010
2020-03-13,76.5,76.85,76.5,76.85,66500
2020-03-19,75.2,75.3,74.75,75.0,56630
2020-03-23,75.5,75.5,75.0,75.0,97220
2020-03-24,75.1,75.1,75.0,75.0,54730
2020-03-25,75.0,75.0,74.9,75.0,1012420
2020-03-26,74.9,74.9,74.9,74.9,50
2020-03-27,74.8,74.8,74.2,74.8,2660
2020-03-30,74.3,74.3,74.0,74.0,10260
2020-03-31,74.2,74.2,73.5,74.0,37610
2020-04-01,74.5,74.5,74.5,74.5,9000
2020-04-02,74.0,74.0,74.0,74.0,150
2020-04-07,74.8,74.8,73.5,74.8,83550
2020-04-08,74.85,74.85,74.85,74.85,390
2020-04-13,74.8,74.8,74.7,74.7,620
2020-04-14,74.75,74.75,74.75,74.75,200
2020-04-15,74.5,75.0,74.5,75.0,168120
2020-04-16,75.0,75.0,74.75,74.75,55080
2020-04-17,74.75,74.75,74.0,74.0,42020
2020-04-20,74.25,75.0,74.25,75.0,274310
2020-04-21,75.0,75.0,75.0,75.0,50000
2020-04-23,75.5,75.5,75.0,75.0,68700
2020-04-24,75.5,75.5,75.0,75.5,7000
2020-04-27,75.0,75.0,75.0,75.0,9700
2020-04-28,75.0,75.5,75.0,75.5,800090
2020-04-29,75.5,75.5,75.5,75.5,10
2020-04-30,75.0,75.0,75.0,75.0,4900
2020-05-04,75.0,75.5,75.0,75.0,2040
2020-05-05,75.0,75.0,75.0,75.0,900
2020-05-06,75.0,75.0,75.0,75.0,3450
2020-05-07,75.0,75.0,75.0,75.0,12030
2020-05-08,75.0,75.0,75.0,75.0,160100
2020-05-11,75.0,76.0,75.0,75.0,17610
2020-05-12,75.5,75.5,75.5,75.5,10
2020-05-13,76.0,76.5,76.0,76.5,119540
2020-05-14,76.0,76.0,76.0,76.0,45360
2020-05-19,76.0,76.0,76.0,76.0,15650
2020-05-20,76.5,76.5,76.0,76.0,23250
2020-05-21,76.5,76.5,76.5,76.5,27000
2020-05-22,76.6,76.6,76.5,76.5,34090
2020-05-26,76.5,76.5,76.5,76.5,910
2020-05-27,76.5,76.5,76.5,76.5,800000
2020-05-28,76.9,76.9,76.9,76.9,32610
2020-05-29,76.9,76.95,76.9,76.95,1300
2020-06-01,76.95,76.95,76.95,76.95,5000
2020-06-02,76.95,76.95,76.0,76.0,49050
2020-06-03,76.0,76.0,76.0,76.0,17650
2020-06-05,75.4,77.5,75.4,77.5,32000
2020-06-08,77.5,77.5,77.5,77.5,1660
2020-06-09,77.5,77.5,77.5,77.5,840
2020-06-16,77.5,78.9,77.5,78.9,21200
2020-06-19,78.0,78.0,78.0,78.0,6740
2020-06-22,78.45,78.45,78.0,78.0,84870
2020-06-23,75.8,78.0,75.8,78.0,12500
2020-06-24,78.0,78.0,78.0,78.0,44680
2020-06-25,78.4,78.5,78.4,78.45,910500
2020-06-26,78.4,78.4,78.0,78.0,10050
2020-06-29,78.0,78.0,78.0,78.0,31380
2020-07-01,78.0,78.0,78.0,78.0,10
2020-07-02,78.3,78.4,78.3,78.3,18720
2020-07-03,78.3,78.3,78.3,78.3,20000
2020-07-06,78.9,79.0,78.3,79.0,21450
2020-07-07,79.0,79.0,78.35,78.35,9930
2020-07-08,78.35,78.35,78.35,78.35,200
2020-07-15,78.3,78.3,78.3,78.3,10000
2020-07-16,78.0,78.0,76.3,76.5,35000
2020-07-17,77.0,77.0,76.3,77.0,32540
2020-07-21,77.8,77.8,77.8,77.8,10000
2020-07-27,77.25,77.25,77.25,77.25,2500
2020-07-28,78.4,78.9,78.4,78.9,812700
2020-07-29,77.8,78.3,77.8,78.3,3500
2020-07-30,78.3,78.9,78.3,78.3,28350
2020-08-03,78.5,78.5,78.5,78.5,4540
2020-08-04,79.0,79.0,79.0,79.0,10
2020-08-05,79.0,79.0,79.0,79.0,81500
2020-08-07,79.0,79.0,79.0,79.0,13400
2020-08-10,78.3,78.3,78.3,78.3,36300
2020-08-11,78.3,78.3,78.3,78.3,5500
2020-08-13,78.3,78.3,78.3,78.3,89000
