Date,Open,High,Low,Close,Volume
2020-12-10,75.0,75.05,75.0,75.0,132470
2020-12-11,75.0,75.15,75.0,75.0,53320
2020-12-14,75.95,75.95,75.1,75.1,9790
2020-12-15,75.1,76.0,75.0,76.0,33310
2020-12-16,76.0,76.0,75.0,75.0,11200
2020-12-17,75.7,75.75,75.05,75.05,17010
2020-12-18,75.05,75.05,75.05,75.05,9200
2020-12-21,75.0,75.65,75.0,75.6,28520
2020-12-22,75.5,75.6,75.05,75.05,4780
2020-12-23,75.6,76.4,75.05,76.0,239220
2020-12-28,75.1,76.0,75.1,75.3,3190
2020-12-29,75.1,76.0,75.1,75.5,10410
2021-01-04,75.2,75.5,75.2,75.5,16510
2021-01-05,75.5,76.2,75.1,76.2,65450
2021-01-06,76.0,76.5,76.0,76.5,98370
2021-01-07,76.0,76.25,76.0,76.0,223770
2021-01-08,75.5,76.25,75.1,76.25,49760
2021-01-11,76.25,76.25,75.15,76.1,7300
2021-01-12,75.6,76.1,75.6,76.0,98660
2021-01-13,76.0,76.25,76.0,76.25,56850
2021-01-14,76.0,76.0,76.0,76.0,24190
2021-01-15,76.0,76.25,76.0,76.25,54510
2021-01-18,76.1,76.25,76.1,76.25,69940
2021-01-19,76.1,76.1,76.0,76.0,7060
2021-01-20,76.0,76.25,76.0,76.0,8970
2021-01-21,76.0,76.1,76.0,76.1,11500
2021-01-22,76.1,76.2,76.0,76.1,20200
2021-01-25,76.05,76.25,76.05,76.05,11390
2021-01-26,76.05,76.2,76.0,76.2,22310
2021-01-27,76.0,76.25,76.0,76.25,43810
2021-01-28,76.05,76.1,76.05,76.1,8000
2021-01-29,76.05,76.25,76.05,76.1,55200
2021-02-01,76.1,76.2,76.1,76.2,7500
2021-02-02,76.1,76.25,76.1,76.25,61620
2021-02-03,76.25,76.25,76.1,76.1,144840
2021-02-04,76.1,76.3,76.1,76.3,78070
2021-02-05,76.25,76.25,76.25,76.25,50300
2021-02-08,76.25,76.3,76.25,76.25,6500
2021-02-09,76.3,76.4,76.25,76.4,2790
2021-02-10,76.25,76.45,76.25,76.45,2750
2021-02-11,76.45,76.45,76.25,76.25,3730
2021-02-15,76.25,76.8,76.25,76.8,12570
2021-02-16,76.85,76.85,76.25,76.5,7770
2021-02-17,76.25,76.5,76.25,76.3,1570
2021-02-18,76.25,76.3,76.15,76.2,204330
2021-02-19,76.5,76.5,76.3,76.5,17700
2021-02-22,76.5,76.75,76.3,76.75,6960
2021-02-23,76.8,76.85,76.3,76.85,77040
2021-02-24,76.8,76.8,76.3,76.5,6460
2021-02-26,76.5,76.8,76.2,76.8,4300
2021-03-01,76.2,76.85,76.2,76.25,6050
2021-03-02,76.2,76.2,76.2,76.2,500
2021-03-04,76.25,76.5,76.2,76.2,2800
2021-03-05,76.2,76.3,76.2,76.2,2000
2021-03-08,76.2,76.2,76.2,76.2,8210
2021-03-09,76.25,76.25,76.15,76.2,5830
2021-03-10,76.2,77.5,76.2,76.5,40700
2021-03-11,76.5,76.5,76.2,76.2,2350
2021-03-12,76.2,77.1,76.2,76.2,2100
2021-03-15,76.25,77.1,76.05,77.1,44660
2021-03-16,77.0,77.0,75.0,75.05,2540
2021-03-17,76.95,76.95,76.95,76.95,10600
2021-03-18,76.25,76.25,76.25,76.25,1500
2021-03-19,76.2,76.2,76.2,76.2,24600
2021-03-22,76.25,76.7,76.25,76.7,1010
2021-03-23,76.25,76.25,75.5,75.5,27400
2021-03-24,75.5,75.5,75.5,75.5,50
2021-03-25,76.7,76.7,75.55,76.7,33120
2021-03-29,75.7,75.7,75.6,75.6,4470
2021-03-30,75.65,76.0,75.65,76.0,2100
2021-03-31,75.65,76.0,75.65,76.0,1740
2021-04-05,76.0,76.0,75.7,75.9,267810
2021-04-06,76.0,76.5,76.0,76.5,4890
2021-04-07,76.1,76.5,76.1,76.1,4640
2021-04-08,76.9,76.95,76.9,76.95,32000
2021-04-12,76.9,77.1,76.2,76.2,32440
2021-04-13,76.5,76.55,76.5,76.55,2450
2021-04-14,77.0,77.0,77.0,77.0,20
2021-04-15,76.9,77.0,76.9,77.0,880
2021-04-16,77.0,77.0,77.0,77.0,500
2021-04-19,76.9,76.9,76.55,76.55,2780
2021-04-20,76.55,76.55,76.4,76.55,2520
2021-04-21,76.55,77.0,76.55,77.0,24830
2021-04-22,77.0,77.1,77.0,77.1,81000
2021-04-23,75.9,77.1,75.9,77.1,54070
2021-04-26,77.15,77.15,77.1,77.1,854750
2021-04-27,77.1,77.15,75.8,77.0,1094770
2021-04-28,75.8,75.8,75.8,75.8,4500
2021-04-29,76.0,76.0,76.0,76.0,500
2021-04-30,76.0,77.0,76.0,76.0,25760
2021-05-03,76.0,77.0,76.0,77.0,33940
2021-05-04,76.0,76.0,76.0,76.0,106800
2021-05-05,76.0,76.0,76.0,76.0,500
2021-05-06,76.0,76.2,75.8,75.8,37610
2021-05-07,75.9,75.9,75.8,75.8,50260
2021-05-10,75.75,75.75,75.7,75.7,4000
2021-05-11,76.5,76.5,76.5,76.5,4200
2021-05-12,76.5,76.5,76.5,76.5,7000
2021-05-14,75.9,76.0,75.9,76.0,3700
2021-05-17,76.0,76.0,76.0,76.0,890600
2021-05-18,76.0,76.0,75.85,75.85,903100
2021-05-19,75.95,75.95,75.95,75.95,550
2021-05-20,75.95,75.95,75.9,75.95,27640
2021-05-21,75.9,75.95,75.9,75.95,1340
2021-05-24,75.9,75.9,75.9,75.9,5980
2021-05-25,75.85,75.95,75.85,75.9,37080
2021-05-26,75.9,75.9,75.9,75.9,6000
2021-05-27,75.9,75.95,75.8,75.95,298440
2021-05-28,75.9,75.95,75.9,75.95,33650
2021-05-31,76.0,76.0,76.0,76.0,1100
2021-06-01,76.0,76.95,75.9,76.95,12470
2021-06-02,76.95,76.95,76.0,76.0,7790
2021-06-03,76.0,76.5,76.0,76.5,15870
2021-06-04,76.95,76.95,76.9,76.95,7870
2021-06-07,76.5,76.5,76.5,76.5,67000
2021-06-08,76.0,76.5,76.0,76.4,15290
2021-06-09,76.25,76.25,76.25,76.25,30
2021-06-10,76.0,76.0,76.0,76.0,470
2021-06-11,76.4,77.0,76.0,76.0,1930
2021-06-14,76.5,76.5,76.5,76.5,9010
2021-06-15,76.0,76.5,76.0,76.0,867850
2021-06-16,75.0,76.0,75.0,76.0,845730
2021-06-18,75.35,75.5,75.35,75.4,5020
2021-06-21,75.6,75.6,75.4,75.4,1500
2021-06-22,75.5,75.5,75.5,75.5,1500
2021-06-23,76.9,76.9,75.9,75.9,2040
2021-06-24,75.6,75.6,75.6,75.6,1650
2021-06-25,76.0,76.0,75.65,75.65,1500
2021-06-28,75.65,75.9,75.65,75.9,4300
2021-06-29,75.9,75.9,75.9,75.9,1000
2021-06-30,76.0,76.0,75.95,75.95,836600
2021-07-01,75.95,75.95,75.55,75.55,839000
2021-07-05,75.95,76.5,75.85,76.5,74310
2021-07-06,76.5,76.5,76.5,76.5,120
2021-07-08,76.0,76.5,75.95,75.95,10660
2021-07-09,75.95,75.95,75.95,75.95,2500
2021-07-12,75.95,76.0,75.95,76.0,14120
2021-07-13,76.0,76.45,76.0,76.45,5770
2021-07-15,76.0,76.45,76.0,76.45,99850
2021-07-16,76.45,76.45,76.45,76.45,15500
2021-07-19,76.45,76.45,76.45,76.45,10060
2021-07-21,76.45,76.45,76.45,76.45,31000
2021-07-22,76.45,76.9,76.45,76.5,1750
2021-07-23,76.5,76.5,76.5,76.5,18150
2021-07-26,76.5,76.5,76.2,76.5,793780
2021-07-27,76.5,76.5,76.5,76.5,763850
2021-07-28,76.6,76.9,76.5,76.5,19500
